V1,ITA_A01_02,ITA_A03,ITA_B05_06,ITA_B07_08,ITA_B09,ITA_C10T12,ITA_C13T15,ITA_C16,ITA_C17_18,ITA_C19,ITA_C20,ITA_C21,ITA_C22,ITA_C23,ITA_C24,ITA_C25,ITA_C26,ITA_C27,ITA_C28,ITA_C29,ITA_C30,ITA_C31T33,ITA_D,ITA_E,ITA_F,ITA_G,ITA_H49,ITA_H50,ITA_H51,ITA_H52,ITA_H53,ITA_I,ITA_J58T60,ITA_J61,ITA_J62_63,ITA_K,ITA_L,ITA_M,ITA_N,ITA_O,ITA_P,ITA_Q,ITA_R,ITA_S,ITA_T
ITA_J62_63,56.9296,4.2555,143.1478,43.6552,5.4041,559.6752,427.2335,61.5597,224.0394,192.5698,312.5218,117.3685,270.9125,182.0318,110.6828,355.3374,226.9647,292.6721,909.066,723.3802,296.7218,491.6525,897.7415,382.9438,1108.7095,4655.3114,645.9375,55.3149,50.8802,1490.5747,104.3857,1000.766,447.2821,520.7433,8398.6155,4693.6375,672.9956,3305.8451,1518.3017,1059.7556,338.3315,726.2879,616.4881,489.9568,0.0
ITA_K,865.0966,33.1437,89.2047,42.0591,29.6711,2462.7446,1831.9696,275.4724,659.522,222.3469,765.5997,351.3359,736.038,566.6085,681.8872,1386.8279,335.2668,707.9242,2684.8535,754.265,782.363,1257.7177,1352.415,742.3848,5035.9361,20668.0569,1899.2052,634.5004,214.1424,1250.8385,112.1867,2114.7645,526.6723,947.2628,1308.5717,32003.5823,10763.8928,2891.8375,3119.6433,3808.3499,407.1072,1330.2666,1157.4551,1324.8702,0.0
ITA_L,59.8718,5.7278,24.6403,73.6495,6.2676,1046.7001,1397.8118,191.2429,451.7092,79.9812,353.2051,164.4489,390.522,412.6482,204.1065,1269.8552,211.7647,346.0473,1135.0018,696.5622,170.4851,908.0428,677.5357,531.3057,1824.3585,17126.2187,1531.8153,33.9709,104.7453,1646.701,179.8333,6069.5492,848.7596,1556.3531,1664.1613,3917.2438,2923.0021,3322.8003,2165.7059,1575.8254,859.7343,2454.6646,1386.0324,1209.843,0.0
ITA_M,677.6168,8.2172,162.2901,123.8965,68.4605,4594.4542,3261.8214,312.2818,1477.7347,528.4614,1265.9807,1277.4297,1173.7546,790.1222,1235.6233,2227.4586,888.3162,1362.6688,4895.852,4307.4974,1383.2776,2476.0527,2852.4641,1314.7242,13822.4171,21630.5965,1703.5557,164.3113,369.7936,2646.403,148.3737,2066.2288,1837.9504,757.5331,5805.552,4488.2335,4813.0385,21853.1994,8067.8788,3955.3044,1467.189,4271.9762,2424.1071,1664.2919,0.0
ITA_N,442.176,2.2385,129.2281,109.3188,42.0509,1595.7765,2320.8046,209.0508,1012.5175,626.7037,564.5033,621.5235,795.8173,686.0036,1443.6922,2418.2721,408.8341,905.8287,2810.2453,2320.6411,521.9587,1731.3612,1259.9383,3100.9956,7722.4322,10923.0747,2045.92,767.1323,2347.5079,2870.06,147.425,2692.2741,2641.3064,1265.9684,2039.5371,1423.6293,2680.022,5783.5011,7061.0816,8204.8995,1269.7273,3831.1247,1601.2149,770.3821,0.0
ITA_O,142.4354,0.5169,36.3155,42.9332,3.7895,617.5239,412.1323,131.9906,384.9538,1059.0926,262.5365,382.1627,211.6443,189.5332,1516.039,360.5586,61.8252,167.207,300.4124,265.4713,154.1385,258.9724,259.8624,1765.0618,763.3113,1926.5126,629.635,49.2573,58.1117,363.7877,66.2766,718.3244,325.2199,82.8745,269.0246,229.6824,410.3553,766.923,755.7469,2540.2976,257.3707,629.472,1051.2473,121.5838,0.0
ITA_P,2.7011,0.0219,11.369,3.6255,0.6795,85.6588,53.2832,8.3616,31.4115,18.635,83.2981,302.5961,46.6681,35.1431,33.1352,92.3155,57.1315,47.1737,177.2734,141.7618,53.5744,66.127,93.0247,74.8406,188.0647,899.1052,178.1803,27.9037,35.9509,293.9249,5.6954,87.7182,94.9099,38.0874,169.0836,89.1222,46.5922,503.7181,392.2257,690.5829,1116.8203,228.3973,106.3142,432.0915,0.0
ITA_Q,52.5283,0.152,24.3486,7.6347,0.7945,43.132,28.7113,5.9262,18.4336,47.6007,15.7715,33.436,18.7381,15.7223,44.0415,40.3909,8.4514,20.3697,92.491,72.4315,25.3174,124.339,33.0798,162.5197,88.4478,101.9116,80.4011,2.7262,6.7687,50.8538,3.2969,63.7268,16.9785,6.5079,34.4554,49.4505,46.9416,1756.3725,2167.9704,427.0027,692.5007,15594.0619,604.4994,42.5826,0.0
ITA_R,33.1163,0.5899,18.832,20.0414,3.2778,963.8512,624.0504,28.1846,558.4141,596.1453,75.0438,453.5557,259.8428,114.7197,78.9954,161.5567,37.8744,253.0191,154.8402,73.6868,59.4282,253.168,219.7038,107.7246,510.9811,930.2963,171.1721,66.8719,94.0213,163.6795,18.3919,1737.6947,1721.3509,180.3872,211.2054,66.3573,351.0076,801.631,1111.682,204.1964,145.118,424.8479,8613.0602,442.1981,0.0
ITA_S,269.4014,3.1296,12.9337,9.6125,3.1115,203.2634,224.1008,18.0358,107.2813,330.5406,56.9553,111.79,79.2908,53.8867,158.6775,119.7841,35.7321,75.7265,178.5551,176.3646,58.9063,359.6357,303.2176,456.9753,466.55,417.4928,138.504,9.6092,15.8717,165.755,22.4656,300.2867,164.0612,47.3262,164.6898,186.5747,164.6745,1050.8966,1756.4306,779.3191,278.4731,1484.8857,503.0634,373.8958,0.0
ITA_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
