V1,KHM_A01_02,KHM_A03,KHM_B05_06,KHM_B07_08,KHM_B09,KHM_C10T12,KHM_C13T15,KHM_C16,KHM_C17_18,KHM_C19,KHM_C20,KHM_C21,KHM_C22,KHM_C23,KHM_C24,KHM_C25,KHM_C26,KHM_C27,KHM_C28,KHM_C29,KHM_C30,KHM_C31T33,KHM_D,KHM_E,KHM_F,KHM_G,KHM_H49,KHM_H50,KHM_H51,KHM_H52,KHM_H53,KHM_I,KHM_J58T60,KHM_J61,KHM_J62_63,KHM_K,KHM_L,KHM_M,KHM_N,KHM_O,KHM_P,KHM_Q,KHM_R,KHM_S,KHM_T
KHM_C20,45.1712,0.0525,0,0.6842,0.1128,0.7769,0.4573,0.188,0.0305,0.4204,3.8753,0.2295,8.5382,0.6629,0.1314,0.2385,0.0,0.0002,0.0053,0.0315,0.0306,0.2694,0.1203,0.4161,0.1871,2.6814,0.0291,0.0049,0.0067,0.0113,0.0287,0.0653,0.071,0.0826,0.0276,0.1928,2.4543,0.2192,0.072,0.0828,0.1358,4.7372,0.0565,0.2638,0
KHM_C21,5.8054,0.0205,0,0.0315,0.0031,0.1077,0.0231,0.0109,0.0008,0.0408,0.2271,0.6558,0.2299,0.0247,0.0077,0.0118,0.0,0.0,0.0004,0.0012,0.002,0.0131,0.0057,0.0225,0.0094,0.2684,0.0022,0.0012,0.0009,0.0011,0.0053,0.0064,0.0044,0.0136,0.0041,0.0282,0.1334,0.214,0.0041,0.0325,0.0325,7.8445,0.0141,0.032,0
KHM_C22,3.1763,0.0131,0,0.027,0.0056,47.7701,4.1096,0.4069,3.3409,0.0576,0.8046,0.1308,9.6347,1.5776,3.0042,9.887,0.0006,0.0019,0.0966,1.9914,1.852,2.3916,1.1019,1.6218,22.532,45.9145,13.9565,0.8568,0.9133,2.3303,0.0046,6.8027,0.8664,0.0117,0.0837,0.0026,0.003,0.2492,0.4944,3.3081,0.0065,0.1443,0.1759,0.481,0
KHM_C23,0.0522,0.0002,0,0.3179,0.0651,13.9439,0.0005,0.0089,0.0001,0.0156,1.3458,0.2565,1.5627,1.361,0.0869,0.1937,0.0001,0.0002,0.0022,0.3709,0.3215,0.5097,1.4663,0.7729,14.3906,3.2411,0.6177,0.1396,0.1614,0.2575,0.0002,0.2672,0.0531,0.001,0.038,0.0,0.3685,0.1297,0.1106,0.0912,0.0249,0.0041,0.0728,0.2236,0
KHM_C24,0.0005,0.0,0,0.0,0.0,0.5592,0.0707,0.0067,0.068,0.0424,0.0121,0.0006,0.0396,0.02,7.9556,8.142,0.0,0.0001,0.0034,0.1047,0.104,0.3771,0.2206,0.3191,34.5648,0.5017,1.0478,0.2208,0.3,0.3464,0.0002,0.1978,0.0381,0.0012,0.0,0.0,0.0,0.0,0.0048,0.0048,0.001,0.0592,0.0262,0.0583,0
KHM_C25,0.0056,0.0,0,0.0,0.0,2.7975,0.4483,0.0455,0.3407,0.2352,0.0515,0.0056,0.2309,0.1709,3.18,22.0879,0.0001,0.0002,0.0303,1.6628,1.9953,5.2637,1.874,1.6999,112.1532,3.9654,6.7587,1.4953,0.9174,3.3448,0.0014,1.0368,0.2428,0.009,0.0,0.0,0.0003,0.0051,0.6287,0.9488,0.0295,0.3757,0.1748,0.3244,0
KHM_C26,0.0005,0.0,0,0.0002,0.0001,0.0008,0.0002,0.0003,0.0001,0.0031,0.0003,0.0001,0.0001,0.0,0.0002,0.0012,0.0,0.0,0.001,0.0008,0.0013,0.0059,0.0039,0.003,0.006,0.0102,0.0022,0.0005,0.0008,0.0012,0.0006,0.0074,0.0029,0.0152,0.0005,0.0014,0.0002,0.0005,0.0004,0.0067,0.0026,0.0029,0.0014,0.0055,0
KHM_C27,0.0012,0.0,0,0.0005,0.0001,0.0015,0.0004,0.0006,0.0001,0.008,0.0004,0.0,0.0002,0.0001,0.0008,0.0023,0.0,0.0001,0.0032,0.0024,0.0027,0.014,0.0096,0.0047,0.0402,0.0157,0.0049,0.0008,0.0007,0.0016,0.0005,0.0141,0.0029,0.0113,0.0003,0.001,0.0004,0.0005,0.0004,0.0055,0.0019,0.002,0.0015,0.0061,0
KHM_C28,0.0,0.0,0,0.0,0.0,0.0055,0.0008,0.0001,0.0004,0.0151,0.0001,0.0,0.0005,0.0003,0.0047,0.0187,0.0,0.0,0.0268,0.001,0.0013,0.0107,0.5875,0.3353,0.3036,1.4209,0.4457,0.1412,0.1266,0.1952,0.0,0.0019,0.0532,0.0001,0.0012,0.0,0.0,0.0032,0.0326,0.0014,0.0,0.0021,0.059,0.0791,0
KHM_C29,0.28,0.0342,0,0.163,0.0182,0.0024,0.0003,0.0,0.0001,0.0504,0.0,0.0,0.0002,0.0001,0.001,0.0036,0.0,0.0,0.002,0.3938,0.0781,0.0111,1.1967,0.665,0.4929,0.0033,2.0113,0.0498,0.1208,0.2126,0.1748,0.0503,0.082,0.2806,0.2019,0.0,0.2665,0.4158,0.4955,0.0007,0.0,0.0001,0.1087,0.2044,0
