V1,AUS_A01_02,AUS_A03,AUS_B05_06,AUS_B07_08,AUS_B09,AUS_C10T12,AUS_C13T15,AUS_C16,AUS_C17_18,AUS_C19,AUS_C20,AUS_C21,AUS_C22,AUS_C23,AUS_C24,AUS_C25,AUS_C26,AUS_C27,AUS_C28,AUS_C29,AUS_C30,AUS_C31T33,AUS_D,AUS_E,AUS_F,AUS_G,AUS_H49,AUS_H50,AUS_H51,AUS_H52,AUS_H53,AUS_I,AUS_J58T60,AUS_J61,AUS_J62_63,AUS_K,AUS_L,AUS_M,AUS_N,AUS_O,AUS_P,AUS_Q,AUS_R,AUS_S,AUS_T
AUS_C30,20.4219,154.0969,166.7044,64.0568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5452,1.8078,0.55,0.0168,1.3797,247.6185,356.6798,0.0,0.0,0.0,68.1372,18.3115,686.216,474.8397,2316.058,111.9371,111.1257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534.9927,35.8595,0.0,1.1406,0.0,0
AUS_C31T33,137.3283,34.7295,240.2542,438.4209,50.3143,51.4517,11.394,87.0593,50.0978,86.2403,15.1385,12.2226,36.429,80.3301,14.4175,38.8213,4.3363,5.1213,13.0913,17.0589,39.7295,32.9211,43.6796,46.592,732.0572,343.6846,72.2255,30.5032,21.4838,118.0101,46.4931,29.8704,30.083,195.63,57.0262,161.6376,64.8669,282.6057,172.7141,71.7326,128.1978,115.8706,168.2284,70.2893,0
AUS_D,591.8838,54.2308,1733.0616,2297.7284,178.9081,914.6631,84.6032,199.6546,395.1033,280.2979,384.823,148.2625,248.8667,270.6177,2374.3935,215.2768,40.4694,29.4208,81.63,108.9909,105.1413,65.2858,19212.846,488.4287,1770.0123,2275.1967,342.158,7.5208,39.2272,492.2872,53.9407,1436.6343,131.122,416.9704,89.5599,420.3604,904.3101,859.6998,889.738,2928.8479,410.8459,566.79,185.2489,163.4165,0
AUS_E,1621.1933,37.3999,180.2391,184.4234,14.118,385.954,16.6162,39.9341,113.8184,91.6653,99.8083,73.8118,83.7684,161.3835,148.6664,133.235,24.2565,26.6999,64.5864,59.1887,138.4985,28.5629,262.1727,1457.4533,2726.4486,731.9404,190.5211,73.4274,20.8003,235.1701,17.0548,455.8421,32.8604,1113.7607,838.3283,315.4544,1308.0121,1690.1288,1087.5377,521.0511,375.003,1428.1074,473.2382,195.8844,0
AUS_F,3021.3,239.469,3166.7183,7226.9139,117.838,452.7277,30.8226,667.8364,124.2927,176.2304,70.949,56.4972,93.2719,138.5011,231.9717,144.6807,57.2398,45.5251,111.0716,72.5045,147.1777,174.1255,1492.0401,885.8627,104928.8022,3695.3535,2596.575,102.8949,85.2263,1308.8408,124.0429,1274.8963,320.3303,720.1356,1179.2026,1422.9714,12362.5567,1440.8611,1020.2374,8456.1897,608.8818,875.246,412.8163,458.6998,0
AUS_G,3701.3556,677.5003,1605.0802,2501.0168,193.776,8374.1617,683.7032,507.5182,773.0249,1198.8919,963.5799,634.1692,974.8204,823.5409,877.4062,1098.8138,619.958,388.4654,705.4458,707.3202,826.9861,579.3385,1303.2569,750.3328,13868.5726,5859.8671,2593.5491,383.7306,693.7325,373.0959,589.4232,4415.2586,655.802,1149.5602,1271.4765,1377.9097,641.4201,1419.5007,1368.6972,1851.3,2281.5367,4396.7383,2137.2387,1493.327,0
AUS_H49,1379.8197,132.8031,1862.2162,2282.8634,148.1873,1814.651,110.7361,342.2404,370.2543,248.9666,283.8879,172.1376,329.2562,1282.3721,802.2926,377.5382,59.9413,64.5924,151.0845,109.9138,149.6871,82.166,251.6582,313.1732,1902.5857,5687.6669,3290.1868,723.7351,220.7771,1555.7975,1009.0093,183.2248,206.5008,104.6118,120.5677,272.6186,168.874,527.757,449.3773,242.8038,244.0969,437.6798,179.9282,126.2369,0
AUS_H50,122.072,22.2378,1972.2977,124.9864,98.9733,107.4897,6.6704,9.4343,51.5946,39.8469,37.5158,31.9836,28.7731,21.3406,35.5652,87.0841,4.0901,3.4651,6.6821,12.0523,18.537,12.107,1131.019,17.0394,563.5125,1817.7095,186.8428,3575.5437,171.9062,335.8894,30.4287,91.727,5.7481,76.7404,15.9367,85.8967,108.5397,349.6508,336.5762,324.8821,212.4219,116.1977,33.8714,80.4964,0
AUS_H51,128.1791,22.0345,154.6965,172.0301,15.4029,144.788,13.9307,20.4942,45.5627,56.3525,43.6938,35.6115,48.0135,45.3624,66.3912,74.6163,36.7232,24.8173,49.5618,42.0495,49.0114,28.6514,86.0799,45.4676,669.3216,597.7872,144.2978,82.0898,199.0827,463.287,111.1929,85.38,41.9332,88.4171,229.285,223.9933,66.7713,476.9105,240.8599,278.1795,234.6336,225.9403,153.964,113.4307,0
AUS_H52,1381.094,97.3622,1476.8027,1045.9945,38.0907,994.3718,29.4217,76.4199,506.0168,241.6165,388.0334,335.5354,192.2427,373.9696,224.6846,842.6836,24.7671,25.4675,57.3785,121.6883,177.5546,57.0429,129.0586,111.8877,2941.87,6008.7615,1004.0413,665.4259,1825.7793,3894.9333,309.8806,215.9221,73.3577,853.5168,138.2865,323.5303,403.1979,1329.7439,889.5841,888.854,657.8188,399.9943,204.126,262.1319,0
