V1,BGR_A01_02,BGR_A03,BGR_B05_06,BGR_B07_08,BGR_B09,BGR_C10T12,BGR_C13T15,BGR_C16,BGR_C17_18,BGR_C19,BGR_C20,BGR_C21,BGR_C22,BGR_C23,BGR_C24,BGR_C25,BGR_C26,BGR_C27,BGR_C28,BGR_C29,BGR_C30,BGR_C31T33,BGR_D,BGR_E,BGR_F,BGR_G,BGR_H49,BGR_H50,BGR_H51,BGR_H52,BGR_H53,BGR_I,BGR_J58T60,BGR_J61,BGR_J62_63,BGR_K,BGR_L,BGR_M,BGR_N,BGR_O,BGR_P,BGR_Q,BGR_R,BGR_S,BGR_T
BGR_C20,94.7743,0.0496,0.1648,5.7324,0.3097,41.3867,8.3237,5.9489,17.1002,92.7343,89.8458,7.1169,23.7177,5.0002,7.8464,11.6429,1.0789,9.9841,3.5872,2.0045,1.7649,21.7813,3.9475,2.219,19.5729,38.2202,5.83,0.0886,11.3783,2.9272,0.4212,3.13,1.5793,1.0942,3.2516,1.7171,3.1199,5.7561,8.5112,3.3977,0.6302,9.2201,2.4145,9.4334,0.0
BGR_C21,4.1426,0.0022,0.0168,0.4524,0.0167,1.4292,2.1699,0.8768,1.5272,3.1024,2.6661,2.8627,0.729,0.7555,1.3022,0.6998,0.3164,1.3154,0.984,0.185,0.1858,0.9268,0.239,0.1781,0.9309,2.0294,0.4708,0.0107,0.364,0.1284,0.0168,0.1888,0.4931,0.0692,0.352,0.2571,0.1462,1.6689,0.6008,0.2742,0.1611,6.0764,0.9071,0.4293,0.0
BGR_C22,8.4589,0.3806,0.9871,10.8708,0.2783,87.6875,5.0234,0.6646,9.5047,2.8843,2.4814,1.6491,475.7015,4.9313,50.4598,19.3307,1.1753,22.3172,15.5586,2.4147,3.819,28.5738,2.6873,15.3525,92.6061,77.6529,32.1881,0.0509,0.3139,5.5566,0.4485,2.9856,0.6325,0.4538,1.1344,1.226,3.3176,5.7982,3.2842,33.5523,0.4322,10.3492,1.4112,1.5932,0.0
BGR_C23,11.925,0.1086,0.1517,14.8209,0.3334,27.5306,3.3316,1.3711,1.6559,7.476,6.717,1.3185,6.5538,147.5593,7.799,5.171,1.8788,6.0607,7.455,1.4723,0.7075,4.0033,4.5608,6.2713,367.872,34.6309,9.6679,0.1264,0.9083,7.8014,0.3096,3.8341,0.387,0.7563,1.4221,1.5228,14.4008,4.4776,6.4902,3.7915,0.6881,4.2439,1.9548,4.9533,0.0
BGR_C24,0.9181,0.1416,0.0618,4.1319,0.2638,1.4224,0.3524,0.4266,14.0834,0.0336,0.2486,0.055,0.0913,6.0859,1307.3459,165.5359,3.441,204.7274,83.609,32.2534,45.3965,9.7112,1.7143,4.732,49.6724,136.3144,0.7729,0.0047,0.0006,1.6809,0.0259,4.2812,0.1032,0.1955,0.021,0.1744,0.4788,6.8114,7.7505,3.3524,0.2499,0.9144,0.2147,1.1749,0.0
BGR_C25,14.1595,0.3772,1.4387,9.8513,0.9823,20.0697,6.6281,2.0792,2.2615,8.7856,7.0763,10.5061,14.174,4.6608,87.361,356.5726,5.759,77.1098,258.0157,14.1671,29.1851,44.1239,7.4837,6.5619,163.674,81.8817,26.9072,0.1264,2.3008,12.1223,0.4631,4.613,0.6281,1.5749,2.8432,2.4096,10.3717,15.9212,10.4052,3.7395,0.8101,6.6913,2.7046,4.454,0.0
BGR_C26,0.6627,0.0083,0.0277,0.2879,0.0605,1.1398,0.3565,0.1078,0.1578,0.5845,0.1772,0.1355,0.6834,0.1922,1.7392,3.3323,37.8898,2.5431,4.5309,5.7209,0.2785,15.0577,0.6577,0.218,5.2494,9.7289,0.843,0.0425,0.1412,1.2793,0.3676,1.1421,0.6324,5.6273,34.4935,2.5773,1.4013,5.7544,4.6907,11.2396,0.3781,1.4539,2.6622,2.296,0.0
BGR_C27,4.3626,0.0315,0.4048,1.7435,0.1917,5.9115,1.289,0.4959,0.7081,5.6154,1.1558,1.5898,3.2795,1.0889,18.2489,7.5484,2.0502,196.6674,11.5006,55.2861,0.5927,17.8479,11.9066,0.7774,77.3051,18.4035,3.3826,0.0471,0.6604,4.7916,0.2117,1.5,0.3519,0.7142,2.9474,0.8065,15.2633,8.8703,2.6735,5.2654,0.2625,2.1844,1.6079,1.5547,0.0
BGR_C28,4.0739,0.0377,0.1373,2.6955,0.4737,6.4191,1.3391,0.2938,0.9211,4.5446,1.1766,1.7738,1.8428,11.3665,17.059,9.5403,3.1639,18.0603,29.2767,4.3981,0.9956,8.1689,4.2049,1.8073,61.5603,22.9921,6.2613,0.1404,1.3202,4.411,0.6865,2.4883,0.5922,1.8998,4.597,2.3589,5.8275,7.3562,4.0756,2.1054,0.6895,3.1993,1.8672,1.4909,0.0
BGR_C29,0.8464,0.0378,0.026,0.2889,0.0491,0.9161,0.353,0.181,0.105,0.3923,0.1608,0.7194,0.2318,0.1633,1.5539,1.6245,7.5845,3.5621,1.1595,42.1158,4.4461,13.9468,0.4659,0.6652,4.2213,48.1546,52.9058,0.0266,0.9159,1.1463,0.4072,1.2648,0.3111,0.9576,6.2327,2.09,2.1836,2.3424,3.0233,2.4101,0.6953,0.5181,1.109,0.5707,0.0
BGR_C30,1.8765,0.0101,0.1148,1.7367,0.0073,0.5929,0.0488,0.0416,0.0123,0.0354,0.0306,0.0142,0.025,0.7698,0.0797,0.1531,0.4698,1.6259,2.5616,0.3884,37.6896,0.2919,0.0465,1.1254,2.7432,16.1884,81.0982,3.1682,7.8785,1.3968,1.9484,0.5723,0.0476,0.0277,0.294,0.1911,0.8093,0.6676,4.6445,40.7497,0.1426,0.0436,0.1692,2.8606,0.0
BGR_C31T33,12.8479,0.171,0.2305,1.7538,1.7285,37.3985,8.1688,3.4277,3.7586,53.7773,5.6345,7.6878,10.5444,5.6414,199.9574,12.5861,16.0559,19.4436,14.4898,10.7438,8.0642,155.9788,21.2613,4.5449,99.7415,65.195,14.7366,0.1625,1.4146,8.9815,1.226,20.5848,1.7881,5.1637,15.3894,22.8964,17.6162,19.2823,11.5879,3.9867,2.2023,14.894,9.2063,5.0557,0.0
BGR_D,24.2214,0.0736,83.2195,92.2149,1.0748,190.8935,41.8857,25.1766,33.5383,40.105,125.5275,70.566,38.6153,77.7324,307.1412,71.3896,21.1077,26.5399,57.1593,9.822,3.8447,24.5477,169.4318,107.8186,35.238,213.6199,84.8304,2.316,0.8159,70.9224,1.3583,85.5331,2.8598,59.0714,14.7069,26.0327,148.5169,10.5749,11.5955,83.3448,1.8431,64.3241,16.9508,13.2615,0.0
