V1,FIN_A01_02,FIN_A03,FIN_B05_06,FIN_B07_08,FIN_B09,FIN_C10T12,FIN_C13T15,FIN_C16,FIN_C17_18,FIN_C19,FIN_C20,FIN_C21,FIN_C22,FIN_C23,FIN_C24,FIN_C25,FIN_C26,FIN_C27,FIN_C28,FIN_C29,FIN_C30,FIN_C31T33,FIN_D,FIN_E,FIN_F,FIN_G,FIN_H49,FIN_H50,FIN_H51,FIN_H52,FIN_H53,FIN_I,FIN_J58T60,FIN_J61,FIN_J62_63,FIN_K,FIN_L,FIN_M,FIN_N,FIN_O,FIN_P,FIN_Q,FIN_R,FIN_S,FIN_T
FIN_C30,0.0,2.0243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.0005,0.0,0.3314,0.1416,0.8224,0.0364,1.718,133.231,1.6186,0.0,0.0,0.0,0.7332,0.9346,1.4214,20.4376,1.6739,0.0,0.0,0.0017,0.0,0.0,0.0,0.0129,0.1189,8.839,111.823,0.0715,0.0118,0.0039,0.0,0.0
FIN_C31T33,78.7983,3.4596,14.4468,31.1086,5.3203,104.0538,4.5867,44.4408,403.3281,76.2412,58.1406,10.3211,14.332,35.0543,68.3686,91.1999,130.8517,30.4332,183.3411,11.9994,67.8783,577.9868,188.4517,124.7287,373.3252,158.5114,47.2213,52.5679,83.2606,39.6758,11.9779,30.9304,15.3906,38.2442,31.6798,25.0889,9.1288,124.865,117.1248,83.6109,17.6835,200.981,33.6452,25.13,0.0
FIN_D,187.7475,17.3255,22.4049,71.9187,5.8238,166.2664,20.5082,162.0501,622.5256,46.1306,245.2082,11.9379,75.2029,78.782,192.668,62.6598,95.5079,32.0435,107.8693,25.1709,17.2075,73.0065,224.0056,101.4093,218.7771,535.6935,72.7629,9.9534,14.0512,86.8898,6.1123,140.9738,22.9663,106.5364,92.387,167.6202,1283.8457,125.3765,86.1726,596.646,252.0578,485.0479,242.1623,367.5372,0.0
FIN_E,2.1986,0.0993,4.4269,11.62,3.2396,71.8868,4.0718,16.1766,89.3263,7.827,25.8472,3.5241,18.0974,23.958,608.5933,41.8955,42.9692,6.4999,65.3569,2.2796,15.4422,21.1163,209.8212,663.541,301.9662,160.8302,8.1118,7.3097,2.5678,7.056,1.7266,75.0784,7.0634,3.0936,30.4566,47.4638,436.3302,136.5344,147.0366,188.7269,61.749,96.4392,22.9806,32.6511,0.0
FIN_F,232.9134,0.2287,5.9316,14.7482,2.408,50.6628,3.8717,7.1007,61.8851,42.5676,51.6871,3.3624,12.8494,18.4593,56.6441,16.0243,47.9187,9.4892,35.2413,1.5838,3.0552,46.241,711.9426,323.9152,5216.0244,256.7348,162.409,23.1331,39.213,64.4897,5.956,19.5481,5.1597,17.1962,13.9589,54.2623,2245.3854,25.9497,150.3561,1071.5676,137.9512,131.0522,31.3642,12.4913,0.0
FIN_G,725.8915,12.4276,14.8519,48.766,5.2936,1322.1623,95.5845,548.3417,866.8726,366.8627,564.8959,56.4969,157.0207,160.1328,217.5508,208.692,388.3872,206.775,536.8153,101.5818,117.6979,222.725,193.2435,156.0802,1873.8134,1482.0706,2078.1174,71.775,58.4782,239.7236,14.197,557.0053,266.2838,96.8556,342.8044,244.4794,289.1403,700.845,419.5529,617.6545,198.7214,1190.2214,231.4407,300.0963,0.0
FIN_H49,103.2582,2.8505,10.4445,34.9178,3.1665,365.8941,21.3094,241.0218,646.1381,221.7014,209.1672,16.5265,59.7096,90.1969,146.7212,75.5177,73.3991,68.967,234.0323,72.1587,29.6354,57.0746,52.2672,21.2278,568.0407,753.174,858.82,13.1597,9.8775,322.9681,257.6266,80.9972,77.2899,16.1413,41.2992,83.9421,35.0703,100.8955,66.5976,550.5411,156.4656,379.476,84.6193,181.5118,0.0
FIN_H50,7.5456,0.1874,0.371,1.213,0.136,18.9163,1.3383,7.123,13.7203,11.9305,9.6816,0.8539,2.5853,3.434,8.0687,5.0171,7.349,4.602,10.9363,1.5751,2.0839,3.6248,3.7902,2.6235,26.0343,26.1764,7.3963,5.8655,1.8189,13.5409,0.6011,9.7879,3.8282,2.2144,5.3674,5.2517,11.6957,12.5729,17.855,15.8716,7.2276,22.9455,3.9649,3.4486,0.0
FIN_H51,6.5605,0.7535,0.4387,1.5161,0.0797,5.3889,0.4056,2.1828,4.5652,7.7632,4.6387,0.4278,1.2399,1.2836,5.2142,2.8128,7.5205,2.1789,6.1672,0.8411,0.9885,1.5313,2.4124,1.425,20.1884,24.3953,5.3626,3.4461,5.0105,14.4343,2.5514,5.505,4.3649,1.1922,7.8991,12.2474,4.705,12.753,19.8691,23.3807,13.7239,26.8388,7.1428,9.4247,0.0
FIN_H52,18.7541,0.5778,12.4303,28.2927,2.077,256.9792,17.151,196.2115,654.5475,86.1394,161.4428,15.3082,53.7304,85.4885,117.0411,69.0093,81.9995,67.2811,246.861,70.9223,17.6742,42.9955,12.4855,124.7717,96.1304,938.565,79.9974,81.0619,91.0102,2234.1509,94.7112,31.4883,58.8475,5.3434,45.6999,18.6198,27.1663,81.8147,65.4062,73.3219,79.7553,83.6047,24.6733,23.0934,0.0
FIN_H53,11.8034,1.2855,1.8604,5.8234,1.0647,34.7287,8.3547,23.1687,34.625,6.195,33.348,2.5996,17.8362,15.2965,9.0887,41.6825,51.6878,38.3548,138.6761,13.3046,1.6944,32.9378,22.5262,2.205,28.8504,174.0794,14.6692,12.9714,6.1457,18.1797,4.1191,14.541,5.9426,2.5806,12.4682,72.7406,33.9225,23.5532,12.2448,147.3321,52.6572,93.3938,41.2816,65.1553,0.0
