V1,CHN_A01_02,CHN_A03,CHN_B05_06,CHN_B07_08,CHN_B09,CHN_C10T12,CHN_C13T15,CHN_C16,CHN_C17_18,CHN_C19,CHN_C20,CHN_C21,CHN_C22,CHN_C23,CHN_C24,CHN_C25,CHN_C26,CHN_C27,CHN_C28,CHN_C29,CHN_C30,CHN_C31T33,CHN_D,CHN_E,CHN_F,CHN_G,CHN_H49,CHN_H50,CHN_H51,CHN_H52,CHN_H53,CHN_I,CHN_J58T60,CHN_J61,CHN_J62_63,CHN_K,CHN_L,CHN_M,CHN_N,CHN_O,CHN_P,CHN_Q,CHN_R,CHN_S,CHN_T
CHN_J62_63,966.7307,4.2295,359.792,456.3968,23.8732,936.5301,813.5517,101.2241,306.756,91.2169,1130.8291,558.4362,432.7121,555.7397,629.2064,675.6589,11089.4452,1403.3447,1899.2635,822.7669,332.4129,593.3232,1658.9971,479.6928,10951.3092,3552.6153,3014.4493,1084.3984,864.8136,2100.5927,875.2798,574.1358,580.4747,6528.6213,22122.597,6677.6797,713.5135,5826.4524,386.987,7766.586,2121.4282,1363.3291,68.4704,162.0877,0
CHN_K,23063.3528,6729.6552,43024.0003,12680.6539,600.9189,6791.2376,6434.1616,1792.5049,7015.0031,6572.8331,17438.5908,7068.3872,5997.1707,17638.4326,49463.2181,13880.438,24956.8455,12109.0827,18781.6603,6453.6252,3195.8137,3490.7807,43878.5009,10387.2815,125549.1895,64223.3336,108457.3419,11478.5584,3824.3693,4329.0681,856.9055,3307.6884,1233.4681,4983.9976,7491.6619,53007.7539,48010.4488,53943.1348,4320.185,16323.8068,14915.2162,3036.1638,592.0744,1073.5002,0
CHN_L,32.5064,0.0096,467.3975,44.6781,36.7437,386.5881,269.2065,69.6718,121.0679,12.9551,206.386,78.5474,468.5634,332.4151,54.1324,359.2968,788.8958,500.9562,622.923,258.6878,190.6758,591.7265,228.5843,996.4232,556.3335,121038.1909,2480.5112,65.343,690.4125,2208.2975,3069.6289,14199.8679,958.1653,6608.9244,26341.6689,36792.9789,12896.6468,42140.2987,2536.1958,12555.5175,21558.5346,4955.0416,1003.9671,10164.65,0
CHN_M,15653.6026,1334.0102,17035.4443,9042.4834,573.1203,25293.9655,8568.9791,1701.0456,5580.1316,3831.0611,18396.9202,15523.0258,8869.519,11689.3755,10194.5785,10626.2476,25587.3837,13439.8298,22604.0963,18957.7074,3541.5889,5471.9605,7721.9377,2354.0256,196957.9743,102307.8033,4375.6499,1156.5225,2888.8874,3652.2349,2360.7926,4289.5382,2016.121,10602.6647,16245.0231,28796.4962,13976.0106,100052.3624,2455.8112,4268.1603,3500.0976,1285.2987,436.1594,1341.2961,0
CHN_N,2337.7312,386.2233,9953.4806,3507.0729,204.3589,8384.5828,5057.5416,5078.096,2303.69,2292.1932,3754.7165,8127.6037,10740.6929,6326.56,4331.3021,4277.6672,8187.9894,5104.5505,8432.3596,6712.8966,1039.3989,2454.062,2807.5773,1585.7757,36879.8163,49059.1064,4780.4902,1350.7597,2491.5355,2372.8512,1277.8028,2875.1638,1253.2049,4592.8294,12742.5588,12933.2349,6338.3519,18467.0335,8194.6952,12241.5518,2724.9722,712.4456,278.2152,851.3996,0
CHN_O,815.9466,97.9474,291.9013,163.1971,10.6734,312.1382,320.8051,51.1172,137.7499,79.5409,363.3109,210.3985,285.777,596.8409,338.4149,406.6741,420.9457,209.7259,557.8343,248.1263,62.7852,210.7076,365.7768,461.9636,590.1669,402.5829,230.4353,357.5271,34.3576,76.1813,43.5128,129.2902,99.0622,212.1988,217.5717,454.7279,513.9143,1513.5025,110.4011,20283.0441,1081.5607,152.2947,33.9084,74.6589,0
CHN_P,322.7887,32.567,252.2415,67.2979,4.9378,164.7587,115.6016,28.8256,41.5684,47.7392,147.5197,128.5354,83.1247,173.7386,97.5013,189.5864,206.8425,123.329,348.9444,136.785,44.4673,101.5265,60.6281,179.1125,1153.7517,1824.9049,1533.8761,28.7686,77.0902,26.251,35.2627,294.4177,148.8384,436.2024,110.022,1994.8147,105.0721,975.9477,50.0343,7055.9743,8888.9755,652.8886,37.2265,75.7845,0
CHN_Q,198.3663,0.6194,368.8767,237.9556,0.0,77.7631,126.9576,43.7712,106.5672,934.8207,126.0203,67.4819,16.3442,296.8413,575.4922,659.9768,299.3664,374.8705,514.6,279.4603,146.8988,31.5144,506.3151,54.19,1467.2679,461.1937,280.6997,22.5322,2.764,139.433,0.1053,8.7924,17.0472,7.108,9.0021,169.9729,0.8423,62.2548,1.8317,2045.242,214.6871,2201.1086,7.6511,28.9996,0
CHN_R,113.3729,12.8619,504.5245,168.2509,11.0772,333.0188,179.1503,39.3067,59.9835,92.3997,195.3767,158.0455,90.847,203.6138,192.0686,174.3362,278.2812,163.2064,347.9219,898.9098,35.7313,73.685,444.2005,204.2531,1611.3786,1066.3007,289.4484,115.8495,38.6377,323.3085,25.8778,142.5337,243.2857,57.9477,589.9543,3828.0516,150.588,1182.6344,161.4559,1113.0988,262.0966,72.3208,1426.0538,227.3479,0
CHN_S,1343.0632,237.6495,1875.8316,358.6876,22.346,859.3235,612.5697,185.2483,694.0706,381.4526,1307.7811,777.9725,803.5274,1308.1072,1001.0426,1447.8177,2290.958,1711.3347,2224.1566,2214.7085,272.4735,431.7818,1879.1875,2999.4142,10588.7996,7867.626,6104.4864,226.9223,138.8743,1219.4333,119.2819,1139.4418,585.6673,619.6995,463.3801,1070.0374,328.778,5525.3324,391.5891,8045.8452,3994.6054,2639.8476,150.375,1123.8637,0
CHN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
