V1,NOR_A01_02,NOR_A03,NOR_B05_06,NOR_B07_08,NOR_B09,NOR_C10T12,NOR_C13T15,NOR_C16,NOR_C17_18,NOR_C19,NOR_C20,NOR_C21,NOR_C22,NOR_C23,NOR_C24,NOR_C25,NOR_C26,NOR_C27,NOR_C28,NOR_C29,NOR_C30,NOR_C31T33,NOR_D,NOR_E,NOR_F,NOR_G,NOR_H49,NOR_H50,NOR_H51,NOR_H52,NOR_H53,NOR_I,NOR_J58T60,NOR_J61,NOR_J62_63,NOR_K,NOR_L,NOR_M,NOR_N,NOR_O,NOR_P,NOR_Q,NOR_R,NOR_S,NOR_T
NOR_C20,78.3912,24.8205,26.6748,25.2043,66.1364,51.2142,11.3116,41.8543,64.9465,4.014,270.8824,25.9885,116.9421,52.9846,50.6018,21.1183,4.9765,7.4048,20.2386,28.7271,22.0091,36.4092,4.7811,28.4441,305.6284,146.7349,31.8339,42.3616,11.3596,19.3998,8.3854,20.817,17.2022,8.7753,18.1955,9.1537,84.941,64.4988,91.3273,20.7441,38.329,85.4798,22.165,31.2124,0.0
NOR_C21,8.2642,47.0337,1.6652,2.2511,1.6988,20.6941,1.9921,0.7,0.482,11.1137,1.5435,10.5054,0.3876,0.6616,6.0407,0.6585,0.6954,0.7916,1.7315,0.2213,4.0639,1.8911,0.3932,4.2054,11.1641,6.883,1.53,3.7136,1.2027,1.9061,0.2732,6.9266,1.0737,1.0604,2.4834,0.827,2.929,9.9879,3.9204,7.3467,3.4279,454.4147,1.0013,1.1533,0.0
NOR_C22,15.021,11.0369,5.5835,2.3811,10.8526,71.7854,1.6946,8.772,8.3884,3.3909,11.4287,3.6013,27.7602,4.2367,4.6281,9.1429,2.3955,28.5498,8.6424,2.9572,8.3145,20.7208,2.7975,58.5824,233.3779,96.3522,60.4998,5.4776,2.2886,6.8438,1.3386,10.7601,8.3502,3.3064,9.3068,3.4434,41.7081,29.8698,26.9356,14.7771,13.2799,26.9781,4.9179,5.7748,0.0
NOR_C23,7.1122,12.3462,22.5526,2.8048,32.4109,23.0688,0.9643,57.8689,3.746,1.1538,8.4576,0.7269,9.2018,200.4053,22.7681,22.3984,8.2208,11.4312,12.5715,7.0465,58.9452,15.0784,2.8452,11.9302,1508.8774,72.4337,7.2439,12.2741,3.4154,88.0388,1.647,34.3774,5.3403,1.7917,5.7296,2.4395,184.938,16.5635,11.1594,133.0855,29.7366,31.3073,2.962,4.1046,0.0
NOR_C24,0.0,2.1903,15.1765,0.1588,27.3638,0.9015,6.3447,18.802,17.3811,0.0291,8.2897,0.0781,9.7911,37.1988,1767.6347,538.3157,19.5724,257.3888,145.5883,108.2199,66.945,230.6227,0.0,43.913,39.8284,65.2511,0.0,0.0,0.0029,52.3757,0.0,0.0718,2.127,0.0,0.0822,0.0,0.2138,0.1001,2.2267,1.3651,1.0721,48.3478,1.2365,0.0,0.0
NOR_C25,17.3403,59.2092,44.3437,10.7349,77.0162,65.4768,5.414,39.3247,8.8399,1.829,20.0139,1.9956,9.4619,26.806,71.1616,210.558,93.4439,18.4761,175.6973,12.1657,394.1502,218.7394,9.4786,49.9323,608.2799,163.1968,22.9528,76.6602,19.5888,213.6562,2.9542,16.3753,22.9098,13.9448,32.0026,12.9576,36.7861,83.6826,70.6742,81.8569,20.3682,79.6576,19.3554,28.1717,0.0
NOR_C26,2.8773,11.252,6.1874,1.9572,4.896,7.0626,0.435,2.1904,2.1359,1.6896,1.2847,1.4735,1.4131,2.1043,2.6369,6.8979,112.3327,27.3358,16.0249,1.4187,52.2925,31.0325,2.4089,11.2698,61.1906,73.7072,4.9698,14.2269,3.3216,17.6214,8.7877,2.2963,28.1323,7.7304,32.7933,45.0902,21.3549,171.748,62.9413,77.7353,27.9616,97.819,9.5752,13.3471,0.0
NOR_C27,4.6093,22.6539,9.954,2.855,11.3416,18.2252,1.9277,7.4393,2.8947,1.2396,7.2058,0.4364,2.1702,5.7909,65.3509,13.9865,28.9329,116.0655,44.5104,5.1941,57.6735,46.8031,2.9758,7.4557,422.6462,90.7269,31.3058,33.3882,7.9026,47.438,1.6503,8.426,6.9049,6.4255,9.7422,8.1266,14.7124,36.4045,28.5275,35.4151,13.0015,28.5653,17.5953,20.3044,0.0
NOR_C28,9.008,103.8638,71.1249,16.1131,66.282,41.6654,4.0923,22.3313,9.9696,1.3795,9.8464,0.9361,4.3352,20.7029,14.3307,34.2003,26.2822,11.1605,283.6673,11.3947,184.357,164.9584,5.03,18.2829,260.2807,187.4678,56.3451,142.5804,30.054,195.2038,3.1284,3.4512,14.8776,16.4731,36.3143,11.6274,35.0466,57.0926,121.4413,30.8027,9.2169,31.5423,22.1952,8.0287,0.0
NOR_C29,1.3293,5.9029,2.3796,0.5823,2.8428,8.0226,0.5153,1.8515,0.853,0.516,1.1855,0.1657,0.5246,1.5792,3.0569,2.0176,1.7763,2.5624,6.3901,1.039,5.4771,5.053,0.4151,1.384,18.3109,69.1278,8.8578,9.2893,2.2085,3.823,0.3434,1.3702,1.1164,1.5043,2.1678,1.2174,3.1547,5.6774,3.8506,3.9903,1.3768,6.5413,1.4117,2.5729,0.0
NOR_C30,0.0328,0.9699,9.8592,0.0133,0.0364,0.2407,0.0143,0.1077,0.0417,0.0242,0.0626,0.0157,0.045,0.0511,0.1309,2.9549,0.0628,0.042,0.145,2.444,99.7099,30.2784,0.1276,0.6328,1.1804,0.9374,0.5571,378.9295,9.9516,0.1094,0.0016,0.0404,0.2644,0.0084,0.2691,0.0,0.0902,1.1725,0.5037,59.445,0.1836,2.0246,0.0273,3.2809,0.0
