V1,MYS_A01_02,MYS_A03,MYS_B05_06,MYS_B07_08,MYS_B09,MYS_C10T12,MYS_C13T15,MYS_C16,MYS_C17_18,MYS_C19,MYS_C20,MYS_C21,MYS_C22,MYS_C23,MYS_C24,MYS_C25,MYS_C26,MYS_C27,MYS_C28,MYS_C29,MYS_C30,MYS_C31T33,MYS_D,MYS_E,MYS_F,MYS_G,MYS_H49,MYS_H50,MYS_H51,MYS_H52,MYS_H53,MYS_I,MYS_J58T60,MYS_J61,MYS_J62_63,MYS_K,MYS_L,MYS_M,MYS_N,MYS_O,MYS_P,MYS_Q,MYS_R,MYS_S,MYS_T,MYS_HFCE,MYS_NPISH,MYS_GGFC,MYS_GFCF,MYS_INVNT,MYS_DPABR
MYS_C30,8.0803,19.3703,4.3326,2.2978,2.0268,13.0362,1.4082,4.1992,3.0665,1.2613,8.5536,0.3521,3.8012,5.3487,9.892,10.3033,30.5894,4.1005,9.2806,149.8362,393.1355,9.4819,0.2028,0.1238,9.1519,97.2458,22.1232,863.8619,199.1007,12.1914,0.6809,3.7185,0.4884,2.5343,0.3581,4.6383,1.1602,2.0755,9.3101,118.2136,11.4349,10.4798,3.3006,1.6039,0.0,504.9156,0.0046,0.0,3322.7584,-84.6577,0.0
MYS_C31T33,26.8192,6.6602,41.1113,23.8065,23.5961,213.762,33.4783,36.4711,36.6397,72.5824,134.915,4.096,57.7554,62.8811,77.124,67.4293,319.569,43.7042,84.0254,64.676,22.6565,185.2054,14.6934,4.4162,146.9002,503.1752,31.6761,44.3823,54.0956,81.1444,11.264,23.2434,6.2291,22.3576,7.7053,15.9773,15.2267,19.7336,46.3237,127.8146,72.3096,71.5181,172.1653,2.7126,0.0,957.9137,0.0462,3.0432,179.4196,-92.768,0.0
MYS_D,80.3223,19.1496,18.3288,24.4081,68.7357,1177.5435,142.141,158.1842,216.1576,62.1259,701.3307,15.8057,287.0474,365.8676,884.7481,285.6798,1307.606,145.9082,112.7885,139.1794,46.5205,124.5641,214.7412,172.2594,121.0851,1500.8651,21.4971,8.9318,5.6964,107.7783,14.1562,311.2403,21.4588,200.0849,63.1178,20.3361,125.7677,117.7978,49.7028,709.403,676.3826,347.6639,225.1799,18.9676,0.0,2774.479,0.189,1.5836,15.9545,0.0008,0.0
MYS_E,42.0273,2.599,6.9297,15.0386,12.6196,101.7917,12.1946,10.3582,15.9261,4.7824,67.6151,1.5311,43.1276,26.7778,34.5782,27.6798,80.8063,10.2929,9.3302,10.3093,4.507,19.6082,37.9709,548.6601,28.7875,519.4616,7.7291,5.1361,6.6345,11.3836,4.6878,87.8221,2.4028,13.7766,13.0336,117.759,29.5706,23.8066,19.1243,212.506,65.1883,190.4328,78.4576,3.3388,0.0,863.0533,1.1796,73.6245,87.0002,0.0,0.0
MYS_F,91.7513,2.7697,37.6943,189.4639,32.1668,1.4407,0.053,0.0573,0.1156,0.0446,0.9039,0.0337,0.328,8.7284,0.8846,7.4419,204.0589,0.6363,0.325,0.6568,0.1092,0.2162,1054.4586,27.9918,1343.039,1738.5252,5.9203,0.0242,13.1189,29.5552,1.0346,44.8959,38.7844,327.6209,384.6017,382.3612,781.9779,105.8662,250.1739,569.3544,142.4232,58.2877,53.5305,0.0104,0.0,136.1187,0.2561,0.0,32726.1188,0.1085,0.0
MYS_G,1513.5039,198.4212,691.8651,90.8093,96.6381,7070.3955,395.1947,718.9767,723.3976,3555.8213,2351.4301,73.7905,1692.6762,998.9738,965.4887,853.9538,5934.9316,722.3697,502.7209,1256.451,562.1683,516.9347,603.2952,105.1653,3220.9337,3081.7288,559.2886,277.2348,237.9144,457.2118,42.6842,1637.1424,92.6159,119.3581,136.2483,177.9365,308.2264,164.6479,170.0668,600.3895,303.8696,302.3831,156.8678,25.2874,0.0,9369.6705,0.5127,14.2459,3588.5144,202.819,0.0
MYS_H49,89.0193,11.272,38.1151,6.0241,50.2909,432.9375,25.2705,44.0843,50.2734,165.4417,147.4807,4.9563,104.2022,64.0419,70.2308,61.8367,491.4218,50.2872,37.4337,106.741,43.041,36.6696,31.8669,7.3598,323.3596,195.7773,45.6906,24.0642,79.7753,58.6699,2.829,94.6633,4.6205,9.8652,10.0627,12.7556,20.0265,13.3925,17.7221,95.4892,30.3892,23.2187,9.7432,1.5548,0.0,692.3229,0.1313,0.9733,257.9793,0.7265,0.0
MYS_H50,76.196,9.4177,31.6698,6.0941,29.9181,313.6145,19.6806,39.2372,45.4385,150.1726,135.0942,4.3573,89.5261,58.6954,65.1816,59.2513,419.6736,47.0044,34.2744,80.2241,30.2469,32.4878,32.2718,8.1864,198.164,176.3822,32.149,11.625,12.1363,26.2151,2.4344,70.1486,3.9058,8.3019,9.3404,7.5249,19.5506,13.0164,10.8948,35.6878,20.3187,19.5967,8.6337,1.1945,0.0,539.5573,0.0109,13.2869,372.3041,134.6302,0.0
MYS_H51,46.9211,9.8028,113.9172,3.1662,18.8567,208.1907,12.957,19.9859,23.9739,61.7236,86.0675,3.4962,49.4767,33.8372,50.4063,42.0812,231.9277,34.3499,26.6554,48.6048,22.6889,28.6746,16.1456,4.1692,399.8569,71.0562,12.6474,5.6748,104.4796,12.4985,1.2153,76.6484,12.5136,157.3632,95.2029,363.8651,8.338,224.8936,210.8237,594.4252,65.7058,74.3886,3.8626,0.5226,0.0,454.3085,0.1131,0.3816,93.5098,106.5032,0.0
MYS_H52,52.7507,7.9028,118.0771,4.526,158.9276,287.0204,23.6124,29.2436,34.5481,101.1583,101.1865,3.312,72.1257,46.3907,49.8191,44.2008,311.9416,35.2532,26.9029,60.9072,23.3358,37.0038,20.0287,5.7664,175.6755,132.6529,352.1432,294.442,1881.1859,854.6416,7.5005,51.0306,2.8757,7.3771,6.8573,8.3194,27.6958,9.6314,14.7215,581.8632,21.5997,16.7302,6.5887,0.8405,0.0,2036.1457,0.4516,2.4657,178.7734,3.3434,0.0
