V1,ROU_A01_02,ROU_A03,ROU_B05_06,ROU_B07_08,ROU_B09,ROU_C10T12,ROU_C13T15,ROU_C16,ROU_C17_18,ROU_C19,ROU_C20,ROU_C21,ROU_C22,ROU_C23,ROU_C24,ROU_C25,ROU_C26,ROU_C27,ROU_C28,ROU_C29,ROU_C30,ROU_C31T33,ROU_D,ROU_E,ROU_F,ROU_G,ROU_H49,ROU_H50,ROU_H51,ROU_H52,ROU_H53,ROU_I,ROU_J58T60,ROU_J61,ROU_J62_63,ROU_K,ROU_L,ROU_M,ROU_N,ROU_O,ROU_P,ROU_Q,ROU_R,ROU_S,ROU_T,ROU_HFCE,ROU_NPISH,ROU_GGFC,ROU_GFCF,ROU_INVNT,ROU_DPABR
ROU_C30,2.7525,0.3112,1.0109,0.0979,0.0238,3.7723,0.136,7.8246,0.0482,1.2879,2.6077,0.5453,3.3628,3.3928,5.3283,4.5285,0.0013,0.068,9.6967,0.0139,75.568,28.0753,23.3503,0.6199,61.7808,35.6066,287.3595,21.3521,37.1547,0.0058,0.0,0.863,0.0657,0.0586,0.009,0.0,0.0458,1.4963,0.2647,0.0,0.0007,0.0069,2.9166,49.6781,0.0,274.929,0.0,4.3424,50.6444,15.9687,0.0
ROU_C31T33,344.3612,0.2016,11.6477,0.8871,6.1314,18.8682,10.9921,34.0949,5.8565,17.7258,10.7377,1.4892,25.65,17.7031,34.7035,53.9568,77.1902,63.1041,69.7827,401.1643,28.8402,69.7131,68.5902,17.0666,297.7665,271.2909,821.0351,13.4238,40.0835,101.2541,0.5895,23.2475,8.4815,82.2676,3.115,50.9478,81.1401,79.0081,18.2135,10.8135,11.8796,30.4223,9.0309,15.7166,0.0,1171.7527,0.0,0.2602,590.0602,-330.8465,0.0
ROU_D,209.4458,0.9952,130.4756,12.1388,6.0277,285.8629,135.5901,137.3861,86.3799,137.4164,296.0606,14.252,196.4398,233.128,342.9115,242.7886,80.6034,275.5163,229.9512,518.8657,60.1168,162.8557,2216.9415,199.7462,882.6225,778.4474,135.9218,4.0497,17.3968,182.5901,32.7575,98.8135,26.3448,96.9012,163.2995,107.0956,112.8112,481.5635,195.3994,19.0517,27.8379,51.9802,55.0682,76.2736,0.0,3652.3126,0.0,12.609,0.0,4.4941,0.0
ROU_E,31.2096,5.7995,6.6123,3.1594,1.1093,9.9227,11.3211,9.0785,8.1116,4.74,2.0968,2.1907,11.1877,4.6778,4.1812,7.6873,4.5524,24.6825,3.9369,21.4653,4.7177,11.991,8.1724,27.1278,1023.2647,78.6588,9.4574,0.9331,3.8689,41.0372,8.0824,53.3323,11.8849,21.7755,36.5252,9.9428,9.0159,117.9788,49.3622,1.8846,99.9191,265.7173,19.8355,33.825,0.0,1117.6613,156.6426,517.2057,60.1866,0.0,0.0
ROU_F,34.3703,0.6171,13.8589,4.1214,4.3011,68.0145,39.6662,23.0536,19.273,46.728,39.3693,5.7049,36.3378,45.2561,33.3095,32.3403,11.9034,44.833,30.856,52.338,11.6886,31.5816,323.013,50.4897,788.3914,497.2857,467.7413,2.9676,7.7747,73.4534,19.2694,51.609,23.4209,97.3566,65.6851,42.936,137.4365,223.4991,93.5539,203.1895,62.4926,83.8766,93.864,42.4522,0.0,760.9076,0.0,877.2092,24698.8563,84.3831,0.0
ROU_G,1037.448,45.2257,56.3755,15.0935,11.5847,2282.8558,476.4873,226.7396,95.0405,706.1362,292.8947,39.476,414.3274,240.3379,455.9164,263.7386,170.2655,312.0591,244.9583,1241.9152,75.452,336.8169,738.9749,122.9982,1981.5104,2833.1095,1612.1223,14.3175,33.1971,128.1857,20.8583,718.8755,78.4086,266.9293,137.5812,74.4675,173.9798,468.9164,175.1655,155.9662,135.2768,1048.5288,153.6333,259.8864,0.0,14930.138,0.0695,407.9236,1284.715,526.2767,0.0
ROU_H49,227.5527,11.2716,38.4055,14.6677,9.2417,428.9721,60.2769,93.7405,24.578,448.2643,81.5391,7.0155,99.0594,111.3766,156.5642,110.6692,48.3617,94.8416,79.8703,345.0306,26.8092,99.9623,340.1526,31.2781,805.8189,1229.4058,308.279,3.982,7.8245,30.7223,36.2563,97.3635,15.3561,41.3105,29.169,16.8101,42.1331,113.7811,69.1911,24.5434,22.1993,100.8,37.1111,57.2945,0.0,5483.7667,0.0048,1814.0625,246.4708,165.3661,0.0
ROU_H50,10.5143,0.3488,0.587,0.2412,0.1259,16.6459,5.0494,2.3332,1.387,16.3033,4.2998,0.4466,6.6422,3.1795,7.0239,4.3148,2.199,4.6872,3.5849,20.6087,1.2359,4.3278,13.2737,1.4452,25.3852,18.5495,16.3349,0.0239,0.3561,1.4219,0.1427,4.0677,1.0032,2.3058,1.868,0.6894,2.168,4.782,1.7884,1.3481,1.0724,9.0809,1.2285,2.0418,0.0,0.0232,0.0009,0.0181,27.5759,185.1211,0.0
ROU_H51,2.1825,0.0137,0.0699,0.0101,0.0033,2.4607,0.9452,0.3589,0.2815,4.6823,1.3654,0.0742,1.3147,0.2013,0.7939,0.6827,0.2052,0.7424,0.3794,3.5319,0.1239,0.5712,2.5393,0.115,4.5916,3.0715,1.8541,0.0062,0.002,0.1683,0.0056,0.608,0.207,0.3281,0.1424,0.0396,2.3292,0.2092,0.0864,0.003,0.0467,1.1078,0.0427,0.1784,0.0,0.0024,0.0004,0.2344,9.5807,214.6788,0.0
ROU_H52,85.1737,3.93,27.0684,17.7429,3.9946,144.1984,18.1494,44.3973,9.1323,142.9792,35.4794,7.323,53.7981,51.8477,62.2497,47.9,27.7789,34.2271,39.2883,117.2189,20.1169,42.4548,113.0772,16.3353,308.7337,770.1464,117.5653,15.3342,12.4607,21.1051,3.642,23.4859,7.5467,68.5321,19.3085,49.1474,15.6345,63.8667,63.2028,76.2854,14.3132,64.6379,12.6924,38.5047,0.0,492.6743,0.0011,635.4306,57.1339,25.9246,0.0
ROU_H53,2.7072,0.0,1.5659,0.2548,0.204,6.2525,8.0549,6.1894,0.4676,0.3375,2.4537,0.1422,0.6935,3.1388,2.745,5.0578,3.1654,0.0,5.1995,14.9717,0.3284,6.1375,9.3933,1.6955,22.2218,392.4242,39.4625,1.2646,8.2592,2.6269,5.226,7.0481,0.7936,15.3792,2.2776,0.5789,0.6832,19.7508,3.1264,12.9985,2.484,7.0317,1.967,9.9771,0.0,166.1109,0.0,0.0,0.0,0.8629,0.0
ROU_I,23.1008,0.9234,22.9014,2.6022,1.7013,50.5626,28.5269,18.0673,7.4419,9.4875,19.5334,2.0997,22.6997,27.496,19.8922,47.7973,16.1188,23.8691,38.6605,112.3036,4.2919,21.4173,50.6766,32.6739,418.4627,634.1247,217.2331,13.1162,35.3367,48.2643,8.7066,25.46,13.2568,92.8283,43.3645,45.798,118.5499,167.5949,104.901,306.2256,118.2818,160.6271,17.181,58.1287,0.0,3377.9957,0.0,85.8244,0.0,0.0,0.0
ROU_J58T60,20.1957,1.3782,7.4673,2.2745,0.1782,15.6906,13.7779,17.6098,8.0337,4.924,2.3636,2.3809,10.1697,9.5814,16.7573,15.5439,17.6242,35.6719,14.308,71.4851,6.6292,22.713,23.8914,33.7497,26.3327,273.5337,15.79,0.9866,13.2329,37.8448,18.4952,116.6075,124.0099,54.6303,39.955,48.3705,48.1722,124.2341,42.0899,54.0139,106.0666,34.3964,93.3265,26.4351,0.0,651.0289,10.266,128.0399,139.4481,-429.0282,0.0
ROU_J61,7.4274,1.2167,10.5448,1.6727,0.9772,24.4327,20.0514,9.3176,4.1789,2.2324,17.151,1.693,17.4704,9.4641,11.91,36.5113,9.6701,13.3162,14.68,44.7255,4.7969,14.9387,103.3577,20.0277,68.2411,602.7673,80.3296,2.6314,40.2689,68.3879,21.4732,14.5593,50.1481,191.6451,21.0741,78.3353,150.0781,83.0964,58.437,46.3953,5.672,10.6095,9.2761,21.4015,0.0,3282.6978,0.0,42.6633,1.1881,3.5912,0.0
