V1,SAU_A01_02,SAU_A03,SAU_B05_06,SAU_B07_08,SAU_B09,SAU_C10T12,SAU_C13T15,SAU_C16,SAU_C17_18,SAU_C19,SAU_C20,SAU_C21,SAU_C22,SAU_C23,SAU_C24,SAU_C25,SAU_C26,SAU_C27,SAU_C28,SAU_C29,SAU_C30,SAU_C31T33,SAU_D,SAU_E,SAU_F,SAU_G,SAU_H49,SAU_H50,SAU_H51,SAU_H52,SAU_H53,SAU_I,SAU_J58T60,SAU_J61,SAU_J62_63,SAU_K,SAU_L,SAU_M,SAU_N,SAU_O,SAU_P,SAU_Q,SAU_R,SAU_S,SAU_T,SAU_HFCE,SAU_NPISH,SAU_GGFC,SAU_GFCF,SAU_INVNT,SAU_DPABR
SAU_C20,354.0715,62.8197,178.1278,38.4085,12.9897,187.148,435.9886,57.2952,636.8392,316.4493,1738.5059,19.208,1082.9806,363.5647,428.191,306.7437,6.04,371.8763,66.0762,36.2988,22.39,141.7163,252.924,180.4867,2237.3707,1232.2821,29.3179,1.1352,133.7576,30.1071,0.6088,293.45,365.0455,142.2372,28.4099,31.8795,2.9611,30.3922,235.1361,185.3027,90.0223,344.8955,42.5057,201.492,0.0,5122.9227,0.0,84.9661,0.0,2415.8819,0.0
SAU_C21,14.286,9.1442,9.1321,0.3075,1.0434,11.7283,10.5018,1.9785,17.4791,3.4438,191.6009,87.3878,24.5925,10.9204,3.8967,10.9391,0.2142,7.1953,2.5501,1.5707,0.0765,4.927,18.6625,6.305,76.9371,82.3879,1.522,0.0677,11.1116,1.5177,0.0636,25.7234,8.7738,12.4693,1.7217,1.0171,0.0971,4.1932,14.2769,35.5506,16.5279,153.5578,3.6099,17.1719,0.0,454.5871,0.0,40.5266,0.0,-220.3077,0.0
SAU_C22,171.4023,211.8692,12.9103,5.6049,3.6238,126.2517,295.689,4.4982,29.011,71.839,73.9252,2.9447,494.3754,22.519,9.6114,37.0134,4.9411,191.8484,35.0069,52.9038,21.8944,84.2105,0.4807,50.8787,1239.2581,1455.8691,68.6106,0.0117,24.3612,148.6507,7.0333,64.2673,36.4384,50.7172,0.4127,10.8668,0.0027,45.336,30.341,76.0069,26.5694,154.4111,12.1864,69.5688,0.0,1814.8352,0.0,0.0,470.176,682.6704,0.0
SAU_C23,6.2567,0.4257,11.0097,0.7179,1.7484,95.0026,1.0513,1.3605,0.6409,15.6903,15.7876,0.7517,5.2843,411.5134,16.7916,30.955,3.1578,28.2662,14.015,9.7344,1.9276,9.3584,11.1935,11.8597,5597.9623,81.1986,0.6329,0.0172,7.3452,12.6298,18.0415,31.3978,0.0902,20.6479,0.0,0.2337,0.8897,33.5669,26.0554,3.5465,9.9675,173.399,1.0859,35.9743,0.0,3096.8711,0.0,0.0,3011.4368,622.8196,0.0
SAU_C24,1.6791,0.0,59.7511,18.5155,5.6282,0.8066,3.9372,0.6147,16.5597,188.667,3.8417,0.062,26.3951,31.5002,177.463,687.8793,4.0928,443.3147,122.4048,60.8099,17.6363,60.1512,22.8635,30.7778,2964.3306,318.1238,1.0133,0.0179,20.3714,13.0146,1.3955,52.3618,53.8838,4.55,0.0,0.0,0.0016,134.0643,80.6298,5.7208,22.9003,135.7125,6.9578,50.9595,0.0,0.0,0.0,0.0,0.0,144.0859,0.0
SAU_C25,7.8029,1.5179,4.2351,1.0601,0.4472,34.5441,22.2884,3.6952,9.9937,24.4814,2.9784,0.047,11.9966,27.1532,70.4251,129.9977,1.4623,83.995,90.1768,15.1392,8.9373,39.7363,3.6093,1.7823,294.8798,76.8368,3.0025,0.0262,24.3727,87.4639,0.0097,6.596,0.7661,0.009,0.1111,1.025,1.2685,10.3704,7.1624,64.4529,6.8853,16.451,0.5053,30.5318,0.0,0.0,0.0,0.0,8066.3787,552.2806,0.0
SAU_C26,0.0562,1.0456,1.3301,0.0047,0.0853,0.2913,0.3054,0.0249,1.7236,0.1918,1.4739,0.0481,0.0989,1.3702,0.1939,7.8413,6.6237,3.4567,2.8765,0.7067,1.1321,1.6454,0.2511,0.9948,0.6819,2.4986,0.1232,0.0116,2.9129,1.8225,0.4566,0.3882,0.0258,1.1722,0.0345,1.2041,0.0249,5.1082,1.7416,28.6551,2.1304,17.3875,1.1076,5.8009,0.0,184.0211,0.0,1.6921,711.6599,41.8392,0.0
SAU_C27,1.983,1.315,5.4699,0.1759,0.4923,1.3801,0.7702,0.3144,0.9994,35.3283,2.3883,0.0585,3.6517,6.0456,2.8923,7.2425,10.4675,435.8789,74.8201,17.8974,6.0872,9.6045,0.1184,24.7736,147.4713,267.5136,0.0209,0.0009,0.2111,0.3899,0.0802,5.6943,0.0881,19.9434,0.0698,3.1702,0.0022,15.3703,10.4856,32.1235,7.4757,17.2391,0.8531,27.1558,0.0,3599.4399,0.0,0.0,5885.8205,522.7995,0.0
SAU_C28,13.9133,0.2791,16.1164,2.9299,0.8321,8.5156,11.9724,2.335,12.133,56.4116,11.163,0.2547,8.2635,31.3352,17.8621,27.7942,0.2907,19.3947,38.4084,2.9494,2.7934,7.3657,21.0797,6.5781,151.9935,160.8506,8.0857,0.0418,19.4205,21.3075,10.1973,19.9181,5.6484,43.7941,0.042,0.4605,0.0005,6.0165,28.8775,111.533,4.6383,19.5178,3.105,5.3286,0.0,0.0,0.0,0.0,4541.0841,233.4383,0.0
SAU_C29,0.2205,0.0195,0.1966,0.0007,0.0304,0.0103,0.0003,0.0008,0.0002,0.0771,0.0061,0.0002,0.0019,0.0204,0.0,0.0155,0.0008,0.0014,0.0058,3.1915,0.0712,0.0312,0.0317,0.146,0.0,45.3419,1.3731,0.0,0.0121,0.4587,0.0,0.3811,0.003,0.0,0.0002,0.0005,0.0102,0.1439,0.2711,0.7823,0.0,0.9995,0.1075,0.508,0.0,507.1671,0.0,0.0,1237.0372,62.5381,0.0
