V1,USA_A01_02,USA_A03,USA_B05_06,USA_B07_08,USA_B09,USA_C10T12,USA_C13T15,USA_C16,USA_C17_18,USA_C19,USA_C20,USA_C21,USA_C22,USA_C23,USA_C24,USA_C25,USA_C26,USA_C27,USA_C28,USA_C29,USA_C30,USA_C31T33,USA_D,USA_E,USA_F,USA_G,USA_H49,USA_H50,USA_H51,USA_H52,USA_H53,USA_I,USA_J58T60,USA_J61,USA_J62_63,USA_K,USA_L,USA_M,USA_N,USA_O,USA_P,USA_Q,USA_R,USA_S,USA_T,USA_HFCE,USA_NPISH,USA_GGFC,USA_GFCF,USA_INVNT,USA_DPABR
USA_J61,773.2291,0.2109,809.1214,194.9455,668.931,1398.9319,167.3264,282.6319,812.9211,256.6319,881.3902,415.9249,644.0194,455.4858,613.7678,1286.6396,443.8515,245.8983,988.2818,542.1739,590.8003,987.8955,1564.2736,814.1448,8086.4601,35440.1343,4706.7202,281.5888,584.6351,2985.2684,717.4439,7384.2127,4498.0476,63146.6048,10684.0508,23496.6289,17754.5709,24922.5216,14788.4869,33226.5057,15019.8455,12507.0234,1793.56,4060.2987,0.0,285141.3417,848.7803,8.825,10913.199,207.5979,0.0
USA_J62_63,482.6388,1.0327,5233.4953,273.4366,115.3118,2854.7039,393.7207,798.398,1596.8276,1050.4571,1332.8243,922.3702,1388.4278,968.7251,1948.1605,3262.9266,1104.96,389.9835,2835.9868,1149.2726,2406.0847,1986.0009,3440.2039,996.8898,6732.4612,58390.1138,2548.3304,226.0521,308.4215,1367.1694,515.1242,11602.026,13081.497,11564.4811,28976.2028,39876.2021,6798.811,67807.2769,37325.3599,68385.6757,8528.3315,23919.2622,3199.3436,10372.638,0.0,47983.0831,896.0854,1794.2294,263966.1693,354.5041,0.0107
USA_K,5462.9713,899.0913,16601.9468,3153.0377,8374.3823,6697.4895,744.6257,556.5754,1377.4088,2299.6617,3678.4579,1342.8733,2017.1705,1799.255,4555.4676,3881.5631,1574.2049,1445.4149,4002.7382,5314.9963,2210.0711,4098.6706,11058.4977,1923.7857,16149.8794,99969.3189,34917.0363,10220.753,6511.9165,7808.4628,3757.991,16540.1084,7727.3888,8487.2526,10638.2477,710501.1445,230642.2092,78793.5807,50642.6117,108664.1765,9792.4428,102067.7915,6448.7692,30638.7424,0.0,933101.4462,8172.962,77.0648,20327.4579,505.183,0.0
USA_L,8272.4549,1.9853,1126.5682,126.0998,224.2526,3120.8556,473.5237,498.1184,2128.534,234.5128,951.6155,2704.7638,1705.541,614.7771,755.5351,3591.039,3919.0742,416.3785,1346.3163,1445.1392,3441.6918,2304.1418,4335.3626,1991.1131,20995.5403,235408.2064,7405.9029,419.5053,301.3719,23271.7293,2202.0484,76092.6989,12105.6948,15618.9478,15946.1879,96669.9434,127490.9186,102158.168,27119.4391,40161.7177,46500.7922,131188.0079,22313.6487,44294.8582,0.0,1992083.1078,10512.4976,0.0,181446.0129,1.0665,0.0
USA_M,3263.68,8.4846,20715.0571,4896.4049,8469.0868,35088.8996,3350.8327,3353.7986,9933.9588,13177.7544,18957.892,20195.4682,7891.3691,6973.1292,10208.2961,21510.3199,29025.9223,2931.5707,24440.7551,20229.0723,16291.2382,11335.8695,14477.37,6624.1644,64009.2221,270225.2279,15523.0265,2344.2043,1295.6757,6447.6965,3922.0018,103422.2925,36237.9204,40992.8317,53813.2631,166921.054,105540.9418,189795.3311,93030.6324,101435.979,20969.6026,127162.6314,14537.35,21762.361,0.0,156312.1648,7343.9609,7.79,273254.2188,513.1117,0.0
USA_N,3638.7675,4.0209,4863.2756,1232.6574,3741.1307,6451.2391,808.8249,945.449,5443.708,3756.2603,6527.1497,2221.2616,2580.7575,2261.4389,5655.7358,8515.0195,3359.1914,822.4664,3323.5428,4075.4659,5096.3337,3470.7372,20715.9246,5218.2257,25681.5801,146921.551,32027.2086,7828.201,11693.7413,13224.6156,4844.3142,28165.6927,28013.1566,36425.7491,59587.7205,65136.7513,105079.215,103986.966,81380.8436,58196.9819,12650.1297,104973.0651,9700.4038,13443.051,0.0,125460.8725,4465.5583,149.952,5231.3174,331.943,0.001
USA_O,4093.9594,52.4443,3187.345,693.1155,446.0576,4863.4865,451.848,1730.4008,2616.8236,2824.5596,4854.0217,608.6487,1661.4407,1385.3517,2368.83,1642.2445,666.9059,290.4455,912.152,1117.2818,688.6644,899.7217,16426.9646,5092.8413,5843.5816,29778.5342,3642.0409,293.2652,1017.7833,5380.517,1082.055,11949.5797,4120.7225,5835.3678,2459.8032,25442.1842,32406.9777,14611.6646,7227.639,30977.2209,10834.7626,24163.252,4137.0409,4644.9297,0.0,491868.8309,25083.8758,1805493.4913,56877.9605,976.7288,0.0213
USA_P,91.2823,2.0573,70.8475,17.2657,65.6573,277.1159,20.6204,34.2519,288.1375,80.7552,127.2255,24.7936,116.0125,58.337,89.3892,128.6625,24.3904,18.488,96.0279,69.5843,51.6636,132.0807,635.9448,131.7387,280.6307,10328.6424,161.99,3.5506,511.5401,244.2903,84.6365,861.1693,542.5539,524.5487,1577.2512,2628.3774,3206.916,4125.168,3543.3309,11638.8984,14580.1338,2723.0235,2662.0934,4402.2792,0.0,354578.0121,66074.8506,786707.4732,77767.9749,160.0035,0.0002
USA_Q,278.0774,0.3773,98.6929,18.9041,42.1574,678.4095,41.4895,25.4073,104.0267,52.5272,238.4853,72.6891,103.4282,44.157,43.8499,73.8373,40.7544,34.539,87.8369,121.0164,63.7749,93.3601,83.4305,33.7209,579.862,853.977,238.7805,12.2968,157.7747,49.2621,37.3473,390.9663,221.0423,201.1974,281.4431,461.7191,371.9642,1074.5147,535.9222,13292.2224,248.9099,36838.3044,225.4568,257.5493,0.0,2124161.3836,86414.1359,103165.9355,9628.6649,374.677,0.0
USA_R,174.6798,0.1942,35.2663,9.4411,55.207,423.9785,32.1155,47.8181,122.7388,56.6786,156.9761,71.828,128.6788,64.971,122.4728,163.9256,48.6989,27.8405,112.8128,121.8469,51.0915,146.9855,246.1587,118.4136,483.4076,6129.8453,355.7187,27.5604,282.9196,382.0118,88.035,2705.3943,17284.6451,6640.5983,1308.7801,3367.7324,5006.7133,7766.8232,2966.4196,2443.4006,1617.2301,2872.3747,14753.021,2053.7399,0.0,189596.6023,38052.1012,895.8557,4454.6536,128.9755,0.0
USA_S,240.9894,0.123,96.6502,29.4337,206.0735,377.9325,31.7951,43.6742,155.2043,69.2357,244.3105,57.4508,110.4436,107.0068,184.3452,172.1525,51.7789,22.1881,89.0072,105.6895,65.4249,192.5101,270.6276,446.1914,1357.036,9022.7471,615.5754,55.1319,224.2385,1999.9423,532.9576,2917.137,356.5869,1274.0389,650.4203,7361.6845,2590.8028,5763.7919,3693.7426,10759.3734,2818.0536,8615.8999,1027.6987,5512.0874,0.0,282044.836,129770.2546,58.9573,983.6668,111.5657,0.0
USA_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18684.1011,0.0,0.0,0.0,0.0,0.0
