V1,TWN_A01_02,TWN_A03,TWN_B05_06,TWN_B07_08,TWN_B09,TWN_C10T12,TWN_C13T15,TWN_C16,TWN_C17_18,TWN_C19,TWN_C20,TWN_C21,TWN_C22,TWN_C23,TWN_C24,TWN_C25,TWN_C26,TWN_C27,TWN_C28,TWN_C29,TWN_C30,TWN_C31T33,TWN_D,TWN_E,TWN_F,TWN_G,TWN_H49,TWN_H50,TWN_H51,TWN_H52,TWN_H53,TWN_I,TWN_J58T60,TWN_J61,TWN_J62_63,TWN_K,TWN_L,TWN_M,TWN_N,TWN_O,TWN_P,TWN_Q,TWN_R,TWN_S,TWN_T,TWN_HFCE,TWN_NPISH,TWN_GGFC,TWN_GFCF,TWN_INVNT,TWN_DPABR
TWN_C20,274.6939,10.5437,4.8248,17.0342,8.7917,155.6901,1741.2804,31.3681,554.9351,500.587,23433.3142,156.0651,3777.8248,373.8815,662.3624,867.3821,8378.9986,251.8637,205.308,167.9328,118.5258,164.0504,103.446,92.153,677.1759,1024.9335,21.2553,6.53,10.7512,12.8391,1.8298,162.6,101.6515,17.4076,7.4703,14.8375,15.478,282.0838,252.4287,75.9241,114.9563,239.9866,23.0147,96.5685,0.0,2632.2502,0.7462,18.8122,125.8769,-31.3745,0.0
TWN_C21,32.9501,3.7243,0.0843,0.1488,0.073,49.8671,6.8624,0.7101,3.1138,3.7785,37.58,198.9455,6.6496,2.3195,12.6356,6.6622,52.5855,4.6152,6.9257,1.4457,2.4419,2.7674,1.1818,0.929,10.1059,12.2742,0.7979,0.4062,0.8531,0.3436,0.0684,25.1831,1.1163,0.5145,0.7408,0.9803,0.9788,40.8546,0.8358,16.5704,8.206,815.0687,1.8339,1.0905,0.0,623.9651,0.2707,884.7708,18.2135,-0.3586,0.0
TWN_C22,56.2474,3.9911,0.9621,3.2313,1.9401,289.5814,226.8992,19.5178,252.9609,20.2154,349.0145,66.0796,1253.6767,60.9365,67.8776,296.8778,2975.317,420.7612,576.334,373.9229,225.8687,189.9938,8.9657,40.6055,733.6887,1062.3441,107.2984,3.3352,4.8906,5.4679,0.7705,172.3532,25.9703,4.6824,4.7436,6.7702,5.8551,87.8627,36.4393,84.5858,35.2568,45.5321,15.5066,37.1217,0.0,1211.8213,0.1065,10.6683,103.2755,-11.6903,0.0
TWN_C23,8.8254,2.7625,1.4163,0.9946,0.5128,61.3424,145.6155,2.0999,41.4459,14.8372,194.7205,20.3277,27.3102,1204.9404,319.2594,99.118,2843.7903,51.8602,86.3154,43.4411,41.6499,32.922,28.0553,82.157,3720.6986,78.7331,10.7861,3.1832,2.0943,3.813,1.766,51.2919,4.9372,1.999,2.4631,10.9135,6.9203,31.245,6.0696,82.3524,43.1571,39.0741,6.2474,12.6101,0.0,414.9876,0.5034,42.2782,76.0793,-0.0471,0.0
TWN_C24,20.3726,20.6425,7.1845,12.3596,4.6294,56.2312,45.4106,4.8803,65.6548,194.9283,1024.408,6.7519,165.2761,135.2854,17538.5066,6845.1959,1772.7117,1731.9082,4506.9596,860.8738,826.2116,352.9958,167.7336,195.7864,3508.8942,174.8555,85.2464,20.028,83.5314,19.1942,2.5831,35.9327,7.7082,6.592,6.8167,11.8786,14.836,36.8793,15.1823,43.3622,24.2286,32.5088,6.0501,42.2722,0.0,421.8285,0.157,16.9099,224.3733,-0.1131,0.0
TWN_C25,58.7342,5.023,2.5772,8.9278,5.8532,271.5418,89.2958,29.0309,54.3518,55.3541,233.8689,16.3452,302.1698,109.8499,738.3913,2998.9787,1833.5192,512.7053,2071.4069,405.8777,464.1155,258.849,35.1057,22.0602,2708.0527,209.2321,17.8721,17.7351,10.2109,19.3005,2.4723,119.8471,16.5242,5.7632,17.8254,15.2785,25.5444,68.5178,36.2663,1007.7061,59.8116,90.577,12.6292,50.7992,0.0,1555.3175,0.4788,32.6151,2549.3351,-28.5248,0.0
TWN_C26,395.7269,64.4523,5.9202,9.5559,4.3969,1007.0698,430.7789,60.8861,235.3688,256.6791,1105.5666,118.8673,287.171,183.0505,1242.3353,615.6836,42716.2455,1099.1907,1159.18,208.6822,315.322,201.3707,124.3161,78.9964,1239.1858,503.9109,62.8144,21.0257,67.5788,18.7485,3.8992,486.9623,181.6844,94.2007,321.3597,86.1971,65.1086,491.1727,87.642,207.6897,206.5738,641.7891,71.3556,58.3129,0.0,9117.5263,1.6663,407.6073,6572.7768,-52.3852,0.0
TWN_C27,18.9861,4.0846,2.5727,3.0496,1.8791,50.028,27.3305,3.5106,14.7586,25.4189,83.0517,6.6665,28.2739,37.1383,90.0325,85.2279,1433.052,2993.6029,1009.8622,155.4011,166.7568,91.8563,40.3452,11.2592,1534.4338,131.015,17.7002,16.4653,22.2254,15.7416,1.1454,27.902,14.8153,91.7908,41.9916,13.698,33.9757,80.8334,40.6534,76.3155,118.1021,58.1114,7.0381,38.7279,0.0,2664.8637,0.3484,21.5286,805.5239,-11.3504,0.0
TWN_C28,35.9147,7.8997,7.3667,26.0319,15.8296,65.4836,33.8768,6.1822,29.7343,86.4611,142.8949,6.0664,63.641,94.2364,191.7373,219.7336,1016.3182,289.346,2577.7028,102.9701,150.1123,416.5775,31.8063,49.8827,720.4943,89.3316,8.443,5.2786,8.4139,10.6329,1.7023,32.0421,9.4392,6.4289,7.4579,12.1356,28.4916,27.0339,28.0585,67.1296,32.8932,29.292,7.3191,17.3555,0.0,341.5965,0.2737,20.5662,9987.9298,-68.263,0.0
TWN_C29,10.1315,1.6563,0.2979,0.4136,0.2206,27.898,12.9536,1.7628,6.9081,8.7603,27.8773,2.8837,9.0875,7.2697,35.9804,38.0421,124.3871,37.819,54.0351,2673.6733,91.951,7.9937,3.7045,1.6944,54.0402,838.5995,70.5428,2.0353,3.8082,3.0546,0.2353,15.3098,2.6807,1.7844,2.2527,3.1668,2.8013,10.2586,19.4545,26.5996,5.1157,13.9785,1.88,129.9152,0.0,3647.7861,0.1535,75.214,2461.2637,-18.0265,0.0
TWN_C30,2.5143,37.8096,0.1814,0.2473,0.137,6.6821,3.8743,0.5269,2.9465,5.8406,17.4018,0.7139,3.7536,2.8539,25.3207,8.1793,79.2781,7.5038,14.4632,137.2612,2042.7581,519.1746,15.7031,3.2526,15.4196,236.012,11.7292,2.3142,124.0681,3.2133,0.451,5.5211,1.2139,0.915,1.8039,2.8821,2.92,7.5769,2.84,8.6102,2.959,29.0749,2.7038,30.8334,0.0,1167.8777,0.0468,63.2629,2438.767,-7.1351,0.0
TWN_C31T33,8.9199,26.4683,1.6636,1.4436,1.0695,25.1734,30.9568,4.7814,32.0195,77.8375,225.413,6.2459,46.1249,16.613,353.02,68.9718,1051.0801,27.4772,83.7347,35.5216,27.8755,263.7627,271.4247,58.6299,114.9292,77.7912,137.4472,28.9901,298.149,47.3959,5.8578,19.0274,9.8685,1.5675,14.0237,31.2055,14.4304,25.313,21.3505,87.6788,49.9787,258.6215,49.1211,30.6398,0.0,1280.8338,0.1185,15.7025,610.3807,-3.4679,0.0
