V1,JPN_A01_02,JPN_A03,JPN_B05_06,JPN_B07_08,JPN_B09,JPN_C10T12,JPN_C13T15,JPN_C16,JPN_C17_18,JPN_C19,JPN_C20,JPN_C21,JPN_C22,JPN_C23,JPN_C24,JPN_C25,JPN_C26,JPN_C27,JPN_C28,JPN_C29,JPN_C30,JPN_C31T33,JPN_D,JPN_E,JPN_F,JPN_G,JPN_H49,JPN_H50,JPN_H51,JPN_H52,JPN_H53,JPN_I,JPN_J58T60,JPN_J61,JPN_J62_63,JPN_K,JPN_L,JPN_M,JPN_N,JPN_O,JPN_P,JPN_Q,JPN_R,JPN_S,JPN_T,JPN_HFCE,JPN_NPISH,JPN_GGFC,JPN_GFCF,JPN_INVNT,JPN_DPABR
JPN_C30,0.1,834.2722,0.0,0.2666,0.0791,0.6477,0.2845,0.44,0.3741,0.0646,2.9252,0.7756,12.9334,2.3839,5.311,45.6583,364.0797,104.046,689.0315,63.4239,11726.8874,43.3975,0.0,0.0152,0.0,486.5501,1671.6942,2305.0381,1651.3206,140.0923,0.0584,2.685,0.6273,0.0,0.1414,0.0636,0.0,2.507,1.2901,1144.8867,19.1426,0.0,2.3019,30.7595,0,1728.3866,0.0,0.0,14135.5599,94.9883,0.0
JPN_C31T33,626.4481,138.247,9.2619,77.9172,15.7547,806.0269,351.2704,170.2992,267.5212,103.6489,722.1457,209.395,469.4689,296.9818,759.216,368.8423,1165.7296,862.2125,1298.2373,343.9806,216.2175,3443.5912,1089.2426,550.6236,7862.6406,3506.9501,1519.9017,284.9229,108.7927,576.7806,68.0167,2287.5811,1031.7361,1311.3132,3322.0463,1755.6907,573.1062,6529.9723,4352.2621,2324.3784,1565.4737,3506.7539,1552.3326,2305.0054,0,32456.3399,0.0,9.3954,13053.849,14.9151,0.0
JPN_D,902.7675,84.3864,40.9799,192.7052,24.3462,3396.5955,546.0956,404.0644,3143.4689,668.183,4438.7795,495.0431,2686.9878,1769.069,9218.1886,1739.8605,838.442,2251.5068,2492.9621,2676.5132,742.2303,410.7174,18099.4515,2304.4313,1421.1082,13914.9223,3781.1663,5.0371,73.9666,1281.9129,68.1945,9747.5687,344.3225,1208.0317,195.9164,1189.7624,2186.1481,3946.7179,2418.2308,3867.6783,2517.5478,5567.1929,2425.7828,2147.176,0,52860.855,0.0,29048.029,0.0,0.0,0.0
JPN_E,154.7289,5.9713,6.7313,24.6106,5.6944,920.8496,67.528,27.7108,357.3015,83.1437,985.3976,197.9453,200.5797,158.7867,455.0072,116.2604,314.6044,392.5453,438.3256,163.3643,201.2033,80.4694,1009.4197,10358.354,1100.3607,2257.8799,1971.7256,24.3338,19.0907,668.3509,23.8205,7290.666,376.6503,1637.8118,41.1416,964.2803,386.2245,852.9533,534.179,7091.8299,1965.5179,4971.5853,1096.2527,1372.0825,0,22495.7129,6518.5221,26748.8824,0.0,0.0,0.0
JPN_F,467.3153,19.8466,3.6071,25.5606,26.6905,241.8431,83.7241,43.6078,430.2921,79.0514,705.4796,215.0415,388.7697,339.9905,1375.3717,502.698,420.4721,539.28,634.7948,187.1762,181.0998,158.4224,3082.6092,1887.6895,565.9155,3136.7765,1635.3818,37.5911,2.552,1353.6761,25.5297,509.5671,982.3159,1156.6563,128.5822,980.1573,6944.0729,825.0985,368.3836,3422.3465,999.7455,2076.7449,544.2968,347.7656,0,0.0,0.0,0.0,539426.938,0.0,0.0
JPN_G,12154.3914,1345.0038,30.4689,337.9739,95.5929,45140.5077,6023.145,2297.5429,11910.4701,6544.094,19611.4499,5805.4741,12926.9595,3826.7206,25824.3911,6827.3225,13420.6861,13253.1719,23438.238,50409.3267,4358.5183,9931.8115,8068.5002,1950.8607,42524.3595,40373.1084,7762.8586,3079.9122,2256.6346,2372.2677,380.2578,30472.2325,3975.1848,2991.1406,5344.0679,5123.3215,1468.6419,13130.4287,11984.9569,8487.6627,3475.6452,22417.8898,3289.155,5285.2037,0,301862.0779,0.0,4114.6433,63299.4575,4089.4139,0.0
JPN_H49,2067.1538,178.9497,10.6537,125.9127,59.74,6705.9361,426.2573,539.7202,2461.8047,1140.6377,3153.2576,566.698,1781.886,1409.4018,6512.0727,1691.2167,2976.2558,2477.417,4026.7014,5675.1677,813.471,1474.7313,2776.4294,833.3604,10843.0474,11262.1531,1095.9252,228.1014,235.6428,720.0418,614.2701,4454.7741,989.5437,1411.314,1047.044,6095.8461,358.2976,2485.0233,2410.3688,4552.5895,1660.0475,4096.0484,616.2314,1764.562,0,98136.3681,0.0,168.6287,6333.6085,282.8779,0.0
JPN_H50,230.3009,22.8142,0.4705,5.4538,1.7358,941.0325,100.8616,67.8928,252.797,1636.3952,512.2478,139.9671,305.0029,175.5689,1618.7395,206.5773,367.4619,364.5916,625.8064,1051.9904,193.0964,241.7932,1023.5464,30.9503,1237.9389,838.8307,69.9264,0.0646,58.4123,0.0723,3.4312,510.9027,66.1882,45.6671,74.6394,74.2807,20.4158,176.4414,90.6233,133.5897,54.6863,495.755,53.9039,91.1507,0,5680.2413,0.0,90.353,1977.9607,2257.7414,0.0
JPN_H51,113.2289,13.2944,2.3904,23.2014,14.1632,429.2205,64.3776,39.2537,165.4779,721.6507,348.7938,110.7398,174.6087,104.6298,792.654,151.4206,258.1186,243.0745,449.2756,499.7778,95.3992,134.536,499.8821,65.1036,601.0438,1993.1123,95.5403,31.8553,77.2294,52.4032,157.9384,289.1499,429.1902,185.3513,450.7515,214.4172,36.246,501.9653,668.5727,226.1122,328.17,448.4389,107.4254,135.1263,0,11869.6932,0.0,35.9764,822.5632,835.9785,0.0
JPN_H52,683.105,107.0548,4.4792,64.7773,23.9754,3171.7121,155.0489,184.7488,904.5004,1021.8281,995.5173,244.021,619.88,566.1468,2543.6079,558.5155,693.5668,828.1175,1219.1329,1943.6571,217.5644,594.2918,2254.5456,128.7177,3245.6226,7010.6213,8209.6168,1267.3893,7159.9775,1704.9036,115.1719,5122.5029,362.2225,233.7544,483.3465,516.8333,210.2665,707.6606,948.4114,2563.8179,262.5344,1097.3972,690.3146,400.6829,0,29877.6005,0.0,6997.8633,2072.3975,74.2687,0.0
JPN_H53,16.0231,3.7584,1.6766,8.039,1.3168,48.8918,11.579,6.4813,28.3194,8.7766,119.3081,48.6852,35.9947,12.5022,41.9111,29.7056,177.1999,111.5976,160.0958,46.9193,42.3362,24.9844,308.8523,92.5284,272.9924,1138.2429,77.3681,20.9132,16.8917,129.492,222.3304,344.7276,202.9389,1510.7728,176.787,2412.4409,144.4298,474.8889,249.5962,1765.9154,279.2533,450.933,67.8808,238.2936,0,1550.0723,0.0,0.0,0.0,2.8308,0.0
JPN_I,141.6769,215.3118,13.4175,148.3301,6.8864,1667.5578,162.887,116.6927,974.9301,347.6546,993.7905,478.9353,902.6548,397.3183,1155.4256,863.0508,1672.3572,1447.2123,2376.7448,1350.1133,540.6565,648.439,1165.8913,768.7965,5171.628,9992.0034,2133.5078,427.0161,163.7631,1364.2329,191.3954,4457.63,1320.37,718.6093,1993.9183,4740.381,1309.7617,2705.101,1885.8261,2331.5098,1060.1549,4300.8033,1032.7969,2289.9356,0,182564.9439,0.0,0.0,0.0,0.0,0.0
