V1,AUS_A01_02,AUS_A03,AUS_B05_06,AUS_B07_08,AUS_B09,AUS_C10T12,AUS_C13T15,AUS_C16,AUS_C17_18,AUS_C19,AUS_C20,AUS_C21,AUS_C22,AUS_C23,AUS_C24,AUS_C25,AUS_C26,AUS_C27,AUS_C28,AUS_C29,AUS_C30,AUS_C31T33,AUS_D,AUS_E,AUS_F,AUS_G,AUS_H49,AUS_H50,AUS_H51,AUS_H52,AUS_H53,AUS_I,AUS_J58T60,AUS_J61,AUS_J62_63,AUS_K,AUS_L,AUS_M,AUS_N,AUS_O,AUS_P,AUS_Q,AUS_R,AUS_S,AUS_T,AUS_HFCE,AUS_NPISH,AUS_GGFC,AUS_GFCF,AUS_INVNT,AUS_DPABR
AUS_C20,882.4997,55.2272,148.5227,311.0491,15.5782,111.2421,6.9406,37.2262,93.3289,229.3871,580.24,233.7928,679.3425,119.3165,8.716,51.1341,16.2704,25.6539,30.6356,19.9882,32.3746,36.7574,35.0034,138.7229,1233.5395,348.8035,30.3787,1.3767,2.7381,4.4373,3.3601,52.9939,13.032,0.7141,0.0,0.8679,48.4311,86.4671,163.031,81.2993,110.37,263.929,62.9844,151.9479,0,3624.2523,1.5855,0.0,7.0147,-0.8391,0.0
AUS_C21,400.2551,3.1832,4.6162,10.6475,0.448,2.2682,0.0,0.462,2.8009,0.5483,8.6883,178.4363,0.3871,1.5469,0.7511,2.014,0.0601,0.0348,0.1005,0.0694,0.1693,0.3962,0.3583,0.0,11.5033,18.6246,0.1764,2.4943,0.0,0.0,0.0,0.5866,1.2301,0.0,0.0,0.0,1.2197,5.5406,8.0789,0.6189,36.0191,117.8823,242.0275,5.8225,0,3071.8693,1.7885,2842.8558,0.0,1.0228,0.0
AUS_C22,76.0009,29.3205,112.189,184.6766,22.8715,340.5212,18.4584,65.1457,205.0312,40.63,142.3945,144.1818,192.4246,42.1846,5.6816,63.7756,30.2088,40.4502,81.5454,126.3742,173.4139,182.9375,36.2472,71.2803,2595.8237,647.0647,185.5682,4.7445,12.2397,7.2391,47.9446,44.4334,17.3476,5.3284,3.5911,4.57,112.2546,50.6296,46.3627,233.5461,74.7588,157.1715,18.2629,94.0595,0,2116.5608,0.1667,10.6817,527.9438,-39.3748,0.0
AUS_C23,25.711,5.5894,46.3869,91.9837,13.4087,325.3146,2.0475,67.6546,8.5098,8.4287,64.3482,76.6312,25.2391,657.6765,15.9912,254.4523,8.8311,10.5118,20.6243,48.8227,81.063,75.2767,47.446,91.1455,9640.8439,275.572,26.2675,2.8024,2.0288,10.02,6.5778,59.2743,3.5773,4.472,7.1874,8.4016,27.5071,31.1334,19.2598,27.4673,53.6226,128.7305,10.4536,75.8698,0,1311.7105,0.1544,10.9854,102.7141,-1.8233,0.0
AUS_C24,0.055,0.2903,201.8402,159.8514,76.8223,21.7574,3.9976,58.4539,37.4435,25.6412,5.4137,2.5006,64.6121,51.6084,544.7076,3688.4551,113.571,250.7204,524.6595,355.3305,436.1934,319.5864,21.1003,29.0458,3397.0232,310.8562,6.3891,0.72,0.0,1.6407,1.1298,12.716,0.2131,0.0,0.0,0.0,16.7072,11.7574,10.6169,41.8423,21.0267,37.9063,6.0526,29.0462,0,38.9273,0.0,0.0,0.0,-31.1418,0.0
AUS_C25,100.5382,71.2393,746.1118,1099.7252,118.7185,267.7402,11.4027,187.563,65.3475,30.3999,74.1671,51.9846,128.1977,412.4335,93.4657,1325.9373,84.1243,121.0336,440.7825,207.9387,341.7537,266.5679,111.6315,282.353,8439.2115,722.0429,264.705,21.658,8.3423,17.2033,67.784,81.6703,17.299,18.8052,13.6826,16.9662,98.3047,65.0234,64.0945,323.4837,307.2141,211.2088,121.161,107.3911,0,2133.7379,1.2909,25.8176,2053.3912,-104.2509,0.0
AUS_C26,2.5786,2.9537,16.8581,30.4275,5.557,1.6389,0.3542,0.4276,1.4859,1.0151,0.5204,0.6577,1.2182,0.4296,0.494,3.1185,315.3079,45.6685,72.8216,6.1201,15.563,67.7784,3.5156,25.3672,233.5745,111.4069,19.3343,1.6932,5.0514,6.5802,36.5486,8.2083,59.7988,131.6253,66.2387,61.4898,7.3348,44.1823,32.0128,68.1357,224.3458,603.5213,28.2018,45.0592,0,3649.9876,0.5281,0.0,1503.7278,-236.5921,0.0
AUS_C27,11.0722,12.7619,36.2347,22.3725,2.1366,16.0367,0.1311,0.3147,11.5788,0.8716,0.3492,0.29,13.5805,3.0299,1.6356,21.8295,64.1324,156.6392,118.2994,25.5665,42.014,60.1149,228.9735,21.4455,1430.7,104.2353,44.109,0.5665,0.7546,1.4414,16.5904,4.4805,3.6038,89.1148,9.9227,5.0889,8.2559,89.7832,14.6836,23.0504,19.8856,26.1855,37.9695,26.4197,0,1325.1586,0.2663,0.0,466.2381,-50.0657,0.0
AUS_C28,158.5008,102.9483,451.0007,981.6226,33.6493,97.8179,1.9885,9.1653,26.4072,7.9427,15.1858,15.2692,12.7985,28.498,6.582,92.1973,21.705,22.6759,287.9686,59.0196,116.0158,404.0588,60.0849,43.1172,258.6931,386.6989,18.4999,2.7493,0.7833,0.9994,9.2435,20.7159,1.7433,31.3425,0.0,1.6714,1.3443,133.9905,63.2773,107.5866,82.5309,59.7135,9.4967,55.0242,0,609.2817,0.4892,0.0,5148.0715,-381.6493,0.0
AUS_C29,1.9184,0.9315,3.222,6.2928,1.5585,0.3311,0.1035,0.1236,0.0,0.0,0.0,0.0,0.0,1.8627,0.241,1.1759,0.7782,0.7101,4.2861,212.8715,42.6401,228.2114,0.2876,0.979,48.1517,368.3431,70.998,0.6675,0.1106,2.6042,3.2581,0.8583,0.1975,0.0,0.0,0.3156,0.544,0.9517,2.6368,75.8505,14.0699,2.1453,1.6168,48.7446,0,5541.5752,0.2021,0.0,1097.5072,-410.118,0.0
AUS_C30,13.2156,178.0724,124.1618,107.5284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3252,2.8451,0.6576,0.0453,2.3793,261.7698,346.0463,0.0,0.0,0.0,43.7752,22.8055,446.429,407.8656,1059.4971,102.8122,44.8858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620.6856,17.4618,0.0,1.2675,0.0,0,595.2348,0.0,0.0,5519.9144,-158.6654,0.0
AUS_C31T33,384.0103,119.8377,773.5347,1783.9316,168.8686,150.4606,31.8916,214.1899,130.0945,273.5621,43.2647,36.6294,106.2085,177.1919,10.7091,123.2522,12.8918,15.4466,41.1067,29.8966,70.4994,151.1139,180.7287,166.9135,1829.5202,1190.7171,239.8916,95.8977,64.6217,329.7364,129.5862,75.2803,93.864,598.9902,198.7708,498.1906,196.6117,897.6976,703.544,272.3713,384.986,347.1004,243.009,156.2281,0,2159.6571,0.4891,8.2156,575.1393,-65.7785,0.0
AUS_D,591.3157,46.004,1562.8802,2570.042,209.4204,808.6902,65.9222,159.6309,312.8856,183.6468,353.3663,142.5313,187.0667,217.1635,693.563,213.2342,40.1709,28.4049,83.1198,109.6824,110.4364,122.0204,18346.9204,608.3155,1748.0481,2321.6253,335.2744,5.6978,32.6365,457.1798,54.3335,1048.6227,141.777,376.2578,71.5676,428.2412,948.3879,777.9247,1021.2638,3006.7361,353.0014,600.6708,103.9133,114.9787,0,10796.5511,4.487,4.0992,2743.4402,0.0005,0.0
AUS_E,1424.4447,33.8215,192.616,222.9215,17.2903,393.7961,15.2195,37.3538,103.1633,75.2755,93.547,67.4453,78.9995,115.6854,43.0782,141.776,24.7283,25.9018,66.9917,53.2105,127.753,70.1336,317.9793,1868.6736,3001.8578,731.5299,244.0406,54.3716,17.9909,233.6815,14.8382,385.6555,29.0755,1115.9449,1006.1362,290.9052,1379.7076,1772.4469,1429.8702,671.2315,368.4977,1420.5907,300.4559,114.2165,0,7625.777,33.957,1181.5467,1269.4481,0.1068,0.0
AUS_F,2149.8586,213.2066,2799.5016,6452.0262,116.9524,404.6633,25.4892,532.0083,101.0505,126.6963,62.8641,49.5965,79.8825,91.2581,65.0232,142.7335,53.4986,43.3839,109.3877,61.8212,134.9195,402.2325,1857.8956,932.378,88372.9832,3567.5063,1929.0486,69.2755,76.1345,978.1464,100.0657,934.2855,289.3902,650.5387,1106.1479,1344.6553,12572.873,1256.6866,1185.065,7900.5751,563.9857,810.5352,238.6106,281.5097,0,2748.174,15.7334,363.0261,174283.0569,1.4915,0.0
