V1,BRA_A01_02,BRA_A03,BRA_B05_06,BRA_B07_08,BRA_B09,BRA_C10T12,BRA_C13T15,BRA_C16,BRA_C17_18,BRA_C19,BRA_C20,BRA_C21,BRA_C22,BRA_C23,BRA_C24,BRA_C25,BRA_C26,BRA_C27,BRA_C28,BRA_C29,BRA_C30,BRA_C31T33,BRA_D,BRA_E,BRA_F,BRA_G,BRA_H49,BRA_H50,BRA_H51,BRA_H52,BRA_H53,BRA_I,BRA_J58T60,BRA_J61,BRA_J62_63,BRA_K,BRA_L,BRA_M,BRA_N,BRA_O,BRA_P,BRA_Q,BRA_R,BRA_S,BRA_T,BRA_HFCE,BRA_NPISH,BRA_GGFC,BRA_GFCF,BRA_INVNT,BRA_DPABR
BRA_J58T60,25.2413,0.5583,35.4796,51.255,1.4016,94.6796,17.1641,8.0582,4.8151,55.3382,78.6749,15.6238,32.8209,51.2782,27.5208,10.6506,13.2572,12.9984,10.5109,34.8474,0.9938,62.836,115.7357,10.9894,97.0695,1201.468,16.5569,128.3878,333.7035,306.6304,29.5352,742.1588,697.1139,675.6589,5.6308,216.4285,48.3005,4962.5889,44.5413,144.4093,575.4054,1250.2164,32.5493,325.7762,0.0,3128.6888,0.0,8.7121,42.9869,-617.9544,0.0
BRA_J61,4.2955,0.7938,177.4504,57.3752,11.9789,865.7669,248.4312,27.274,187.9745,48.4096,185.9366,67.3724,92.6948,103.4598,77.186,107.7936,241.3398,122.2978,122.3302,825.1377,20.4844,139.9235,105.1591,44.7298,258.7921,2013.0194,246.6264,7.7077,13.4186,149.783,72.4093,258.747,89.9412,4570.3227,479.376,1787.6721,130.3652,1421.5393,670.8968,1217.4367,592.6353,350.3815,67.2694,388.364,0.0,23294.8524,0.0,0.0,363.8704,1.4567,0.0
BRA_J62_63,8.6854,0.0987,22.856,133.7929,9.7593,630.4926,33.816,4.1583,74.1229,14.0543,228.2437,143.0195,53.4565,27.9691,79.3288,42.3674,80.1542,120.3863,67.389,407.197,10.6276,76.701,443.932,118.7764,134.4922,3103.8979,318.5477,0.438,232.7403,343.8494,134.8116,65.3278,426.9425,792.9665,3735.1513,4603.439,109.1328,3878.7639,530.459,3551.5422,558.4516,537.4858,67.4473,445.2948,0.0,1110.9722,0.0,0.0052,19258.7333,4.7481,0.0
BRA_K,2786.5126,66.6982,1302.6314,991.2295,76.3521,5201.2997,840.6257,159.1542,892.73,965.976,2296.7241,376.3203,605.9736,573.8026,1279.2791,587.7605,608.671,458.4337,751.1003,1746.6463,107.3169,487.8743,2118.4098,423.8232,2307.6858,8941.0984,2761.185,174.9166,409.3828,888.3972,202.4839,1081.3819,350.5702,1837.5828,880.6366,20978.2414,9173.6606,1997.5676,2277.1298,14862.4007,819.7797,1460.6951,232.0994,656.2223,0.0,76207.6759,0.8386,404.2894,44.0004,13.1012,0.0
BRA_L,7.0467,1.1451,133.9413,41.5308,17.883,614.2722,284.0263,13.6336,80.92,62.3545,228.386,93.2221,152.3494,62.3164,117.5701,105.1208,70.3952,42.3689,81.141,143.4168,7.5908,100.445,390.6654,122.4697,379.211,14604.8851,482.6626,25.2898,33.805,864.8549,241.4007,2306.5443,193.9678,638.6029,679.3263,1707.2495,708.1543,2546.1975,2021.8453,794.0502,1943.7626,923.8024,1419.5634,1153.5494,0.0,133662.8548,0.0,0.0002,4817.4087,0.8541,0.0
BRA_M,487.2587,13.678,3131.1807,1470.1528,228.3948,9014.4997,674.5699,100.1869,932.8725,1621.2596,3923.8234,1936.9566,897.6387,778.9191,926.5056,574.7064,1382.1402,718.6743,1161.9597,3400.6025,90.3402,488.1891,2016.3944,652.1602,2192.454,15104.2783,1033.387,61.2372,160.9174,2167.8311,412.543,675.024,1287.8756,1339.4478,1634.8577,6438.6741,789.0265,8181.3394,2685.1419,3723.7425,2111.6177,1552.9085,745.3297,1350.9945,0.0,5058.4652,0.0,0.0,2775.0923,13.1146,0.0
BRA_N,106.5088,8.981,2007.2902,1349.9625,127.0425,2280.3835,337.6353,40.8602,321.4681,113.4985,833.2005,567.0599,233.6154,468.7031,841.7684,580.6467,642.6862,435.2273,1301.9249,1212.4233,65.1235,396.1577,1416.3161,329.1508,989.9703,16755.066,1374.1572,189.8798,588.985,1090.4812,344.3929,1148.1009,479.5564,8688.9977,3300.2581,8437.6918,307.85,2482.393,3265.9034,8245.4143,5372.6533,5434.6051,381.5749,2359.7944,0.0,4563.8917,1536.8834,0.0041,130.0167,9.3011,0.0
BRA_O,128.0942,1.716,131.9058,95.0122,12.8374,427.6762,37.7543,10.0123,51.5338,97.5432,226.4201,62.6932,53.3362,35.9458,84.83,35.5533,44.6505,36.0376,57.6337,144.0324,5.0451,36.7453,99.693,22.208,107.9751,589.9534,160.4105,18.413,38.2624,94.7359,21.2117,94.8608,34.5535,35.3688,79.7059,193.7172,37.9761,300.9298,94.5402,169.4014,103.7933,104.1172,22.6377,113.7816,0.0,1881.0897,1146.4735,217313.4925,2458.0646,-24.7292,0.0
BRA_P,4.9276,0.064,24.3366,108.9587,3.7371,26.5304,7.1521,0.4577,19.0346,4.2557,29.1115,9.3755,2.7244,1.6112,126.0173,29.5191,2.7133,5.5743,14.2931,70.639,0.5813,3.7757,49.2412,1.2619,3.7901,384.6854,471.4167,29.3369,5.5688,91.6175,35.2628,4.31,10.8015,18.7572,5.8404,682.6694,20.5526,1394.4739,1152.5099,130.9968,86.7499,165.4227,5.1047,198.0172,0.0,36136.991,1394.8478,87908.0153,3049.4607,0.0136,0.0
BRA_Q,0.0,0.0,0.0,0.0,1.4877,0.0,0.0,0.0,0.0,10.7482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0682,0.0,0.0,155.6183,0.0,0.0,0.0,18.7555,1.9032,9294.8752,0.2776,0.0,0.0,54272.0299,7013.1832,66699.7753,0.0,-0.0125,0.0
BRA_R,0.1621,0.0035,0.1776,0.0719,0.1857,0.0,0.0,0.0123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0172,0.5776,0.0562,0.0,0.2676,4.0831,0.1572,0.4646,1.0136,0.0,6.445,791.0576,106.3102,0.0,2.0864,0.2194,35.7367,9.0863,248.1722,28.8909,19.0254,382.5576,383.2261,0.0,8726.9273,1582.6484,0.4726,0.0,1.2822,0.0
BRA_S,72.9218,3.3414,288.0163,218.9565,6.1922,324.1179,88.977,30.2804,78.3623,54.6746,112.6342,46.7182,75.5893,62.2171,84.9181,109.2286,114.1404,61.8111,91.4225,207.3308,8.4562,47.1269,211.9233,1.1108,46.4216,1196.706,208.73,3.4846,7.6354,396.6068,106.5995,114.2569,63.5176,918.2419,528.4896,567.5946,42.8708,363.1935,666.299,239.8116,229.5942,838.8885,11.9051,132.3134,0.0,24558.907,13237.7462,3.1013,64.776,0.0136,0.0
BRA_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19137.1046,0.0,0.0,0.0,0.0,0.0
