V1,SWE_A01_02,SWE_A03,SWE_B05_06,SWE_B07_08,SWE_B09,SWE_C10T12,SWE_C13T15,SWE_C16,SWE_C17_18,SWE_C19,SWE_C20,SWE_C21,SWE_C22,SWE_C23,SWE_C24,SWE_C25,SWE_C26,SWE_C27,SWE_C28,SWE_C29,SWE_C30,SWE_C31T33,SWE_D,SWE_E,SWE_F,SWE_G,SWE_H49,SWE_H50,SWE_H51,SWE_H52,SWE_H53,SWE_I,SWE_J58T60,SWE_J61,SWE_J62_63,SWE_K,SWE_L,SWE_M,SWE_N,SWE_O,SWE_P,SWE_Q,SWE_R,SWE_S,SWE_T,SWE_HFCE,SWE_NPISH,SWE_GGFC,SWE_GFCF,SWE_INVNT,SWE_DPABR
SWE_C30,7.7237,1.4204,0.0,8.188,0.3463,0.202,0.9657,4.1248,1.0617,0.0033,2.2757,0.9921,0.47,2.9527,3.4607,2.6,21.9747,0.4104,18.1788,21.0864,477.7138,222.1319,11.3419,2.369,16.8295,3.9602,214.536,94.1128,131.6081,0.9109,4.1504,0.0867,0.9755,0.0,0.4806,7.0268,0.414,13.92,150.7396,426.9464,1.4268,259.1281,2.5009,0.5898,0.0,829.2197,0.0,0.0,1270.5416,8.6926,0.0
SWE_C31T33,111.0766,1.033,7.3031,33.224,2.7691,85.445,9.2246,81.3851,93.8069,6.6642,118.4849,102.0522,46.4981,146.6742,100.8271,88.7804,40.0068,25.7143,216.5242,191.0497,42.3884,273.8585,72.9418,35.0693,399.1533,199.1663,158.718,113.0508,32.7748,96.4557,1.7612,33.2298,13.903,30.1526,39.0322,9.0276,33.6204,111.9124,202.3095,111.5811,35.6698,253.735,91.7072,34.7343,0.0,1741.3114,0.5313,56.3192,933.739,11.727,0.0
SWE_D,240.6465,1.3918,5.597,109.6665,5.2886,289.7834,30.4704,192.5494,708.4278,0.8025,248.2073,122.5049,71.9719,87.7579,362.0983,160.4061,52.8946,47.6153,144.0033,189.4377,25.204,80.1318,957.1302,230.8135,448.1014,863.6093,175.6263,17.654,14.348,274.511,8.3915,306.0794,68.8527,137.8436,105.7803,64.4319,1048.6814,283.4884,160.0608,287.1652,154.7783,331.8201,175.0877,106.5565,0.0,7545.6612,1.5007,36.9016,1244.462,31.8986,0.0
SWE_E,35.4327,0.332,10.7463,49.897,4.1717,52.4339,6.7246,97.3724,355.882,2.7408,38.6064,18.8149,38.0601,54.5043,1298.9696,20.9853,4.0326,4.6683,58.7618,40.5021,2.5945,10.1315,179.5612,668.0209,264.0161,681.2679,51.7197,7.9829,3.7313,95.1604,19.7591,88.2418,28.0683,23.6133,52.2697,42.7742,2728.8067,119.1936,45.3099,194.9805,111.9179,230.8629,84.7301,44.9991,0.0,198.4337,0.6153,10.7718,85.6209,2.1451,0.0
SWE_F,309.1654,1.6023,11.2902,127.1391,10.8688,141.0804,10.2677,115.4695,212.4437,8.0844,249.22,183.4174,56.77,155.7442,153.1548,142.5404,28.4241,77.4211,274.3784,338.8483,69.2914,115.153,987.4627,186.3618,9308.593,1119.7418,318.5741,79.9034,28.7115,567.0327,30.3789,198.3692,65.0086,108.6271,119.6798,186.7337,11839.8071,459.8563,221.1261,654.4659,307.5124,221.3462,254.6265,348.2362,0.0,280.9421,1.7974,16.2495,42069.335,7.2375,0.0
SWE_G,1191.884,23.8348,21.4675,180.7602,11.9651,2466.7193,238.3864,396.5288,782.0107,619.3102,647.4594,777.17,318.7773,336.7951,810.0069,727.0619,299.751,360.2951,1368.5397,3023.6726,177.1513,534.9092,410.317,355.2474,2447.4955,2179.851,1649.9343,179.5815,205.3206,1863.7688,91.4638,1666.965,450.8419,229.5717,771.247,155.936,348.3505,1189.6596,636.1159,535.7352,454.1318,1176.711,403.7437,239.0387,0.0,20691.048,8.9327,1009.2014,5165.0946,680.7684,0.0
SWE_H49,929.5049,3.8556,26.1808,165.8004,12.0009,378.5326,17.5272,147.7936,241.609,225.8164,145.3892,105.157,63.4657,93.6948,259.4498,146.6683,34.7225,54.5246,206.1371,544.8286,27.1544,81.4792,164.1107,148.6929,1149.1764,645.0576,1715.4198,64.3,36.1598,5764.8321,28.4402,137.9115,58.503,29.8202,91.7466,33.0983,116.1075,366.2423,258.732,239.7445,480.4956,147.4505,95.2184,102.0717,0.0,4027.4518,1.7902,446.1219,535.9157,355.641,0.0
SWE_H50,58.9391,0.255,2.0961,11.7873,0.9963,37.088,3.0975,87.4711,103.7725,51.2527,31.3221,22.1726,7.9109,71.875,53.9692,62.1036,10.0483,20.2305,72.0315,110.2952,13.262,13.9014,17.5349,8.8857,46.8896,471.6935,21.4401,322.5335,3.7677,440.0215,2.8385,20.0133,20.788,9.6498,43.3104,8.129,12.1405,68.1094,55.8313,9.7756,8.3818,48.5726,8.5848,4.9517,0.0,252.7925,0.2855,22.3517,53.5637,222.6956,0.0
SWE_H51,12.7228,0.3349,0.4008,2.7903,0.1813,23.7125,2.0297,7.836,11.9662,71.1079,10.8712,12.4905,6.4161,6.5757,17.5763,16.2901,5.9973,8.2687,24.8532,46.4129,5.4618,9.3301,12.8427,5.0675,40.5674,41.0399,13.6908,3.0464,4.5019,20.5062,1.0863,15.9327,6.3393,3.5602,14.1679,4.0291,7.2264,35.0908,61.682,10.8409,4.7726,17.1474,5.2842,3.5351,0.0,211.9802,0.1986,9.4247,65.2556,313.0669,0.0
SWE_H52,142.256,2.3011,6.0277,32.3774,2.06,496.4602,18.7205,270.2662,533.5501,44.3098,235.1719,116.3507,80.4819,179.608,180.4345,124.1963,18.7055,47.1928,236.1208,841.0785,28.7523,91.4885,81.1252,209.9632,250.7736,3622.6463,1527.8209,713.2801,384.3268,2030.766,325.9785,56.0664,181.6131,35.1422,87.6459,51.0694,223.4855,528.7106,95.3649,109.304,133.3772,111.1714,48.2147,24.0108,0.0,1318.6253,16.7098,5724.8448,521.5304,56.5125,0.0
SWE_H53,24.4453,0.0841,0.6406,3.8848,0.2862,11.6396,0.6835,6.7022,11.1651,4.4452,7.6206,9.1798,3.4129,3.8555,6.1207,5.5225,1.8368,2.864,8.5112,17.2667,4.6119,5.7295,18.35,30.3824,32.9352,694.793,44.2052,7.4607,2.7575,290.892,100.4881,6.8369,375.4769,21.4708,68.6192,60.6179,30.9712,181.8582,60.6227,378.7999,40.0103,36.3111,48.6604,37.9121,0.0,240.4896,0.1398,34.9248,11.1276,8.2021,0.0
SWE_I,10.4054,0.1631,1.0027,5.3378,0.7752,21.5757,5.0481,8.6405,20.2514,0.0137,70.3337,62.7315,21.0323,28.3411,26.0723,57.2183,49.8757,56.9089,133.5293,54.6881,10.0169,38.6608,57.5102,133.4539,80.5181,587.5035,20.2625,15.8212,8.1229,48.0534,4.6031,50.0955,25.0088,69.9588,344.5836,119.6659,61.8037,504.4947,1254.3479,201.1167,181.4536,160.6149,104.6269,62.6056,0.0,9770.5324,4.3365,0.0,0.0,0.0028,0.0
