V1,BEL_A01_02,BEL_A03,BEL_B05_06,BEL_B07_08,BEL_B09,BEL_C10T12,BEL_C13T15,BEL_C16,BEL_C17_18,BEL_C19,BEL_C20,BEL_C21,BEL_C22,BEL_C23,BEL_C24,BEL_C25,BEL_C26,BEL_C27,BEL_C28,BEL_C29,BEL_C30,BEL_C31T33,BEL_D,BEL_E,BEL_F,BEL_G,BEL_H49,BEL_H50,BEL_H51,BEL_H52,BEL_H53,BEL_I,BEL_J58T60,BEL_J61,BEL_J62_63,BEL_K,BEL_L,BEL_M,BEL_N,BEL_O,BEL_P,BEL_Q,BEL_R,BEL_S,BEL_T,BEL_HFCE,BEL_NPISH,BEL_GGFC,BEL_GFCF,BEL_INVNT,BEL_DPABR
BEL_C20,210.935,0.6457,0,7.268,0.1733,402.5558,182.8773,87.2667,231.9588,993.1806,3096.0286,249.0702,921.4355,122.3563,219.6036,101.2017,35.2189,52.604,42.3687,68.2925,5.6898,82.9772,81.5512,44.3797,392.3481,325.7099,35.9528,7.1074,21.8861,44.625,3.6506,37.0826,26.2571,14.9841,82.8101,77.3266,62.546,197.3195,120.4312,55.8197,20.2532,239.9989,10.0095,49.85,0.0,1389.4181,0.364,48.0066,270.4902,300.5806,0.0002
BEL_C21,79.0147,0.0658,0,1.0052,0.0626,296.7485,8.4475,8.1854,11.2116,52.9082,202.9927,2129.3509,36.6861,9.2389,48.7602,15.7034,8.9617,6.6925,14.6474,11.4277,3.7066,18.2205,8.8005,9.919,91.8753,240.9623,13.5123,3.9622,21.8466,19.016,3.7662,26.0925,26.7562,29.359,53.3514,39.8246,8.1345,585.8508,102.4077,55.9745,226.3403,2256.2524,11.5264,12.1625,0.0,1858.0864,1.5462,1736.6248,2646.9809,445.793,0.0
BEL_C22,16.3358,0.1953,0,2.3113,0.0608,333.4008,31.0138,27.3371,134.7792,49.7941,287.4054,66.3307,264.417,46.1615,149.2799,89.3776,32.0468,36.241,81.0563,210.4405,15.9374,107.6257,12.7702,104.8332,871.5005,198.049,20.8169,0.5926,2.8857,21.6409,1.5513,37.031,6.5835,5.3387,11.0829,10.0346,74.6381,40.8974,58.5968,41.0965,4.103,54.1965,3.8851,23.3658,0.0,453.2298,0.0672,25.9124,212.2809,89.2712,0.0
BEL_C23,12.2846,0.0674,0,11.2259,0.1358,151.5879,7.7431,9.9125,13.1763,38.166,52.3191,87.8432,33.0031,512.8085,146.0936,36.8322,22.8394,19.655,10.7096,89.9399,2.261,57.1191,12.467,19.3,3440.241,357.1543,17.7942,0.0823,1.1021,16.1021,1.683,33.7789,1.379,1.4174,8.0106,5.2374,365.4232,31.881,150.4665,11.9332,20.1625,14.8131,2.4295,11.6874,0.0,387.2506,0.0194,12.1482,112.2739,130.2026,0.0003
BEL_C24,0.0,0.0,0,0.0477,0.0839,4.0965,1.7722,5.2893,2.9206,2.4311,109.439,0.5152,40.8029,61.2351,3230.0252,1004.6778,89.2976,210.3564,339.8783,88.0285,15.7572,60.3101,23.7588,7.1484,495.478,100.8258,14.2562,0.0008,0.0318,12.049,0.0,0.1396,0.267,1.3452,0.1212,0.0,23.2747,21.9487,5.0831,8.2427,15.7843,9.6639,0.0,0.4021,0.0,8.2876,0.0,0.0,0.0,132.9067,0.0
BEL_C25,52.9363,3.7927,0,7.7876,0.3437,234.531,39.5012,51.4977,65.1241,64.8846,202.7559,38.3492,62.0884,69.8726,468.0725,1060.2193,127.8695,63.6183,314.7434,292.4174,39.4034,411.3119,43.8339,113.8164,1644.9957,282.9434,60.1785,18.0175,64.7912,98.8453,8.8558,50.8712,7.3202,26.8287,26.7663,24.2828,129.5173,152.9763,134.745,130.1862,17.75,69.5746,26.9129,25.9287,0.0,533.9473,0.0851,12.5814,2966.8561,147.8954,0.0
BEL_C26,7.759,0.3014,0,0.7065,0.0272,13.1277,2.9382,5.0508,7.0765,11.0751,20.6699,47.9372,5.0993,3.4936,25.5569,17.7736,237.6729,38.7127,45.8173,101.2352,4.9063,51.1414,11.783,16.8187,89.6789,93.3197,9.3199,2.5962,10.8083,8.7034,1.9571,4.6208,3.6321,56.5707,71.1034,40.919,5.5506,69.8192,51.106,27.6394,4.8997,17.9907,6.9405,10.5231,0.0,415.8408,0.8309,58.1753,1374.9576,46.2651,0.0
BEL_C27,3.5537,0.3308,0,0.2697,0.0202,16.052,1.791,2.1999,5.0806,8.4936,15.0251,25.3467,9.1472,2.4947,11.3724,15.0739,59.7898,111.1611,81.4495,157.9407,1.221,102.1736,2.3485,4.4011,355.7832,46.5095,3.5133,0.559,2.7065,5.5686,2.8414,4.0497,1.5799,10.4775,10.9394,4.1286,13.2591,29.1625,11.8358,10.0901,2.3208,4.7539,1.7426,3.1023,0.0,451.798,0.0138,10.3912,644.8473,35.2944,0.0
BEL_C28,38.5358,0.6347,0,1.6911,0.1709,75.54,5.8496,11.7757,13.5972,38.7323,80.8651,35.6965,9.17,8.1419,49.0086,56.2915,16.7242,7.4656,669.1182,201.8751,4.5209,146.2525,23.1553,24.6761,320.682,103.1738,22.0403,2.6406,11.9847,31.3891,4.3234,14.2796,3.9489,7.717,22.3383,14.9737,21.016,119.052,28.8471,24.6088,7.3336,34.7963,6.7569,8.0558,0.0,204.2187,0.1012,24.6285,2218.298,99.5165,0.0004
BEL_C29,2.9237,0.0927,0,0.3315,0.0223,14.3492,3.9523,1.6196,2.9848,7.7055,12.1599,39.032,18.946,3.4197,12.2869,16.7827,5.6152,8.7865,20.3431,1545.3917,4.4429,14.8819,3.3447,10.2575,65.3786,132.1597,55.6068,1.5045,6.5007,32.4213,4.3693,4.5253,3.0893,5.7456,19.2227,13.6253,6.0626,77.9552,98.3628,13.1657,2.8984,13.3976,2.2403,6.016,0.0,1680.4604,0.0192,28.803,2428.5888,154.7419,0.0002
BEL_C30,0.0,1.0026,0,0.0,0.0016,0.2656,0.0,0.0,0.0,0.1611,0.5175,0.0,0.6432,0.7974,0.0,0.6356,1.0532,0.0,0.0034,6.0162,242.7506,175.7395,0.0007,0.0,1.4971,20.0762,52.0796,5.6103,36.2217,4.0223,0.0,0.0,0.2507,0.0,0.1847,0.0,0.0,2.6827,159.2562,60.4088,0.0,1.3382,0.6917,0.0172,0.0,656.2422,0.0,0.0,386.7055,15.3887,0.0
BEL_C31T33,148.3808,5.8208,0,11.6679,0.2875,225.0904,50.1204,84.6336,153.8946,55.7417,139.7558,84.6507,75.9033,63.1977,502.6069,207.6014,63.1803,35.681,133.8787,120.2972,45.4831,540.3002,100.4822,281.7355,410.9445,349.1487,162.0251,52.5079,214.683,104.3596,23.7528,60.6559,28.2027,69.5614,38.3727,23.2538,40.3482,343.6637,212.1627,129.3409,44.8281,343.6619,93.5288,55.1464,0.0,1420.9287,0.8384,72.1332,1205.4161,28.2231,0.0001
BEL_D,181.1705,0.0627,0,20.7238,0.3136,475.1818,65.6441,66.1523,141.4985,231.2299,980.2491,90.378,115.1147,184.792,804.352,107.7456,41.2465,33.1929,66.9939,74.4792,18.7695,53.542,1544.1827,192.8415,159.7785,558.8408,233.7679,0.3507,2.3771,151.8839,17.388,156.3382,25.465,83.9731,140.3232,182.874,184.1794,311.5165,102.6516,161.0149,112.6095,367.5252,85.9614,86.3363,0.0,5915.5419,0.0024,207.6531,48.781,0.9131,0.0001
