V1,ITA_A01_02,ITA_A03,ITA_B05_06,ITA_B07_08,ITA_B09,ITA_C10T12,ITA_C13T15,ITA_C16,ITA_C17_18,ITA_C19,ITA_C20,ITA_C21,ITA_C22,ITA_C23,ITA_C24,ITA_C25,ITA_C26,ITA_C27,ITA_C28,ITA_C29,ITA_C30,ITA_C31T33,ITA_D,ITA_E,ITA_F,ITA_G,ITA_H49,ITA_H50,ITA_H51,ITA_H52,ITA_H53,ITA_I,ITA_J58T60,ITA_J61,ITA_J62_63,ITA_K,ITA_L,ITA_M,ITA_N,ITA_O,ITA_P,ITA_Q,ITA_R,ITA_S,ITA_T,ITA_HFCE,ITA_NPISH,ITA_GGFC,ITA_GFCF,ITA_INVNT,ITA_DPABR
ITA_C20,1109.8741,7.3141,74.8548,27.0719,7.1265,1292.2806,981.5485,293.6405,891.4148,692.3986,6275.2396,1014.6112,4374.7807,564.2743,457.8386,743.488,511.9348,525.3046,646.3318,653.8629,290.4844,948.7929,206.0316,221.5668,738.7728,886.722,184.6507,18.2451,6.3251,91.5196,17.1349,94.2529,41.0853,33.1402,124.8975,45.47,176.1204,563.5067,260.1446,42.5486,48.9859,946.8938,89.1185,458.47,0.0,6004.9121,0.4468,327.8591,1081.2963,317.7578,0.0
ITA_C21,149.4759,0.8824,11.7912,3.6459,0.711,417.1121,241.6859,18.7854,54.8183,47.9565,684.0533,1332.8242,295.6899,57.0294,171.2746,53.3837,42.5189,36.5326,69.1391,108.7021,40.9236,86.8245,26.9337,30.7504,87.9161,170.537,24.4218,8.7536,4.0304,15.8809,2.0767,78.6027,14.4687,14.8759,37.1382,14.8621,14.1699,154.9373,42.5076,17.5568,11.9775,3509.8885,16.311,31.4306,0.0,6832.9926,0.4488,2689.8077,1080.8665,183.823,0.0
ITA_C22,232.3677,10.3776,4.7594,3.3506,3.193,1380.5306,1007.1705,192.6308,559.9514,65.3315,600.9498,739.4926,4635.2488,562.595,481.0039,1676.9867,246.4443,950.0884,2478.2844,2257.6078,293.3102,795.9903,213.384,170.603,2397.12,1164.3829,1060.8241,36.8591,13.0988,241.2658,22.7764,242.4179,52.0142,159.8056,176.6486,248.0127,164.5175,1139.8724,1238.0387,62.5055,45.1256,505.9012,162.8948,204.2445,0.0,5426.14,0.4034,120.0099,1034.4107,347.669,0.0
ITA_C23,306.4515,4.5665,4.2762,19.5622,4.2643,1204.0971,113.0066,141.7748,56.1998,38.2474,520.0586,104.2526,286.7459,4463.5449,558.1521,681.6838,252.7852,476.1306,413.6855,995.0024,311.3198,502.242,343.6633,245.7247,6372.4495,863.0817,122.1966,42.1376,5.6361,103.3802,3.6461,243.834,17.7104,12.581,76.3404,29.1985,458.566,345.3751,271.2084,35.5643,46.132,140.14,91.5594,98.8121,0.0,2842.7443,0.1577,47.1089,950.073,213.8587,0.0
ITA_C24,25.8687,4.3193,38.0832,2.1806,5.7093,285.8761,84.9153,46.8684,72.1131,15.9036,999.5796,168.5894,415.9509,793.5264,13703.8752,7855.6744,475.9237,2270.1363,4133.9594,2157.4183,598.6588,1445.5682,40.2217,244.8011,1295.9963,480.0476,392.1903,1.1579,0.4253,189.6117,0.3248,8.6553,0.2419,1.3522,99.9536,9.257,252.3405,619.9201,167.6826,0.0606,1.0887,913.7509,14.7309,56.1803,0.0,0.0,0.0,0.0,4.6596,382.0342,0.0
ITA_C25,281.0788,14.8817,14.1571,4.9804,12.0734,511.0805,359.2328,142.6695,354.9195,36.5314,435.0668,92.0119,883.2101,523.092,1347.9133,16802.9876,882.6204,2067.1353,18718.3243,6904.6505,866.2955,1804.6061,669.4261,584.445,5314.9667,1165.7007,839.7431,327.1099,12.7798,393.0922,19.9555,179.6259,40.8926,258.8134,332.0129,104.7757,468.0846,1035.3586,829.318,105.2316,37.4797,306.97,198.3969,161.6687,0.0,5298.0787,0.6013,179.3923,7494.9168,732.592,0.0
ITA_C26,41.0561,4.7932,6.1114,2.1468,1.1078,86.7968,61.7098,8.1843,31.6796,9.5536,35.4582,68.7977,47.8145,41.8053,54.1801,180.3335,888.5131,338.0543,404.8173,527.2437,344.1963,287.2175,158.6674,49.4281,391.4459,356.2798,96.6188,9.7913,24.1969,79.1972,9.1864,62.5801,96.3865,163.1354,768.8551,118.7277,52.3258,443.6166,171.3601,146.7112,36.9017,371.3398,88.6507,61.7945,0.0,4217.6711,0.61,284.3267,5488.6697,124.7003,0.0
ITA_C27,101.4488,10.6045,11.6112,6.6738,2.8059,185.7908,134.1488,20.0289,84.8094,36.2661,116.4675,50.2047,174.1723,132.7665,271.5246,696.8942,805.8198,3501.6565,1491.4362,1206.8725,611.7243,460.1155,352.3487,143.6088,1153.2592,770.965,192.5782,39.6548,40.8974,228.1395,12.6034,175.2365,86.4813,224.6251,224.3279,61.3338,111.2091,554.976,407.371,186.5202,42.9149,240.6089,131.9825,106.4333,0.0,4318.8755,0.5155,186.5746,3828.699,201.411,0.0
ITA_C28,213.7062,6.1118,39.5439,28.093,17.5539,674.2905,451.6928,50.9244,447.2613,74.2735,299.777,386.7738,696.4346,272.4041,1038.303,2098.506,467.8801,1018.4593,14228.0034,3236.9316,1810.0108,1223.6012,367.5694,447.4295,2356.7167,1677.7866,631.4882,147.1544,83.8526,455.2881,44.7606,335.0552,176.4711,210.3795,377.8543,199.0993,192.8745,1128.61,1104.9473,197.9953,54.7685,555.974,154.2362,201.6279,0.0,3537.3495,0.9781,577.9669,24630.2087,746.2849,0.0
ITA_C29,75.3061,3.3097,5.36,3.8409,2.2128,124.6112,99.302,30.2957,62.0388,36.5894,306.6411,59.805,286.1686,333.0979,159.237,750.6306,169.7659,329.7952,2291.1791,3918.723,302.0057,822.8215,68.4487,472.2934,1087.1815,3155.9001,371.5754,21.1014,10.1659,168.9823,15.4848,75.3281,38.3057,57.3856,107.7004,49.5438,41.9404,281.5833,216.3272,108.8151,28.0454,95.8621,80.7968,57.7242,0.0,15423.9994,0.8496,603.4124,8726.4771,352.3465,0.0
ITA_C30,0.0,65.8904,1.8343,0.8213,0.0721,6.0136,7.2703,7.2905,3.9127,0.4913,0.9538,1.1406,2.0737,3.8852,3.2285,110.2438,2.1592,1.8815,12.3651,473.6684,4487.7486,628.6558,23.7012,52.5576,9.9375,713.791,212.7651,115.5486,565.9335,58.4056,3.2206,36.9561,10.6475,1.3181,151.5588,1.9454,3.5582,204.3053,254.3998,147.2623,35.5952,27.5898,77.3286,6.3288,0.0,4689.5754,0.0,0.0,8606.8604,266.0595,0.0
ITA_C31T33,565.633,17.1704,22.6807,15.6309,9.1553,398.7431,612.1799,328.7066,307.9469,67.9578,265.1883,359.2076,297.9996,162.6818,299.5806,754.8535,203.3229,360.5615,1628.0973,865.4848,270.9111,4099.4026,269.3766,492.2322,1911.9549,1704.4698,461.3714,99.8825,61.2138,414.5839,55.0328,242.6152,268.6744,112.0549,295.4903,121.3465,231.3132,1042.9683,929.9538,641.2379,163.783,3827.7115,330.1087,291.6099,0.0,14543.426,2.5299,220.9098,13529.9484,169.0662,0.0
ITA_D,1405.0661,65.4268,89.6845,67.8067,14.4768,2385.4633,805.9699,358.8149,875.6903,479.512,1589.1583,302.3056,1429.5054,1542.8059,2922.2481,1946.6672,495.7511,1276.1437,503.3263,502.1761,162.4313,633.8629,35820.6879,1598.3706,976.908,5003.4938,2832.2425,24.1693,44.056,302.7806,68.3578,3361.2606,290.5303,752.9833,186.3902,576.6086,289.1935,1875.7987,244.2608,2870.8414,1095.9907,2581.2974,562.8328,2582.448,0.0,18480.4458,0.1129,199.8963,1638.1258,-8.5787,0.0
