V1,NLD_A01_02,NLD_A03,NLD_B05_06,NLD_B07_08,NLD_B09,NLD_C10T12,NLD_C13T15,NLD_C16,NLD_C17_18,NLD_C19,NLD_C20,NLD_C21,NLD_C22,NLD_C23,NLD_C24,NLD_C25,NLD_C26,NLD_C27,NLD_C28,NLD_C29,NLD_C30,NLD_C31T33,NLD_D,NLD_E,NLD_F,NLD_G,NLD_H49,NLD_H50,NLD_H51,NLD_H52,NLD_H53,NLD_I,NLD_J58T60,NLD_J61,NLD_J62_63,NLD_K,NLD_L,NLD_M,NLD_N,NLD_O,NLD_P,NLD_Q,NLD_R,NLD_S,NLD_T,NLD_HFCE,NLD_NPISH,NLD_GGFC,NLD_GFCF,NLD_INVNT,NLD_DPABR
NLD_J61,60.3436,3.086,3.7409,0.03,0.0876,47.1805,8.3691,5.74,22.5412,2.2981,26.3131,12.7864,17.0283,10.1184,5.2785,31.1046,22.1757,9.2479,63.9586,19.3546,9.3535,36.8756,28.5766,25.8724,273.2767,755.3349,68.8084,21.7016,16.3343,109.1768,15.6319,72.9298,54.3994,1369.2854,206.408,572.7374,376.5164,1022.3802,184.9216,331.19,142.3131,586.9757,176.5531,115.4332,0.0,5121.7182,0.0032,4.9564,348.2294,4.3011,0.0
NLD_J62_63,102.7962,2.7468,16.2089,0.7685,1.1329,279.1964,17.5175,16.4365,64.3994,12.977,301.311,52.8527,50.3205,31.0697,45.3221,107.93,367.5713,90.6917,155.372,55.5245,49.494,100.8462,102.6019,54.732,594.1126,2573.1873,224.0129,146.9945,94.5965,214.7546,49.6745,205.7639,719.5739,522.3756,7469.1647,1175.6794,371.1816,2732.0536,1169.7456,1638.22,469.1562,594.0455,151.6278,205.2186,0.0,2077.5794,2.8998,492.8388,13253.6856,15.6862,0.0
NLD_K,395.4346,9.3469,93.0096,0.257,0.4359,671.0663,52.5691,34.8572,136.3825,108.8578,482.9595,120.3978,124.5864,75.4487,71.2893,235.8462,429.7886,187.8462,392.4412,181.486,85.6219,193.9657,171.0801,177.2375,1015.9443,3866.8848,553.3453,145.7453,146.6199,424.2807,126.2625,325.5436,205.9746,211.3615,980.9306,21049.5962,17784.2292,2689.7995,1369.3629,2279.3989,364.783,1376.0567,212.0414,447.9322,0.0,22415.2723,0.0211,315.9122,1795.4101,29.0947,0.0
NLD_L,503.5851,3.3748,27.1081,0.1887,0.3702,327.9508,61.128,55.445,109.9441,8.9008,133.6105,86.6333,90.9303,74.6878,37.3502,278.8752,101.7667,78.6359,298.9146,105.0811,77.896,212.7625,115.2499,116.3965,1167.366,7443.9772,305.0868,43.7814,70.1755,1042.1427,74.1173,1240.5658,152.4643,272.4866,715.2492,1045.3603,1894.9248,2145.588,868.3572,616.3388,476.5001,1810.8409,139.9953,443.2994,0.0,76142.753,0.0893,4344.7163,4143.6472,1.2634,0.0
NLD_M,724.1514,8.7907,297.7291,15.6401,25.5404,1742.5379,120.1197,91.4838,369.5467,117.5586,1751.731,402.9757,335.8207,174.7615,177.5292,576.4612,1111.6324,835.5846,1508.9832,400.4545,178.5804,530.7145,336.48,251.9446,4141.6466,13846.6389,1149.1001,340.634,269.6139,1068.7114,1164.7512,761.2361,1232.8595,498.4307,5007.3997,5387.7111,2282.7107,17796.5455,5364.0798,5178.5948,1274.6433,1589.1554,481.4477,819.5894,0.0,4214.5939,3.5945,1140.3731,17838.2657,88.0896,0.0
NLD_N,380.7021,8.9885,92.332,0.6291,1.3413,1543.0695,123.81,95.6166,223.5873,28.1183,514.4201,213.4908,286.7962,235.093,176.9478,720.9363,573.195,294.0402,991.2393,549.9491,354.1623,1288.4898,411.9444,345.8486,2202.4254,5981.2528,1319.7315,345.9915,174.1865,1624.2129,208.8213,866.2659,893.8383,363.7486,1606.1391,1750.0078,1308.777,4555.3398,5098.7809,5725.9112,2722.3974,2669.3011,539.7443,480.9775,0.0,3511.4912,10.946,713.365,761.3189,41.677,0.0
NLD_O,181.8295,3.5903,7.7284,9.9423,15.3723,143.2578,19.9611,9.9542,130.7237,9.071,90.2296,24.2832,51.3423,30.094,204.2308,65.0951,28.8354,42.1353,79.5785,35.7043,22.5401,52.5471,192.2671,1158.1661,522.9788,743.3671,99.3794,65.783,51.7116,235.2742,17.8335,136.5558,62.8434,67.5207,423.2144,271.5187,280.5122,605.5433,215.4708,1029.5577,168.0984,440.2234,71.9864,68.3966,0.0,2347.4661,22.269,84851.4172,1839.0512,2.4465,0.0
NLD_P,16.4054,0.185,7.5158,0.1385,0.2954,71.5261,7.3321,3.4057,13.6262,2.0144,39.515,20.3572,13.6536,10.8234,7.8436,36.0948,27.6304,16.8445,74.9533,21.9637,14.9482,47.2961,31.5024,21.5261,175.5312,475.4859,58.6762,21.9697,24.0569,74.7453,12.9473,82.3077,50.6061,33.1421,161.8211,400.0679,64.3668,942.5063,210.5462,1200.1735,186.8213,816.9586,157.9014,41.9327,0.0,3745.3873,233.4163,38184.8975,2955.9005,0.6418,0.0
NLD_Q,12.0743,1.1182,3.2631,1.8836,3.4152,28.9567,5.7248,5.3999,8.9799,2.1063,13.8755,10.9004,9.7081,9.1501,3.715,22.0413,13.2989,7.1209,21.9389,11.5905,6.426,22.2885,9.6611,8.6918,67.969,272.5863,40.5913,16.3876,21.6441,66.4492,4.8497,29.5743,10.3286,14.7124,148.5729,73.7124,26.5088,217.7039,116.105,1166.9083,68.2324,3375.6413,13.5342,29.2144,0.0,11818.5995,415.6245,88122.4356,856.8286,0.5499,0.0
NLD_R,8.6444,0.0545,2.5489,0.0053,0.013,35.6369,4.3325,2.7716,6.2777,1.0016,12.4674,4.5232,5.1407,3.8053,7.3009,8.5901,17.2192,10.4095,13.7145,9.6108,9.8528,11.785,6.401,7.8449,39.8531,260.2797,22.8452,9.0276,26.6926,16.8372,3.676,72.0879,240.8283,11.5819,111.5114,76.9759,30.7577,222.7436,316.85,230.4148,93.6481,93.9292,983.8596,46.2234,0.0,5977.6488,683.4036,1087.3891,421.5054,1.1171,0.0
NLD_S,68.2303,1.8908,4.5172,0.0982,0.2433,90.751,9.8572,6.0069,18.3145,3.2087,49.1225,14.3719,17.2554,14.5371,16.8117,25.823,11.4295,10.9514,26.0179,30.1245,25.3224,44.226,12.1798,43.9889,118.8865,382.9569,56.7734,24.8892,10.2966,42.3781,5.3164,211.4147,51.9909,18.9369,377.5257,186.5713,191.0958,360.391,185.9452,240.2921,72.5027,1031.9291,93.5107,270.1939,0.0,5465.917,3378.185,1192.0876,369.363,1.3968,0.0
NLD_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.7235,0.0,0.0,0.0,0.0,0.0
