V1,ROW_A01_02,ROW_A03,ROW_B05_06,ROW_B07_08,ROW_B09,ROW_C10T12,ROW_C13T15,ROW_C16,ROW_C17_18,ROW_C19,ROW_C20,ROW_C21,ROW_C22,ROW_C23,ROW_C24,ROW_C25,ROW_C26,ROW_C27,ROW_C28,ROW_C29,ROW_C30,ROW_C31T33,ROW_D,ROW_E,ROW_F,ROW_G,ROW_H49,ROW_H50,ROW_H51,ROW_H52,ROW_H53,ROW_I,ROW_J58T60,ROW_J61,ROW_J62_63,ROW_K,ROW_L,ROW_M,ROW_N,ROW_O,ROW_P,ROW_Q,ROW_R,ROW_S,ROW_T,ROW_HFCE,ROW_NPISH,ROW_GGFC,ROW_GFCF,ROW_INVNT,ROW_DPABR
ROW_C30,20.6018,134.3647,181.7073,50.2758,4.0456,17.8403,5.7465,3.0722,54.2458,22.7601,76.9224,17.6155,3.831,6.3594,13.705,12.4963,20.015,11.8543,48.4944,195.9852,2688.3955,204.4522,494.7673,12.9951,94.6471,164.9222,328.649,366.7988,526.5001,131.1032,1.8065,5.0836,4.3322,8.6044,2.1819,6.1383,22.3211,127.9273,132.3006,739.2091,44.0887,13.1912,30.3033,378.7229,0.0,3615.4717,0.135,157.3407,11573.2663,-1545.2746,0.1922
ROW_C31T33,2231.6207,217.9798,2409.0084,880.653,149.2733,901.9204,889.3172,202.0765,295.0459,529.3126,536.6377,201.4,415.1788,375.7283,782.2729,432.4769,409.7093,294.9377,327.8495,379.0026,180.0687,3368.0027,3027.5145,995.8166,4197.2245,2806.6422,4446.1823,388.983,597.0453,447.3733,73.6055,356.5259,255.2158,987.6137,264.1711,2183.6587,2082.6631,923.9027,487.2071,2327.0347,1863.6322,3051.3457,419.4289,1016.2758,0.0,17880.7576,14.3443,1011.6761,12789.538,-1190.8319,123.7018
ROW_D,5304.4805,403.3893,9825.9747,4803.413,988.9517,5100.3314,2417.2264,884.5277,1842.4229,3681.9161,7941.9557,510.1029,1284.6555,7714.3288,9689.3006,1085.8746,512.1177,581.3069,866.3152,696.3816,198.1521,859.8479,40551.5848,2043.4299,3410.8786,13460.6793,7510.6742,288.112,283.4368,1591.8204,274.1914,3652.7844,823.3575,2958.0987,489.8681,2481.8064,4130.4845,2251.2088,1093.6575,8985.9025,6552.0499,3902.1991,1404.7778,2267.8475,0.0,39047.9768,55.0215,4006.2145,1454.1947,250.3484,5.4029
ROW_E,955.1235,76.3009,950.7831,502.8358,336.3544,778.9576,321.9947,72.1997,511.4211,329.7421,1183.2972,82.082,191.8439,1142.9721,2702.0571,284.146,70.929,69.972,155.5923,94.6455,25.5776,138.0087,1434.616,4443.7579,1749.1417,2123.4697,473.0951,136.0322,48.4,235.0303,41.8258,896.6685,81.8247,185.4459,48.5869,473.3675,1240.227,381.4963,305.6407,5692.4217,1714.8602,1084.3768,240.7974,466.921,0.0,9511.952,152.9194,5680.3905,562.9838,-2.0114,1.268
ROW_F,2849.2187,233.909,3813.8585,1294.87,579.9563,1333.6736,408.0801,176.5072,328.4109,878.8051,618.8637,154.431,202.2114,635.5854,596.6043,313.6129,160.5586,182.9676,309.0665,190.7634,71.8491,505.101,3353.8801,1658.9384,108222.5125,6221.663,1787.0642,238.1937,272.3442,2316.2733,233.3121,1638.1386,465.7781,1550.6615,233.9539,4166.164,93658.8189,2102.0719,948.723,19324.0824,5748.4951,3164.152,1451.8393,3343.4422,0.0,19637.7109,122.7307,4437.4423,510809.4225,-50.7723,14.2317
ROW_G,55579.5518,4049.4194,16342.4923,4580.1866,2169.389,50365.1936,22539.6348,3129.3063,5372.5928,10480.3907,12567.2221,5233.3307,6438.7433,7370.4485,11031.1438,6346.2321,4336.855,4923.4265,6596.8296,14715.9848,1515.3347,7388.2479,6815.4429,2115.1303,45896.087,60316.8785,22410.4361,2485.1653,3295.4598,2830.7887,604.6584,14009.4314,3687.6872,5120.4165,1583.8627,4506.7414,7972.05,5111.2798,4429.2791,15930.4233,8382.7834,11245.9213,1713.5047,4722.9865,0.0,197340.0464,154.5205,4428.4688,61859.3017,23267.4068,286.961
ROW_H49,12685.8962,778.7589,16226.8535,5588.0929,2002.3862,8539.1284,3154.2673,1050.6607,1504.4108,6156.7133,7432.519,644.534,1598.193,4455.8146,5664.0859,2306.0156,599.3938,1102.7393,1315.8978,2953.6971,263.4241,1853.72,4018.2715,678.151,20274.9336,55059.0449,21382.2357,1439.234,1508.0346,5075.7916,674.5887,1818.4684,1277.1933,1434.0131,519.2903,2420.2369,1451.9596,2524.7883,2342.2674,9088.5748,6834.5312,2674.6642,404.6992,6276.6343,0.0,64836.8264,39.5639,3849.4875,11260.037,1543.2734,601.1055
ROW_H50,953.9559,185.0946,7576.4841,293.4228,96.5394,824.6322,475.0101,98.1952,190.0295,1505.3328,452.7337,89.576,180.1026,319.4248,601.4128,195.5044,152.3573,179.9689,216.9071,300.4137,53.746,182.428,205.667,53.923,1186.4736,3665.3416,1504.5839,6844.7712,330.475,1566.8676,48.0884,214.4073,95.8195,123.7762,51.9354,132.6832,153.8378,214.182,207.5628,789.1311,175.3443,235.326,49.6885,317.4348,0.0,11536.4771,6.0583,462.0109,1766.202,1443.8734,161.6882
ROW_H51,1013.4891,98.7278,1991.1485,226.5543,150.505,870.8833,560.8691,72.4195,174.5237,380.5534,377.137,146.5934,222.7841,264.6036,428.4752,222.2581,212.2672,219.4254,223.1454,350.8603,61.631,293.4758,369.6141,83.9739,1760.455,2348.6493,1013.9554,266.3469,2494.5174,811.6384,235.3425,339.9132,230.9667,256.2594,229.9311,790.6784,485.2003,745.904,1631.1838,2779.9415,756.4822,436.1812,150.7077,709.3765,0.0,21226.5482,12.5361,397.9248,2049.2185,1687.6848,397.9929
ROW_H52,1740.0638,245.6396,2554.6212,769.289,229.0135,1939.9165,524.8241,135.7545,320.2678,1023.45,738.8984,173.9529,225.0254,567.1794,692.3868,281.8073,164.3919,181.7424,230.0154,470.2322,57.6048,267.1598,416.8274,163.2394,2658.7459,13928.9133,7493.8658,3269.902,4140.8108,6039.373,286.5816,350.3703,274.7183,286.1418,124.4337,221.4083,412.7135,528.7097,520.3734,2082.581,515.0566,306.9598,95.4575,502.6454,0.0,11723.7693,16.1992,3467.2584,1578.3138,415.8888,20.0766
ROW_H53,113.6197,8.0681,234.8092,72.2225,26.0559,111.9961,68.7972,11.3616,45.0609,41.7352,95.1336,34.187,22.6193,32.1165,37.6275,52.1791,42.8691,29.0382,53.3685,22.507,9.0717,42.5267,187.0508,58.4394,217.2795,2372.6375,142.1918,423.3908,51.9772,205.8059,1330.319,177.2195,443.5437,585.9886,113.1011,1294.16,152.0751,425.4571,250.2682,1974.7486,433.3803,251.1045,109.7369,298.8757,0.0,4221.8959,3.9047,291.1025,87.7287,3.823,9.3132
