V1,ISL_A01_02,ISL_A03,ISL_B05_06,ISL_B07_08,ISL_B09,ISL_C10T12,ISL_C13T15,ISL_C16,ISL_C17_18,ISL_C19,ISL_C20,ISL_C21,ISL_C22,ISL_C23,ISL_C24,ISL_C25,ISL_C26,ISL_C27,ISL_C28,ISL_C29,ISL_C30,ISL_C31T33,ISL_D,ISL_E,ISL_F,ISL_G,ISL_H49,ISL_H50,ISL_H51,ISL_H52,ISL_H53,ISL_I,ISL_J58T60,ISL_J61,ISL_J62_63,ISL_K,ISL_L,ISL_M,ISL_N,ISL_O,ISL_P,ISL_Q,ISL_R,ISL_S,ISL_T,ISL_HFCE,ISL_NPISH,ISL_GGFC,ISL_GFCF,ISL_INVNT,ISL_DPABR
ISL_K,14.9442,37.0936,0.2326,1.239,0.0059,80.8521,2.8599,1.3167,3.2536,0.0119,4.8485,8.6087,3.2409,10.699,73.6788,13.0751,0.5494,7.2605,14.4568,0.3574,1.1248,18.644,24.725,7.5362,158.7547,122.5397,10.9561,34.1467,53.8861,19.9706,4.0027,30.3259,21.329,23.4256,45.8388,347.8781,147.1596,65.1189,31.5956,26.5845,36.7831,17.1512,15.86,27.6422,0.0,204.6513,10.2678,0.0701,2.5547,0.1747,0.0
ISL_L,1.9112,0.6625,0.0105,0.0878,0.0004,4.0302,0.1862,0.0938,0.249,0.0005,0.4164,0.6582,0.2088,0.6872,4.6541,0.6381,0.0742,0.4628,0.8471,0.0201,0.0608,2.1726,0.0,0.0977,2.462,46.383,2.0116,2.1169,1.5291,9.2496,0.5828,14.8357,8.5008,4.4313,18.7477,24.4502,125.1493,38.1395,13.673,12.953,4.6019,0.0,6.9127,21.8731,0.0,3289.914,4.2355,15.3744,23.4794,0.0,0.0
ISL_M,11.7325,18.9155,0.1949,0.5181,0.0137,41.8178,1.4212,0.6848,1.7793,0.01,2.7647,5.7818,1.4132,6.5254,49.5461,7.3878,0.3407,4.1434,9.6294,0.1981,0.5171,13.0205,19.5288,5.3857,121.0108,75.2246,8.5632,15.3027,21.9465,10.9399,2.1322,15.5868,10.5838,11.0104,38.5736,62.0768,108.2911,225.6296,17.9678,84.3472,34.2957,30.1815,10.7137,23.392,0.0,22.3478,5.0893,22.9918,120.7582,0.0515,0.0
ISL_N,4.1699,7.7695,0.5775,1.3274,0.0324,24.2429,0.6096,0.3064,0.9766,0.0218,1.0021,1.9101,0.6762,2.0578,15.9939,2.7105,0.198,1.9221,3.0982,0.0607,0.3664,15.7016,8.2186,3.3086,105.2147,51.8778,4.687,10.5771,14.2139,8.381,1.1517,12.161,9.0828,5.0773,16.734,26.7569,45.7979,52.1228,89.5073,42.9743,22.8116,21.4928,7.2213,12.7729,0.0,144.9879,13.5622,6.5024,0.0,0.1271,0.0
ISL_O,0.0,0.0,0.0056,0.0,0.0002,0.0802,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.198,43.5707,14.3946,0.0,0.0,0.0,0.0,0.0,0.0,2.2929,0.0,12.2049,16.5167,0.0,7.3079,0.0,1.3738,0.0,102.1136,85.2449,0.0,15.8372,0.0,0.0,3.392,16.7394,1789.9917,0.0,0.0,0.0
ISL_P,0.4681,1.1306,0.0062,0.0384,0.0001,3.1644,0.074,0.0403,0.0902,0.0004,0.0841,0.4416,0.0782,0.2893,4.0527,0.3448,0.0166,0.2033,0.3999,0.0095,0.0333,0.5909,0.9352,0.1825,5.0254,2.62,0.3096,0.7383,1.2315,0.5222,0.0787,0.7812,0.3582,0.567,4.2118,2.5841,10.5293,5.468,1.937,20.3694,384.6317,4.6733,0.1572,0.2445,0.0,55.605,90.2712,1596.6382,0.0,0.0,0.0
ISL_Q,0.4158,0.9712,0.0038,0.034,0.0002,2.8097,0.0748,0.0357,0.0803,0.0003,0.1079,0.1921,0.0694,0.2559,3.5955,0.3096,0.0149,0.1791,0.3567,0.0082,0.0297,0.5286,0.7129,0.2148,4.3504,2.0962,0.2751,0.6555,1.0496,0.4635,0.1007,0.6952,0.509,0.5037,1.0432,1.1505,2.5925,1.4403,0.7393,128.6063,0.0,1127.3142,0.4024,0.6686,0.0,229.3151,90.8901,1990.9536,0.0,0.0,0.0
ISL_R,0.0,0.0,0.0007,0.0,0.0,0.0115,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0057,0.0,0.0,109.3224,48.5613,156.9573,1.297,0.003,0.0
ISL_S,0.6324,1.7627,0.0042,0.0531,0.0004,5.0764,0.1417,0.0676,0.1532,0.0005,0.2036,0.3626,0.1314,0.4882,7.1867,0.5852,0.0274,0.3411,0.6833,0.0159,0.0555,1.0317,1.5657,0.4915,8.8585,6.5678,0.5188,1.2465,1.9668,0.8952,0.2058,2.7172,0.8769,1.0301,3.7464,2.433,5.4034,3.1478,1.4629,2.7479,3.0627,3.8127,0.6312,88.0345,0.0,145.4707,203.1614,70.5043,0.0,0.0,0.0
ISL_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.136,0.0,0.0,0.0,0.0,0.0
