V1,KAZ_A01_02,KAZ_A03,KAZ_B05_06,KAZ_B07_08,KAZ_B09,KAZ_C10T12,KAZ_C13T15,KAZ_C16,KAZ_C17_18,KAZ_C19,KAZ_C20,KAZ_C21,KAZ_C22,KAZ_C23,KAZ_C24,KAZ_C25,KAZ_C26,KAZ_C27,KAZ_C28,KAZ_C29,KAZ_C30,KAZ_C31T33,KAZ_D,KAZ_E,KAZ_F,KAZ_G,KAZ_H49,KAZ_H50,KAZ_H51,KAZ_H52,KAZ_H53,KAZ_I,KAZ_J58T60,KAZ_J61,KAZ_J62_63,KAZ_K,KAZ_L,KAZ_M,KAZ_N,KAZ_O,KAZ_P,KAZ_Q,KAZ_R,KAZ_S,KAZ_T,KAZ_HFCE,KAZ_NPISH,KAZ_GGFC,KAZ_GFCF,KAZ_INVNT,KAZ_DPABR
KAZ_C20,279.7088,1.3735,154.9362,582.0687,16.5268,169.1512,3.6673,0.6883,57.2453,2.2872,44.3783,171.3331,218.8724,35.6192,19.5916,0.5889,0.0102,0.9459,1.9259,0.5161,2.1853,18.8921,19.2382,0.6589,31.7066,28.9928,62.8447,0.6242,5.7571,5.1943,2.9128,7.1479,7.9945,0.654,4.2204,0.6797,55.6588,209.2941,122.0747,20.6497,61.9257,364.1172,6.7341,18.8342,0.0,59.3198,0.0,0.0086,1.0111,29.2074,0.0
KAZ_C21,5.0033,0.0085,3.0596,0.8398,0.0607,0.3871,0.0074,0.0008,0.0053,0.0144,0.9635,2.1606,0.0088,0.0187,0.1429,0.0035,0.0009,0.0023,0.0022,0.0016,0.0021,0.0335,0.0547,0.0034,0.1265,0.1463,0.1347,0.0559,0.0403,0.0567,0.457,0.0912,0.0092,0.0325,0.0068,0.0345,0.0854,19.1057,0.2414,21.4145,5.6367,1211.9223,3.6122,4.1736,0.0,102.1248,0.0,2.2411,0.1042,9.5666,0.0
KAZ_C22,9.096,0.2185,33.4437,9.4843,12.8628,10.0748,0.949,0.7997,2.1229,0.8136,3.1675,13.9759,5.6452,26.7837,4.8131,0.3806,0.1527,0.09,0.0884,0.1235,0.3445,1.6407,7.8334,1.0322,77.9598,201.9119,110.4482,1.7705,0.6798,7.4895,0.7298,3.7299,3.0942,12.3467,2.8002,1.6653,156.9763,89.1264,23.7819,23.2636,22.0022,520.0251,5.293,12.526,0.0,27.0732,0.0,0.0067,1.3473,8.9899,0.0
KAZ_C23,47.1905,0.9627,63.753,231.7033,100.959,22.7051,0.0834,6.4612,0.0858,1.3096,14.271,7.0947,10.9033,322.0973,41.1592,0.9393,0.0445,0.1713,0.3408,0.6032,0.3626,18.93,40.1963,12.0178,1990.7174,29.9912,51.767,1.1458,6.3965,89.1851,0.9745,26.8513,2.0205,4.72,1.6012,1.9632,358.3235,192.7231,80.1868,11.3993,19.306,391.1895,14.1359,3.3881,0.0,30.5732,0.0,0.2152,35.6572,38.3116,0.0
KAZ_C24,166.5649,2.2934,1599.3309,2164.6077,242.5105,20.6506,3.187,0.3595,3.0477,18.3594,27.9849,27.3958,117.5605,820.0296,6670.2944,884.2425,7.9044,583.1885,561.0214,344.2974,254.3057,1129.6999,951.3263,435.4896,12217.6638,108.2992,1639.9485,39.6822,28.0635,442.1009,0.0004,37.0584,4.1291,779.7346,2.3266,1094.2422,204.568,720.4903,113.335,11.7855,10.0607,375.916,33.5879,56.4017,0.0,1.5394,0.0,0.0,0.0,595.4459,0.0
KAZ_C25,11.9308,3.1167,123.2696,28.8375,15.5305,6.9042,0.2768,0.4006,0.1704,7.0708,0.8118,0.01,0.0973,50.9753,42.0534,2.311,0.0345,0.1297,1.3239,1.1576,1.8625,53.2829,38.0389,3.2785,252.1821,371.0317,107.6569,0.1101,5.9437,44.4773,0.3933,4.2274,6.5022,35.5656,5.6099,1.1862,35.6761,147.2306,13.5861,30.6922,29.4005,79.5617,8.9828,3.1348,0.0,17.3138,0.0,0.0055,107.4785,13.1619,0.0
KAZ_C26,0.0815,0.0016,13.8584,0.2554,6.9148,0.0216,0.0001,0.0001,0.1192,0.0494,0.0071,0.0041,0.0016,0.0275,0.0009,0.8376,0.1,0.0193,0.0062,0.0397,1.2929,1.7463,11.7242,0.004,2.8417,16.6603,1.4089,0.0024,0.3798,1.0537,1.019,0.1375,2.3677,12.4837,3.8004,2.0823,0.0322,3.7597,3.9868,0.9469,3.5793,5.6038,1.128,1.9318,0.0,15.2822,0.0,0.0039,86.2057,1.8873,0.0
KAZ_C27,1.7363,0.1022,26.4529,12.5692,2.5788,6.5853,0.4287,0.1695,0.0677,1.0909,1.0437,0.0084,0.4968,5.9428,11.2162,0.3238,10.1173,0.0546,0.0509,0.0099,1.8673,45.4151,31.8826,0.4573,28.0844,28.9165,69.7407,0.0206,0.5386,4.9636,0.0101,2.0929,4.0839,11.4487,5.1364,1.4403,16.6768,40.8913,45.0052,8.532,15.7934,49.3272,24.6535,30.2431,0.0,89.2049,0.0,0.0093,382.2562,31.3633,0.0
KAZ_C28,19.5717,0.1238,136.4491,89.8282,19.9378,1.7324,1.1849,0.1388,0.3979,1.102,0.2002,0.0508,0.1885,5.0955,12.4477,0.1557,0.0149,0.1572,2.3276,0.0871,0.3371,13.4514,6.732,0.2254,6.9311,33.3445,119.3118,0.1509,1.2242,4.7296,0.1374,1.4668,0.8712,2.6076,0.8787,1.7981,6.8137,30.3523,15.6198,7.7898,6.5964,23.3335,1.7245,2.3036,0.0,11.9428,0.0,0.0155,443.9879,17.9031,0.0
KAZ_C29,17.2496,2.9104,11.5348,2.3533,0.9716,0.366,0.0046,0.0359,0.0088,0.0053,0.003,0.0097,0.0006,0.2708,0.0282,0.0008,0.0498,0.0617,0.5606,139.4598,6.5681,9.1066,0.4557,0.0842,3.7288,166.4849,48.8997,0.1948,0.6508,9.3957,0.6165,1.3513,0.0811,0.3664,0.0858,1.1201,3.7756,7.8965,36.224,64.9067,13.3382,6.1834,7.2222,0.3289,0.0,171.1454,0.0,0.0001,658.8527,34.5664,0.0
KAZ_C30,0.0341,0.0,1.518,0.4838,0.0179,0.0017,0.0,0.0,0.0002,0.0,0.0,0.0105,0.0,0.0,0.145,0.0089,0.0,0.0002,0.0001,5.1042,11.6272,0.0037,0.0001,0.0002,0.0091,0.0,62.7122,9.7237,19.9369,4.2306,0.0,0.0212,0.0006,0.0057,0.0004,0.0,0.0016,5.4694,8.8793,0.8092,0.1976,0.3833,0.3992,0.0642,0.0,4.8913,0.0,0.0,484.7313,15.7597,0.0
KAZ_C31T33,31.7676,0.127,366.4736,13.5083,7.4572,2.6808,0.4773,0.0399,0.432,2.0666,0.4347,0.1865,0.2081,1.5075,10.8302,0.224,6.1959,0.1335,0.1378,0.1972,1.4838,5.1952,47.8276,3.2959,20.9311,1418.3909,426.6851,12.9593,43.6291,46.4573,6.4872,9.0148,7.1147,28.6362,6.5816,12.7965,22.3359,124.4346,192.241,170.008,104.1845,41.2725,34.3242,51.4367,0.0,70.1194,0.0,0.2841,157.4123,15.2857,0.0
KAZ_D,40.0074,10.6249,893.1885,106.8031,3.7213,52.9996,0.3925,0.2524,3.5302,4.566,11.4682,1.6177,0.3605,17.1536,7.805,0.0538,0.7105,0.0796,0.1307,0.4897,0.5239,25.3977,169.1977,55.7793,865.4297,1951.4258,294.7513,0.3769,15.9664,99.3031,4.2279,21.9486,110.7386,114.0267,115.9551,42.1237,488.1472,193.6522,224.9369,329.8061,356.5929,390.5192,138.0464,1139.9762,0.0,543.0392,0.0,0.5564,5.7919,0.0775,0.0
