V1,KHM_A01_02,KHM_A03,KHM_B05_06,KHM_B07_08,KHM_B09,KHM_C10T12,KHM_C13T15,KHM_C16,KHM_C17_18,KHM_C19,KHM_C20,KHM_C21,KHM_C22,KHM_C23,KHM_C24,KHM_C25,KHM_C26,KHM_C27,KHM_C28,KHM_C29,KHM_C30,KHM_C31T33,KHM_D,KHM_E,KHM_F,KHM_G,KHM_H49,KHM_H50,KHM_H51,KHM_H52,KHM_H53,KHM_I,KHM_J58T60,KHM_J61,KHM_J62_63,KHM_K,KHM_L,KHM_M,KHM_N,KHM_O,KHM_P,KHM_Q,KHM_R,KHM_S,KHM_T,KHM_HFCE,KHM_NPISH,KHM_GGFC,KHM_GFCF,KHM_INVNT,KHM_DPABR
KHM_C24,0.0005,0.0,0,0.0,0.0,0.6579,0.101,0.0076,0.0946,0.0458,0.0134,0.0006,0.05,0.023,9.9956,9.8083,0.0,0.0001,0.0035,0.1172,0.1199,0.4683,0.2674,0.3861,42.33,0.6418,1.275,0.3226,0.4894,0.4437,0.0002,0.221,0.0509,0.0014,0.0,0.0,0.0,0.0,0.0059,0.006,0.0011,0.0665,0.0296,0.0683,0,77.3328,0.0,0.0,0.0,0.2115,0.0
KHM_C25,0.006,0.0,0,0.0001,0.0,3.0965,0.5997,0.0487,0.449,0.2451,0.0536,0.0059,0.2744,0.1859,3.8634,25.0441,0.0001,0.0002,0.0293,1.7597,2.1646,6.2926,2.1457,1.9344,130.6344,4.7818,7.7593,2.0751,1.4064,4.0456,0.0016,1.094,0.3167,0.0098,0.0,0.0,0.0003,0.0057,0.7389,1.1208,0.0335,0.3966,0.186,0.3596,0,92.0624,0.3054,0.0,24.8877,0.4829,0.0
KHM_C26,0.0007,0.0,0,0.0002,0.0001,0.0011,0.0004,0.0004,0.0002,0.0039,0.0004,0.0001,0.0001,0.0,0.0003,0.0017,0.0,0.0,0.0013,0.001,0.0017,0.0073,0.0055,0.0041,0.0086,0.0152,0.0031,0.0008,0.0015,0.0018,0.0009,0.0093,0.004,0.021,0.0008,0.0019,0.0002,0.0007,0.0006,0.0098,0.0036,0.0038,0.0018,0.007,0,0.0726,0.0,0.0257,0.1355,0.0407,0.0
KHM_C27,0.0015,0.0,0,0.0006,0.0001,0.002,0.0006,0.0008,0.0002,0.01,0.0005,0.0001,0.0003,0.0001,0.0012,0.0033,0.0,0.0001,0.0038,0.0031,0.0036,0.0181,0.0133,0.0065,0.0567,0.0229,0.0068,0.0013,0.0012,0.0024,0.0007,0.0175,0.004,0.0154,0.0004,0.0014,0.0005,0.0007,0.0006,0.0078,0.0026,0.0026,0.0019,0.0078,0,0.0694,0.0,0.0252,0.11,0.0392,0.0
KHM_C28,0.0,0.0,0,0.0,0.0,0.0054,0.0009,0.0001,0.0005,0.014,0.0001,0.0,0.0005,0.0003,0.0052,0.0189,0.0,0.0,0.0231,0.001,0.0013,0.0106,0.5994,0.3418,0.3151,1.5243,0.4559,0.1746,0.1729,0.2104,0.0,0.0017,0.0527,0.0001,0.0013,0.0,0.0,0.0036,0.0343,0.0015,0.0,0.002,0.056,0.0783,0,0.5648,0.0,0.0,8.8206,0.0236,0.0
KHM_C29,0.289,0.0333,0,0.1739,0.0196,0.0026,0.0004,0.0,0.0002,0.0511,0.0,0.0,0.0002,0.0002,0.0012,0.004,0.0,0.0,0.0019,0.4075,0.0831,0.0085,1.335,0.7426,0.5594,0.0038,2.2496,0.0673,0.1804,0.2505,0.1999,0.0514,0.0888,0.2987,0.2375,0.0,0.2892,0.5009,0.608,0.0008,0.0,0.0001,0.1127,0.2198,0,16.5759,0.0,0.0001,21.8858,0.1429,0.0
KHM_C30,0.4015,0.1057,0,0.3912,0.0593,0.0026,0.0007,0.0001,0.0004,0.1111,0.0001,0.0,0.0003,0.0002,0.0005,0.0022,0.0,0.0,0.0016,0.6839,2.6322,0.0644,1.9469,0.5612,0.9291,0.0048,3.0565,0.7144,4.0318,0.4106,0.2406,0.0779,0.1824,0.2727,0.4681,0.0,0.4077,1.0724,0.8769,0.0029,0.0,0.0002,0.1904,0.2265,0,34.0388,0.0,0.0022,123.3156,-137.547,0.0
KHM_C31T33,7.1198,6.2147,0,0.783,0.1372,3.2708,0.6712,0.1808,0.2362,4.8065,0.1474,0.0308,0.227,0.3053,0.4238,1.4272,0.0015,0.0025,0.0146,0.0834,0.2414,3.5343,3.9544,2.9752,20.6954,13.0578,8.6249,1.9703,4.8147,3.0422,2.3474,6.7976,0.9369,7.1679,0.1516,0.4245,0.1878,0.2777,0.7901,2.9634,2.366,0.3807,2.5824,2.0307,0,79.5728,0.0124,0.0045,69.2414,0.0228,0.0
KHM_D,6.8812,0.2117,0,0.1286,0.0098,17.4268,2.2046,0.1869,2.2329,0.3323,0.8449,0.0636,1.3723,0.4039,0.2687,0.3081,0.0005,0.0013,0.0189,0.0191,0.0227,0.4104,29.5499,5.6436,5.2755,3.8313,3.2426,0.2102,0.4446,1.3203,0.835,6.0498,2.0311,8.621,4.0593,1.9484,69.8519,8.5673,2.9743,20.4657,3.4202,2.3216,1.9156,2.3469,0,344.0602,0.555,0.6185,0.0,0.0,0.0
KHM_E,5.0742,0.1618,0,0.1556,0.0357,5.8135,0.3828,0.0443,0.3305,0.0518,0.1202,0.0135,0.2604,0.5448,0.4237,0.3401,0.0004,0.0013,0.0343,0.0733,0.1469,0.6852,4.1819,11.0479,9.4616,7.2063,5.4156,1.2443,1.8117,2.6929,1.5832,11.9613,0.5642,6.104,0.501,0.5125,17.8682,1.2236,1.1028,5.8559,1.5471,0.5113,0.5351,2.4486,0,161.6857,15.1562,18.8968,30.0983,0.0,0.0
