V1,THA_A01_02,THA_A03,THA_B05_06,THA_B07_08,THA_B09,THA_C10T12,THA_C13T15,THA_C16,THA_C17_18,THA_C19,THA_C20,THA_C21,THA_C22,THA_C23,THA_C24,THA_C25,THA_C26,THA_C27,THA_C28,THA_C29,THA_C30,THA_C31T33,THA_D,THA_E,THA_F,THA_G,THA_H49,THA_H50,THA_H51,THA_H52,THA_H53,THA_I,THA_J58T60,THA_J61,THA_J62_63,THA_K,THA_L,THA_M,THA_N,THA_O,THA_P,THA_Q,THA_R,THA_S,THA_T,THA_HFCE,THA_NPISH,THA_GGFC,THA_GFCF,THA_INVNT,THA_DPABR
THA_C20,1812.4815,16.1094,4.94,41.6873,4.7311,255.2073,838.8727,89.0803,312.4457,386.5348,4083.5853,289.0915,2722.9135,522.0701,95.6216,214.9039,451.7827,237.9637,148.6803,573.0004,134.1643,280.9993,19.2766,45.1825,275.1351,312.1583,7.1013,1.5039,9.1823,0.7124,0.2876,84.6165,79.3817,0.4786,6.0682,28.042,0.8611,12.1068,18.2137,13.0755,63.7193,220.5095,0.7816,496.9109,0.0,1457.9651,3.2385,17.5347,0.0,64.5852,0.0
THA_C21,138.9806,2.3076,0.0,0.0074,0.0913,67.0438,0.3098,0.0,0.5395,0.0,22.8778,239.9704,0.0,0.5709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.0249,0.0,3.661,0.0,0.2454,1.0336,0.0132,0.6775,0.0,1.5003,0.0,0.0,0.0,0.8622,0.0,0.0,0.2624,0.7373,8.2769,1392.5711,0.4905,5.5324,0.0,1197.6705,4.5616,537.2882,0.0,17.2624,0.0
THA_C22,273.7622,66.9812,6.1495,15.8886,2.4242,712.7402,664.6027,18.5007,96.7632,20.7752,290.7721,90.3931,1990.5579,55.3638,32.9077,157.923,794.6783,385.691,272.3563,1728.0454,567.4209,337.7382,8.243,11.6895,479.3194,1104.2589,320.8691,2.6739,3.2031,3.4418,2.2015,46.6418,26.7352,3.0465,6.8075,16.0078,2.6062,8.7397,23.9848,0.0,9.8893,34.5136,0.6434,43.8792,0.0,1267.9671,0.0,0.0,196.6911,112.2408,0.0
THA_C23,24.6446,4.9748,0.0024,0.6849,3.8839,337.1908,1.5357,5.174,1.1728,0.0016,30.1196,73.7741,1.2154,1989.5948,16.7558,81.6727,290.6194,439.633,137.4786,466.5178,68.5778,34.635,0.0,10.3002,7881.1888,40.8561,0.0522,0.0,0.1215,0.0106,0.0,39.5588,0.1108,0.0,0.0079,1.7632,1.4846,4.382,0.0314,23.2125,2.4467,1.7879,0.4042,1.4018,0.0,1118.7507,0.0,0.1581,770.5233,113.3125,0.0
THA_C24,0.2083,0.0025,0.0002,0.0183,0.6265,6.2877,0.0809,0.0958,2.5952,0.0903,0.8188,0.0,2.1882,14.8079,1414.7467,884.9318,913.3887,889.882,367.0562,536.6351,119.9852,1495.876,0.0,0.0439,228.0033,45.1961,0.1609,0.1846,0.0,0.027,0.0,0.1458,1.7818,0.0,0.1946,0.0,0.0082,0.3389,0.2932,0.0,0.0079,0.9914,0.0005,7.2053,0.0,0.8945,0.0,0.0,23.1074,37.6139,0.0
THA_C25,195.1168,0.6594,0.192,28.9299,7.1482,680.332,82.4471,51.8052,17.8871,1.7732,48.3008,22.5591,58.6276,19.4826,7.8163,330.7486,219.147,248.8306,528.8927,411.5196,114.7649,135.777,46.2124,1.4504,1229.549,105.5933,14.3781,1.4311,10.3101,1.6648,0.0222,29.0451,12.8625,0.0753,6.7993,2.5988,2.4251,9.6205,37.0805,42.358,1.0581,24.7899,0.6155,21.3537,0.0,829.9473,1.6432,4.4921,1095.6072,50.3538,0.0
THA_C26,17.3628,0.2764,31.3227,0.8804,1.6812,33.6174,56.9512,3.1709,14.5779,1.5212,31.1845,14.4664,11.5596,11.1234,3.9382,88.0613,34691.0847,267.1482,280.6607,1749.6523,60.79,1182.9486,44.099,11.2381,234.3024,205.0784,30.6223,3.6506,18.0691,1.3583,9.3789,99.9002,169.6952,141.5325,235.4422,187.0211,31.129,188.9086,94.2443,315.6516,751.3684,1061.9797,11.4641,562.7032,0.0,2398.9181,8.0852,1700.36,12996.1068,708.1607,0.0
THA_C27,4.1884,0.3493,2.3105,1.1998,0.6241,0.3653,0.1909,0.7196,0.0036,0.0,0.0046,0.0035,0.2027,1.6383,0.3504,2.6778,312.6084,1007.5457,132.0472,751.9504,67.414,74.9352,149.5757,0.5465,638.3022,280.9251,12.1704,1.1933,0.0177,0.156,0.0377,57.6043,7.7393,0.471,3.3311,11.757,2.7244,3.7566,3.6855,0.0,2.0418,3.7254,0.266,24.4722,0.0,727.863,0.7104,0.0,1181.7763,20.5803,0.0
THA_C28,76.6944,7.0932,35.7434,21.6686,4.6126,95.9377,57.964,13.3855,21.2349,26.7196,73.8066,4.4534,46.4759,39.3354,21.9525,24.4799,96.3082,15.8764,1446.9817,1030.2462,117.6462,17.9207,56.5643,0.609,56.2365,113.5556,6.7299,2.9747,3.8065,1.4894,0.9069,4.9188,4.661,1.7291,2.5416,0.0323,0.2621,2.9524,8.2287,30.213,0.7598,10.5154,0.8016,3.9853,0.0,358.6377,0.8884,1.6688,2900.4455,36.3202,0.0
THA_C29,0.0965,0.0,0.0,0.0,0.5352,0.0541,0.0802,0.0,0.0057,0.0,0.016,0.0682,0.0,0.0,0.0006,0.0,8.163,0.2069,2.6815,6474.7199,82.7695,0.0,0.0,0.0925,0.0,906.171,94.4824,1.2988,0.0,0.0,0.0,0.0,0.0095,0.0,0.0,0.0,0.4192,0.0,5.1663,8.3121,0.0,0.0,0.037,3.2048,0.0,2404.6,1.4021,4.4235,9684.8972,166.2296,0.0
THA_C30,0.0394,92.5102,11.8042,0.0014,0.0379,1.2496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0204,0.0,0.0,0.0,0.0,0.0,0.0,1123.951,0.0409,0.0,0.0,0.007,104.0434,19.8263,129.9098,231.4253,0.0113,0.0,0.0,0.0,0.0,1.3727,0.0,0.0,1.9243,1.6244,0.2557,0.0341,0.0,0.0593,0.0871,0.0,661.63,0.0,0.0,3434.0203,23.119,0.0
THA_C31T33,55.2173,15.7491,28.1376,11.2489,36.5354,172.6534,972.6465,15.4069,48.6362,4.7012,108.4127,44.3463,92.8555,49.2397,58.6722,70.9493,823.5528,47.7708,53.0925,273.3694,47.6482,9882.4211,317.1738,58.7899,158.4587,261.1568,43.8268,49.0583,206.6431,11.1479,12.7879,133.5002,188.6357,60.838,88.0821,952.1065,66.7117,151.5433,186.5905,113.4746,822.2081,137.6455,148.7686,176.2987,0.0,3257.7509,4.6869,360.0065,4034.4239,-3.8899,0.0
THA_D,354.7335,20.0279,96.5325,98.6542,15.2817,2710.8081,2565.6861,328.7271,347.6195,970.7587,3004.4106,82.7121,1612.1066,1665.0549,905.4378,551.6515,1136.9385,543.1735,756.0768,1664.5281,349.2036,485.7055,11643.4523,354.7548,359.3951,2693.478,4684.5773,29.9804,225.8576,168.1008,69.5517,3344.7604,240.8649,351.9543,76.0539,602.046,643.6759,113.3409,108.3243,0.0,636.4484,776.2709,44.4913,536.2378,0.0,4767.348,10.4588,0.0,0.0,0.0,0.0
THA_E,85.1204,0.0126,0.4806,2.1525,2.492,139.4192,32.2263,4.0818,20.6438,8.2374,60.9468,3.9304,25.1995,35.283,5.5125,7.6257,28.745,8.3877,10.8003,10.3015,2.8499,10.6509,32.9447,60.9743,31.3631,156.4082,16.1664,1.4765,18.3072,0.8496,2.6528,124.5735,7.2405,7.1097,9.1313,53.4557,42.8273,13.5796,18.2241,116.5261,50.035,32.4423,8.519,44.8012,0.0,1826.2324,43.0671,393.1952,0.0,0.0,0.0
