V1,BGD_A01_02,BGD_A03,BGD_B05_06,BGD_B07_08,BGD_B09,BGD_C10T12,BGD_C13T15,BGD_C16,BGD_C17_18,BGD_C19,BGD_C20,BGD_C21,BGD_C22,BGD_C23,BGD_C24,BGD_C25,BGD_C26,BGD_C27,BGD_C28,BGD_C29,BGD_C30,BGD_C31T33,BGD_D,BGD_E,BGD_F,BGD_G,BGD_H49,BGD_H50,BGD_H51,BGD_H52,BGD_H53,BGD_I,BGD_J58T60,BGD_J61,BGD_J62_63,BGD_K,BGD_L,BGD_M,BGD_N,BGD_O,BGD_P,BGD_Q,BGD_R,BGD_S,BGD_T
BGD_J61,15.8943,3.3799,5.0106,0.2216,0.1787,22.3877,91.7215,3.2945,8.5727,24.4618,14.7571,5.8344,8.5237,14.2079,7.27,9.6908,17.6078,9.8708,13.2729,10.5065,3.5094,15.3494,17.7059,6.7525,132.1995,121.2971,34.831,4.6342,7.3117,13.423,7.5475,21.7116,51.312,776.6537,19.5811,73.8714,16.2808,50.9688,27.4134,105.8524,27.1935,35.5797,16.8983,57.8177,0
BGD_J62_63,2.2712,0.3372,0.9872,0.0471,0.0356,8.1629,23.0435,0.6444,2.8768,10.727,4.8994,2.5487,2.0591,3.3983,2.1501,2.0039,6.8205,3.3382,3.32,4.1504,1.0817,3.7764,7.0799,1.9114,28.5599,27.9101,7.3802,1.0031,2.8537,2.8696,1.6643,3.3456,14.2543,36.4716,24.7119,28.3991,3.2572,14.321,5.4676,26.668,6.8183,7.6474,4.2085,13.4487,0
BGD_K,151.7387,20.9754,31.3264,1.251,0.899,118.2363,398.3414,14.9009,45.2999,215.5398,79.9113,24.277,41.3249,67.7453,56.7123,39.3863,55.2263,42.5523,53.2896,58.2113,17.1181,56.9677,106.0708,25.8709,716.2774,353.5532,134.6929,26.1067,31.4108,39.3881,10.2693,62.5209,42.7003,95.4042,17.4504,909.9422,431.6421,94.456,63.245,207.7536,43.0009,63.2605,30.4279,103.9658,0
BGD_L,16.4105,2.4951,5.7821,0.3109,0.1991,44.8468,243.9655,5.8563,18.0931,31.3438,19.6189,8.0955,17.0533,23.2305,11.2925,19.7293,21.4928,16.3629,18.6499,18.7011,6.5414,35.5969,24.5609,11.7321,277.2711,400.5481,49.0113,6.4214,9.9927,31.8805,8.5857,140.4266,38.5886,89.4827,17.0816,87.1262,118.8736,81.9987,41.1928,111.2733,61.4099,72.6667,41.4048,140.5999,0
BGD_M,86.7079,5.3767,25.0031,1.0611,1.4226,170.6962,365.0272,9.4409,37.2288,147.2437,84.1039,55.0799,36.4528,58.8782,36.4441,31.9637,68.4562,46.1896,50.0771,59.4235,17.8797,57.3183,64.7769,27.2954,985.3548,375.6686,59.1267,13.583,17.5848,27.8339,7.2937,52.5455,104.0422,156.0872,33.2731,141.6566,71.256,281.605,65.1442,165.9839,50.9147,67.4269,46.0205,109.5235,0
BGD_N,40.8511,6.3589,23.5465,1.0674,1.3565,112.562,320.426,10.5912,37.6795,129.005,60.511,35.6582,40.5716,60.8205,31.142,36.9,59.1679,40.6684,47.7884,60.0089,14.4872,63.1291,68.7385,31.7593,615.5261,297.3304,130.5482,33.3052,55.5609,58.5931,16.6138,75.3368,71.7829,164.3201,31.4496,104.7884,85.6355,120.9016,146.0254,182.5068,77.227,110.9107,50.3195,114.3387,0
BGD_O,30.6375,6.6204,7.2169,0.4434,0.3054,51.8281,143.4491,5.2909,16.0862,77.25,34.1692,13.9576,16.8942,21.0612,33.1989,13.8651,16.6007,14.4475,14.6931,17.4255,7.7905,22.3049,36.2014,21.9947,286.1434,107.7812,84.6869,10.9472,13.8762,20.0662,5.1788,24.1428,20.9853,57.2718,9.842,36.1718,38.9352,49.0517,21.9418,353.6954,44.2114,49.9667,18.9413,43.3506,0
BGD_P,5.2303,0.9227,2.1859,0.0825,0.05,10.675,22.4359,0.9166,2.911,17.5197,6.7739,4.9138,3.2464,5.9099,4.6088,3.4949,7.0121,4.4512,5.2282,5.5944,1.7633,5.9419,8.051,3.0051,43.7093,24.9365,10.6383,1.5408,7.2728,3.7902,1.0888,4.3233,7.5519,17.8686,6.2185,20.5012,3.4812,21.2271,9.6083,95.7359,146.6637,25.0461,6.6841,24.5704,0
BGD_Q,8.0957,1.2559,0.8336,0.0473,0.0578,9.6625,22.3038,0.7153,2.237,10.3878,4.7478,4.42,2.7549,3.7309,2.9597,2.027,3.1906,2.4117,2.9817,3.0753,1.0201,3.6875,3.3002,1.7115,29.462,14.3362,8.9554,1.0467,1.1992,2.0727,0.8283,5.3571,2.9978,4.7438,1.7564,9.3279,1.6792,7.8523,5.1977,65.5944,15.5314,595.2712,5.6313,13.3176,0
BGD_R,2.7742,0.5585,0.4412,0.0426,0.0161,9.6867,16.2348,0.6758,2.3937,5.3986,2.8847,1.4736,1.699,2.3744,1.4116,1.3862,2.1849,1.7422,1.7859,2.4783,0.7704,2.8589,2.729,1.6496,23.423,16.4201,4.0179,1.3354,1.337,2.0003,0.605,13.9849,74.0757,12.8336,2.0735,6.9604,3.7859,17.4552,7.2945,34.104,19.871,5.9049,194.4785,35.2716,0
BGD_S,17.9866,3.8049,2.3063,0.219,0.1478,26.2082,78.9972,2.4794,7.1198,29.2189,12.0023,4.2738,6.7312,14.6603,7.2557,5.7819,9.9592,6.8767,7.0733,7.351,2.6916,11.1691,11.5391,6.8539,76.1443,53.9233,22.7447,3.2205,4.5818,8.2076,2.1695,26.5092,14.5931,22.745,6.6481,23.3104,8.8708,24.6102,11.9624,40.8985,19.1996,48.9892,14.8209,135.9011,0
BGD_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
