V1,HUN_A01_02,HUN_A03,HUN_B05_06,HUN_B07_08,HUN_B09,HUN_C10T12,HUN_C13T15,HUN_C16,HUN_C17_18,HUN_C19,HUN_C20,HUN_C21,HUN_C22,HUN_C23,HUN_C24,HUN_C25,HUN_C26,HUN_C27,HUN_C28,HUN_C29,HUN_C30,HUN_C31T33,HUN_D,HUN_E,HUN_F,HUN_G,HUN_H49,HUN_H50,HUN_H51,HUN_H52,HUN_H53,HUN_I,HUN_J58T60,HUN_J61,HUN_J62_63,HUN_K,HUN_L,HUN_M,HUN_N,HUN_O,HUN_P,HUN_Q,HUN_R,HUN_S,HUN_T
HUN_J61,11.3474,0.3125,0.1042,0.3233,0.1385,17.2258,2.0575,2.7423,5.1293,4.4041,7.9851,5.7569,12.0575,6.2295,2.6334,9.2139,11.2816,7.1126,16.3334,18.8134,1.0007,8.2018,9.3883,12.152,39.0231,100.2947,45.5534,0.4734,1.0315,10.2117,5.0102,18.393,94.6811,112.3061,36.9874,52.2134,26.3105,68.5652,39.4636,113.2936,38.9152,40.4876,51.9617,39.8124,0.0
HUN_J62_63,8.9977,0.0887,0.2799,1.2172,0.8601,43.0344,2.4039,1.5039,8.8935,6.4128,10.7511,14.9403,17.0653,7.9173,17.0186,10.1654,37.4436,22.5579,34.4378,77.5888,1.5892,9.7964,53.688,18.1056,39.4567,203.7749,55.8979,1.6429,4.3549,32.9987,10.7108,17.8598,55.0246,74.2447,194.0573,184.8667,35.429,120.9876,78.4358,133.2115,28.3772,31.9859,27.8136,16.7605,0.0
HUN_K,149.8993,0.7932,0.6411,1.719,1.5503,74.1204,11.0657,11.1951,20.0529,70.0608,69.9018,35.1439,43.9028,17.5946,14.1965,50.1898,41.9743,29.6766,41.7512,67.7541,5.7176,35.7559,50.8968,34.6844,171.5927,537.6473,160.7111,3.274,22.4502,85.3652,8.4849,109.6551,26.5441,50.0113,49.9349,1174.8791,796.8498,228.5271,141.0345,378.3197,28.2516,47.43,36.5355,60.543,0.0
HUN_L,29.9956,0.3984,0.5575,1.3272,0.0974,66.8792,9.7823,9.1921,24.9564,12.0805,20.4953,11.5916,44.0421,11.4753,6.6555,36.4317,28.162,12.1628,42.0539,91.8621,6.6197,30.9062,55.0317,81.0798,92.2728,795.7882,115.9932,0.8582,26.5519,66.0727,7.6578,207.5105,68.7278,75.6126,66.5018,143.6494,174.4284,261.3902,148.8292,283.1389,111.6879,100.1512,177.8323,178.9029,0.0
HUN_M,35.9265,0.4737,0.4498,4.979,5.4893,137.4455,11.815,9.0716,25.0709,26.8556,35.5323,196.4964,73.4438,34.218,17.2078,54.9696,128.5933,83.3629,95.1279,507.2211,9.3062,47.0031,121.5186,45.8618,238.1337,721.5449,65.8205,8.4822,8.5903,45.9758,5.9797,59.1222,112.6039,83.8586,124.1121,134.3219,265.2532,649.6698,236.3577,162.4402,34.386,45.6382,80.2126,47.7686,0.0
HUN_N,33.4339,0.451,0.4961,1.3686,2.1033,80.1518,15.693,13.4652,43.3009,19.4684,45.8447,67.7662,62.6313,28.376,19.0662,79.7529,141.9303,56.6452,99.7997,223.194,4.8382,68.2041,128.9086,66.4902,126.0055,600.7385,170.0596,9.1935,9.6644,60.7184,24.9433,84.55,129.7669,85.1728,96.786,243.289,223.9122,178.6739,277.4712,137.8757,61.7444,85.244,143.9555,49.7302,0.0
HUN_O,11.7015,0.5042,0.4619,1.2074,1.5127,20.3505,2.784,1.3234,3.5119,4.8615,7.7707,2.1602,9.4734,3.4117,3.337,7.4551,9.7692,6.6483,10.8073,35.0146,1.4974,6.4814,23.3384,39.0235,22.1577,213.0073,68.5822,2.7378,0.8789,20.9153,2.7973,34.1369,8.602,65.3693,17.2271,75.3708,31.4065,63.969,31.9507,177.9276,16.8418,5.0725,34.2325,33.9676,0.0
HUN_P,2.7442,0.0636,0.0198,0.0346,0.0514,5.7734,0.6967,0.6034,1.5258,3.8875,2.1585,4.8507,7.141,1.9656,1.2621,2.1923,4.6263,2.7017,6.3462,5.9099,0.9201,2.1238,3.0223,2.8846,6.7429,32.9791,8.6432,0.0347,2.2658,2.2845,1.5644,3.874,1.6138,4.4881,8.6981,18.4193,5.4989,19.231,10.6382,33.9313,165.3037,7.2218,1.5577,10.5674,0.0
HUN_Q,0.5403,0.1243,0.1001,0.0811,0.5396,5.5292,1.9637,0.937,1.2427,0.8734,3.179,16.0571,2.845,2.3006,2.2064,2.7862,2.3582,1.4445,3.2058,5.1146,0.5776,4.7633,2.7552,2.3423,4.3029,26.8904,12.7571,0.2256,0.305,2.056,1.6531,10.8519,1.0348,0.6075,1.993,3.6329,2.4708,5.4813,7.9765,1.9374,3.2434,279.1601,6.6604,16.7955,0.0
HUN_R,2.1218,0.0141,0.0072,0.1766,0.0212,4.9026,0.4505,0.7678,1.4558,0.9831,1.5159,1.474,1.6174,0.8752,0.4427,2.6289,1.8804,1.2719,2.9625,5.2654,0.1468,1.871,1.5896,1.1912,5.1297,27.2731,5.4912,0.6436,0.3916,2.9063,0.4144,4.7165,97.5425,2.6505,5.4472,5.4782,4.2333,9.4473,31.4602,5.9441,1.3308,3.2948,190.8714,10.8008,0.0
HUN_S,15.2728,0.0945,0.0365,0.2206,0.0675,15.3925,1.5386,1.7121,4.2098,2.9698,5.7533,9.1347,5.5427,2.6284,1.7659,4.573,7.6985,4.6852,7.6358,13.1019,0.6934,5.36,8.0502,11.3807,14.4915,76.8781,20.7015,0.4788,2.8173,7.2558,3.3059,19.9517,8.6861,67.102,36.6682,36.205,30.2309,45.071,33.7098,33.2457,22.9361,27.6544,31.1805,15.2813,0.0
HUN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
