V1,THA_A01_02,THA_A03,THA_B05_06,THA_B07_08,THA_B09,THA_C10T12,THA_C13T15,THA_C16,THA_C17_18,THA_C19,THA_C20,THA_C21,THA_C22,THA_C23,THA_C24,THA_C25,THA_C26,THA_C27,THA_C28,THA_C29,THA_C30,THA_C31T33,THA_D,THA_E,THA_F,THA_G,THA_H49,THA_H50,THA_H51,THA_H52,THA_H53,THA_I,THA_J58T60,THA_J61,THA_J62_63,THA_K,THA_L,THA_M,THA_N,THA_O,THA_P,THA_Q,THA_R,THA_S,THA_T
THA_C20,1442.3515,13.0534,4.0938,37.7359,4.3835,197.1118,686.9617,70.167,239.5596,204.955,3149.7899,217.6329,2088.6306,383.2339,53.6122,125.8946,289.0481,157.7327,85.3671,325.1381,85.8014,203.8775,12.3779,37.1149,191.2073,198.6588,5.6384,1.9902,8.8563,0.5766,0.2697,85.5268,62.9246,0.4377,5.1787,24.6214,0.7698,10.48,15.9045,11.6634,52.3206,157.2438,0.6861,421.2415,0.0
THA_C21,135.9669,2.2987,0.0,0.0103,0.0556,63.4497,0.3096,0.0,0.5119,0.0,21.6938,222.0531,0.0,0.5104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0197,0.0,3.1071,0.0,0.2395,1.6816,0.0156,0.6742,0.0,1.462,0.0,0.0,0.0,0.9289,0.0,0.0,0.3308,0.8086,8.3551,1208.5915,0.5287,5.7696,0.0
THA_C22,228.9017,57.0269,5.3567,15.2022,3.1517,576.0906,573.7025,15.3177,77.9028,11.5744,235.6543,71.5267,1604.2993,42.7074,18.9165,97.2529,534.4468,268.7578,164.4063,1030.7116,372.0347,256.3551,5.5628,9.9457,349.9985,945.1399,267.6858,3.7179,3.2461,2.9272,2.1696,41.8797,22.1182,2.9271,6.1047,14.9057,2.4535,8.0427,23.639,0.0,8.532,26.0424,0.5926,37.6598,0.0
THA_C23,24.1527,4.9652,0.0025,0.7592,3.6887,321.1265,1.5986,5.0158,1.0995,0.0011,28.6159,68.3647,1.1393,1799.3123,11.2111,58.8927,228.8593,358.7171,97.2698,325.5439,56.0603,31.2,0.0,10.1354,6746.3432,38.227,0.0511,0.0,0.1443,0.0105,0.0,43.1195,0.1164,0.0,0.0083,1.8833,1.6462,4.2601,0.0368,25.5039,2.4746,1.5808,0.436,1.4644,0.0
THA_C24,0.2642,0.0031,0.0003,0.0272,0.9793,8.3194,0.1038,0.1186,3.3484,0.0814,1.0686,0.0,2.7608,17.3192,1293.0795,861.344,985.6164,996.0879,349.6401,500.192,126.057,1852.6563,0.0,0.059,261.0804,44.8614,0.2013,0.385,0.0,0.0332,0.0,0.2057,2.3535,0.0,0.2656,0.0,0.0116,0.4723,0.408,0.0,0.0096,1.1993,0.0007,8.0044,0.0
THA_C25,207.4765,0.714,0.2194,34.8696,7.4411,701.8975,90.967,54.4483,18.3006,1.2564,49.785,22.6642,60.0944,19.1065,6.4419,258.4939,187.0733,220.0286,405.2609,311.4156,97.9284,128.0451,39.5815,1.5607,1141.8487,91.1933,15.2553,2.5307,13.2883,1.8007,0.0278,32.7596,13.8352,0.0921,7.7481,3.1722,2.8927,11.1404,48.2741,50.4902,1.161,23.9521,0.7209,22.874,0.0
THA_C26,18.1222,0.2937,34.0099,1.0376,3.2397,33.9068,61.9336,3.2745,14.6613,1.058,31.55,14.2793,11.6303,10.712,2.9285,67.6402,29100.2446,232.1905,211.4637,1300.8627,53.1397,1002.6723,37.0881,11.8324,213.5776,218.6099,31.8913,6.3366,22.8592,1.4421,11.5385,133.3468,193.2827,169.756,263.3689,218.8822,36.0947,210.9369,108.8729,369.3137,809.2368,994.5486,13.1577,510.5398,0.0
THA_C27,5.5985,0.4754,3.2073,1.8185,0.7864,0.4726,0.2596,0.9385,0.0046,0.0,0.0059,0.0044,0.2591,2.0189,0.3738,2.6284,335.1827,1118.8002,127.0111,714.8735,71.6668,81.0934,161.0277,0.7719,745.1453,311.674,16.2321,2.6525,0.0287,0.2122,0.0593,97.2691,11.3672,0.7235,4.7719,17.5026,4.0805,5.4493,5.4171,0.0,2.8162,4.5305,0.3914,29.9161,0.0
THA_C28,116.1027,10.9341,56.2176,37.076,7.9494,140.4903,90.5595,19.9865,31.0014,26.9523,108.301,6.3573,67.8192,54.8816,23.1371,27.1684,116.7746,19.9321,1573.8057,1107.3086,144.5607,24.1329,68.8674,0.9602,74.3488,132.5386,10.1654,7.4889,6.9844,2.2935,1.5396,8.5442,7.0214,2.8869,4.121,0.0515,0.4417,4.897,14.351,51.2694,1.1868,14.4409,1.3352,6.2412,0.0
THA_C29,0.1354,0.0,0.0,0.0,0.7917,0.0733,0.1188,0.0,0.0076,0.0,0.0215,0.0889,0.0,0.0,0.0006,0.0,9.1508,0.2399,2.686,6444.963,90.6902,0.0,0.0,0.1303,0.0,988.4323,132.3196,3.0317,0.0,0.0,0.0,0.0,0.0129,0.0,0.0,0.0,0.6573,0.0,9.3441,13.0778,0.0,0.0,0.0571,4.7937,0.0
THA_C30,0.0445,89.8912,11.707,0.0019,0.1276,1.4236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0222,0.0,0.0,0.0,0.0,0.0,0.0,1017.2864,0.0444,0.0,0.0,0.0072,98.6021,23.3959,206.1573,331.74,0.0136,0.0,0.0,0.0,0.0,1.7393,0.0,0.0,2.5195,2.1045,0.2735,0.0387,0.0,0.0634,0.1098,0.0
