V1,LAO_A01_02,LAO_A03,LAO_B05_06,LAO_B07_08,LAO_B09,LAO_C10T12,LAO_C13T15,LAO_C16,LAO_C17_18,LAO_C19,LAO_C20,LAO_C21,LAO_C22,LAO_C23,LAO_C24,LAO_C25,LAO_C26,LAO_C27,LAO_C28,LAO_C29,LAO_C30,LAO_C31T33,LAO_D,LAO_E,LAO_F,LAO_G,LAO_H49,LAO_H50,LAO_H51,LAO_H52,LAO_H53,LAO_I,LAO_J58T60,LAO_J61,LAO_J62_63,LAO_K,LAO_L,LAO_M,LAO_N,LAO_O,LAO_P,LAO_Q,LAO_R,LAO_S,LAO_T,LAO_HFCE,LAO_NPISH,LAO_GGFC,LAO_GFCF,LAO_INVNT,LAO_DPABR
LAO_J62_63,0.0932,0.0026,0.0452,0.0817,0.0127,0.5843,0.0359,0.0269,0.001,0.0486,0.0555,0.0172,0.0357,0.0058,0.0047,0.0203,0.0164,0.0084,0.0005,0.0092,0.0087,0.0093,0.0636,0.0219,0.8165,3.8308,0.3055,0.0005,0.0022,0.0013,0.0282,0.4209,0.0395,0.4073,0.5146,2.7608,0.0535,0.2297,0.0534,3.7416,0.2912,0.0161,0.0216,0.1349,0.0,10.6077,0.0168,0.0027,0.0082,0.0137,0.0
LAO_K,7.5588,0.1266,4.3626,7.5974,0.8641,4.8092,1.8906,2.71,0.0701,0.5297,2.0988,0.4652,0.9982,2.9143,0.1277,0.4383,0.1427,0.1369,0.0038,0.1963,0.1255,0.863,5.1059,2.854,20.9271,119.8785,8.3756,0.9471,0.4413,0.833,0.2859,24.2473,1.6575,2.609,0.9831,285.5532,1.662,2.6937,1.3287,42.5488,3.3869,0.162,1.6316,5.1624,0.0,343.3247,0.5348,13.3251,8.3356,0.0212,0.0
LAO_L,0.6555,0.0168,0.0238,0.0458,0.0074,0.2866,0.0879,0.1021,0.0038,0.0386,0.0659,0.0195,0.032,0.0087,0.0018,0.0107,0.0213,0.0146,0.0011,0.0244,0.0151,0.0435,0.0604,0.3567,0.7087,40.1186,0.4687,0.0005,0.0036,0.0034,0.0309,4.6526,0.4123,0.3564,0.2187,14.353,1.6045,0.6868,0.1756,6.8301,4.4072,0.03,0.4223,1.2217,0.0,702.0609,0.3067,0.0241,0.0043,0.0,0.0
LAO_M,0.5591,0.0165,0.214,0.3355,0.0585,2.0008,0.0875,0.0936,0.0038,0.1897,0.2844,0.1542,0.1592,0.0218,0.0168,0.0687,0.0629,0.0381,0.0022,0.0472,0.0358,0.0196,0.1822,0.1017,3.4025,12.4237,0.7414,0.0014,0.0048,0.0031,0.0366,1.2402,0.1155,0.5293,0.5024,4.4903,0.3763,2.3366,0.2923,9.1721,0.7387,0.0718,0.0921,0.4211,0.0,36.5715,0.2972,15.1342,8.9727,0.0237,0.0
LAO_N,0.263,0.0069,0.0839,0.1801,0.0277,0.7909,0.0387,0.0505,0.0018,0.0598,0.0957,0.0327,0.0665,0.0101,0.0071,0.0367,0.0203,0.0136,0.0008,0.0155,0.0114,0.0158,0.0877,0.0668,1.5023,6.3014,0.7144,0.0108,0.0048,0.0281,0.0482,0.7873,0.0597,0.3999,0.2798,2.1402,0.2426,0.7133,0.4763,3.6242,0.4243,0.0489,0.0594,0.2317,0.0,17.099,0.1275,0.0032,0.0051,0.0027,0.0
LAO_O,0.0401,0.0012,0.0068,0.0115,0.0017,0.0159,0.0023,0.0015,0.0,0.0002,0.0,0.0,0.0,0.0,0.0006,0.0022,0.0,0.0,0.0,0.0005,0.0004,0.0046,0.0081,0.0132,0.0084,0.0103,0.0005,0.0005,0.0007,0.0004,0.0001,0.0025,0.0126,0.0008,0.011,0.0002,0.0007,0.0371,0.0088,10.2564,0.2114,0.0,0.0108,0.0085,0.0,101.3443,0.1337,1958.4461,0.0011,0.0,0.0
LAO_P,0.0058,0.0002,0.0017,0.0029,0.0005,0.0032,0.0005,0.0007,0.0,0.0003,0.0003,0.0002,0.0002,0.0,0.0002,0.0008,0.0001,0.0001,0.0,0.0006,0.0005,0.0011,0.0028,0.0034,0.0058,0.1664,0.0078,0.0002,0.0005,0.0003,0.0026,0.0103,0.0024,0.0264,0.0068,0.1119,0.0002,0.0144,0.0027,0.7271,0.2486,0.0,0.0027,0.012,0.0,63.3957,0.8168,182.2782,0.0004,0.0,0.0
LAO_Q,0.0009,0.0,0.0001,0.0002,0.0,0.0008,0.0,0.0,0.0,0.0,0.0002,0.0001,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0003,0.0001,0.0018,0.0018,0.0001,0.0001,0.0,0.0001,0.0,0.0002,0.0001,0.0001,0.0003,0.0,0.0006,0.0011,0.0004,0.0001,0.0,0.0002,0.0001,0.0002,0.0,24.6216,1.3998,36.1396,0.0003,0.0,0.0
LAO_R,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0,0.0419,0.0002,0.0,0.0,0.0,0.0001,0.059,0.0098,0.001,0.0019,0.0012,0.0,0.0089,0.002,0.2338,0.0128,0.0,0.0302,0.0046,0.0,35.5944,0.9667,0.0,0.0,0.0048,0.0
LAO_S,5.0804,0.1886,1.5944,2.8473,0.4753,13.2564,1.4507,1.0322,0.0261,0.1074,0.1906,0.0514,0.0919,0.1326,0.0682,0.2666,0.1968,0.1069,0.0045,0.1292,0.0782,0.413,1.1123,0.2932,10.8823,6.0382,3.078,0.0034,0.0286,0.0073,0.0738,5.2151,0.1538,0.5874,0.0923,0.5458,0.0534,0.2481,0.0516,5.8488,0.2916,0.3244,0.1177,0.6844,0.0,114.7508,6.4882,0.0252,3.3567,0.0,0.0
LAO_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.8964,0.0,0.0,0.0,0.0,0.0
