V1,CHN_A01_02,CHN_A03,CHN_B05_06,CHN_B07_08,CHN_B09,CHN_C10T12,CHN_C13T15,CHN_C16,CHN_C17_18,CHN_C19,CHN_C20,CHN_C21,CHN_C22,CHN_C23,CHN_C24,CHN_C25,CHN_C26,CHN_C27,CHN_C28,CHN_C29,CHN_C30,CHN_C31T33,CHN_D,CHN_E,CHN_F,CHN_G,CHN_H49,CHN_H50,CHN_H51,CHN_H52,CHN_H53,CHN_I,CHN_J58T60,CHN_J61,CHN_J62_63,CHN_K,CHN_L,CHN_M,CHN_N,CHN_O,CHN_P,CHN_Q,CHN_R,CHN_S,CHN_T,CHN_HFCE,CHN_NPISH,CHN_GGFC,CHN_GFCF,CHN_INVNT,CHN_DPABR
CHN_C20,115357.8432,653.253,12362.5859,16373.7149,2140.9119,6998.046,52460.089,12651.0605,29099.9026,11868.8642,343524.388,9816.9402,119702.7574,45273.477,18629.6627,18578.4735,20194.885,29086.4543,11250.9382,6268.6594,2088.5907,15993.0582,580.3219,6573.1779,78718.8777,8976.3952,1188.2674,115.0059,508.5817,883.6879,199.5895,2280.7824,1598.9306,22.8614,980.5254,176.8865,231.3164,29413.8524,554.6612,3133.5671,5786.4407,17870.897,223.6163,3460.1193,0,22704.446,72.4912,0.0,0.0,6366.1227,0.0
CHN_C21,15520.4274,1015.2257,106.6685,18.0893,4.6532,764.2598,77.6759,0.3455,503.5188,7.9919,3449.6202,86402.0082,226.2733,484.2488,160.7237,163.9471,379.0618,75.92,414.9065,6.5635,8.8348,93.6159,39.3876,104.4196,1945.6316,90.8235,112.3381,35.9964,39.3962,49.1243,83.03,34.54,14.0536,295.6377,75.493,40.0435,21.5032,2730.1612,121.1934,121.2238,424.8282,115863.4789,2.404,218.3348,0,76972.8718,101.897,18806.9259,0.0,2271.1615,0.0
CHN_C22,11212.8637,170.7295,1594.7993,2670.5545,1174.2655,14525.7459,12805.2367,1895.5843,9340.6554,1096.016,29373.6538,1363.1625,91818.6757,12074.5013,1765.0236,9233.1918,27536.5334,32619.9894,25615.7341,25196.3405,4908.055,15171.2692,211.1247,5094.0655,39746.8326,8460.6124,7867.5064,33.5797,59.9788,1507.5071,1015.6865,1435.6742,167.4874,899.1988,375.2548,51.7164,145.2649,4221.9474,399.0385,301.4754,45.6316,1070.3884,86.4321,818.8538,0,5988.5466,0.0,0.0,0.0,2806.5005,0.0
CHN_C23,456.3851,184.6079,1474.4272,3679.2353,937.1145,6191.4323,594.1677,573.3856,587.5211,2993.6147,5730.0737,2318.0522,2240.4616,160308.0871,24927.7199,8162.589,17134.6563,21874.2836,7263.2029,12153.4149,668.9696,2779.7211,1161.3258,986.6621,522710.2963,403.4471,478.1437,52.9473,162.9579,226.8938,94.608,257.7716,196.2748,151.8212,30.887,24.1636,28.9411,2108.942,67.9225,890.3637,892.2102,226.7412,61.1781,11.0931,0,8588.9688,0.0,0.0,0.0,5433.1532,0.0
CHN_C24,185.9383,59.5771,16811.8616,3393.229,2152.2438,353.9651,417.2351,305.694,11860.0455,108.2977,9777.3318,114.5601,3830.7477,20967.9319,438271.024,185944.4211,33168.6577,159683.9781,122888.2426,56043.1646,14532.5795,20773.5539,432.6761,3560.7097,327655.4095,294.9013,810.326,187.8693,194.5408,137.663,33.132,4.5672,16.1453,3.6832,0.0338,21.3331,0.8384,659.7045,17.4534,0.1473,52.0719,0.2528,3.6048,63.524,0,375.9219,0.0,0.0,0.0,9046.5796,0.0
CHN_C25,1100.7047,92.7359,10944.7196,9663.7006,983.2999,4190.402,2002.4065,3393.6058,1581.9515,353.2427,5107.5285,841.4567,6793.193,24955.3593,7599.1251,102323.365,19009.712,32185.3513,58028.1917,23548.3041,10608.1852,11381.1311,1377.6548,2234.4662,143580.6187,5795.5568,496.6583,369.3496,81.8631,2535.9084,123.6035,347.4992,34.5109,166.0602,84.0758,45.1489,580.3069,31050.3976,1169.6598,960.2187,870.4353,74.1765,33.5442,620.8592,0,6556.679,31.3327,0.0,77582.2191,4135.77,0.0
CHN_C26,302.2074,52.1191,4262.0903,669.4351,435.0421,581.0415,282.944,103.1164,497.3783,1337.4909,1398.7407,303.9082,1002.4703,1219.0226,1222.267,3619.435,506918.553,43573.8075,47710.1458,17715.1387,8977.8105,3638.2889,15866.3632,979.4792,8894.494,24412.4339,1292.8638,247.2065,680.4748,1450.7422,137.6907,595.69,714.9312,12258.5799,28456.9896,518.1516,242.0107,60091.7708,1122.276,3018.4046,3714.9149,643.4896,87.6726,2601.2184,0,69241.1343,66.6821,0.0,84046.6482,8024.5503,0.0
CHN_C27,267.6043,37.2407,2475.5921,2783.4775,150.7263,596.8456,465.7012,151.7492,253.3467,519.6952,1388.6913,100.0206,1206.5395,1896.6966,1481.8083,4697.6376,52723.0065,113060.9306,49768.3497,20609.6167,16807.1766,3783.5073,34952.6167,4135.1309,94106.7304,28537.3786,1084.7917,108.5264,909.3745,833.5636,175.689,283.7929,385.2975,10748.4602,3936.8046,50.1334,207.3356,27612.1746,883.2398,1442.2378,50.2403,524.6954,71.0737,614.7276,0,58139.3449,21.2921,0.0,98906.0488,4467.9383,0.0
CHN_C28,10731.8343,2338.2839,25198.2284,19837.4002,2611.8853,2902.1048,4450.661,2006.4725,3361.0103,3767.5194,10995.2752,861.0307,2990.2007,22731.6019,27512.9093,28165.8677,20156.3096,28295.4291,188273.3234,37712.614,10992.7357,4554.3048,2248.0979,1536.8451,28666.5081,974.0471,1686.9384,3369.4591,2538.2136,6040.9097,370.2742,326.578,23.6765,278.149,23.4931,850.7916,187.2323,818.8791,86.6587,152.5827,369.4153,10761.9143,8.8238,75.8691,0,4632.4854,27.0969,0.0,364580.3139,5179.8605,0.0
CHN_C29,1856.4259,361.1509,544.5885,3094.0117,242.7671,216.3065,191.7662,23.9297,145.5289,65.4417,330.4685,27.6182,154.4337,4682.6303,516.8139,2051.4732,703.2933,993.5576,22586.3433,305805.7257,953.2848,453.2086,78.7568,1241.917,2009.0482,21796.0971,81165.5456,115.6516,129.2567,2911.5849,1846.6387,489.6898,132.4742,762.3348,1261.0323,256.7094,39.3345,23897.7327,3336.0097,5957.3387,65.1229,174.4818,128.723,1996.1585,0,127204.668,23.2709,0.0,289847.1797,7177.0071,0.0
