V1,UKR_A01_02,UKR_A03,UKR_B05_06,UKR_B07_08,UKR_B09,UKR_C10T12,UKR_C13T15,UKR_C16,UKR_C17_18,UKR_C19,UKR_C20,UKR_C21,UKR_C22,UKR_C23,UKR_C24,UKR_C25,UKR_C26,UKR_C27,UKR_C28,UKR_C29,UKR_C30,UKR_C31T33,UKR_D,UKR_E,UKR_F,UKR_G,UKR_H49,UKR_H50,UKR_H51,UKR_H52,UKR_H53,UKR_I,UKR_J58T60,UKR_J61,UKR_J62_63,UKR_K,UKR_L,UKR_M,UKR_N,UKR_O,UKR_P,UKR_Q,UKR_R,UKR_S,UKR_T,UKR_HFCE,UKR_NPISH,UKR_GGFC,UKR_GFCF,UKR_INVNT,UKR_DPABR
UKR_C20,781.1233,0.7264,31.7872,25.4415,7.3197,116.2325,21.3759,40.8943,93.8876,30.3944,240.5386,11.7273,171.8775,47.4202,22.8861,12.8069,2.1643,8.1036,6.7411,1.7532,1.5887,18.6888,7.868,4.1835,53.4426,141.3996,7.8891,2.0504,2.5594,5.8108,0.0856,5.7595,1.2197,0.1023,0.5332,0.4774,6.6413,11.5263,4.6842,15.6245,0.9497,15.5056,1.8267,4.5714,0.0,227.664,0.0,1.3578,0.0,26.2672,0.0
UKR_C21,90.3705,0.0837,0.0859,0.153,0.0228,33.336,0.0428,0.0742,0.1175,0.143,1.8626,190.416,0.6921,0.3741,0.1735,0.6247,0.0173,0.038,0.0346,0.038,0.0915,1.1875,0.2884,0.0854,0.5846,35.8958,0.327,0.2325,0.1744,0.2998,0.1113,1.495,0.956,0.0452,1.0347,3.2328,0.5619,4.3608,3.7437,8.4529,1.6196,172.9159,1.527,0.4001,0.0,508.0007,10.4592,1.552,0.0,12.3131,0.0
UKR_C22,73.8363,0.0677,9.6215,22.1341,8.0791,450.9551,6.9974,29.4165,52.0449,4.2513,36.8599,7.9605,399.4432,22.4154,12.4508,24.9305,3.2334,26.8915,20.0929,18.7385,4.7429,28.605,9.3183,11.3372,205.9088,156.4175,34.3119,3.041,3.5851,10.0657,2.2885,2.9641,3.8581,0.8568,1.3284,1.1712,5.8478,21.3798,6.3523,0.0,0.1423,12.8167,0.8356,1.498,0.0,53.1379,0.0,2.751,0.0,24.9053,0.0
UKR_C23,70.8596,0.0646,10.2983,8.3021,3.1149,230.9542,4.3098,8.5694,3.9386,1.4626,11.4994,9.849,40.563,438.2792,210.5004,14.101,3.5107,8.0292,10.4439,3.6985,1.5517,14.0316,16.1033,11.0007,861.8142,95.8128,39.1282,11.5373,15.5234,32.6101,0.2958,5.0167,0.3852,0.467,0.5697,0.7925,12.3925,59.771,8.8312,80.6867,11.7064,27.5181,1.0068,1.9567,0.0,300.5837,0.0,0.6352,0.0,44.5158,0.0
UKR_C24,43.337,0.0391,95.5763,78.3101,42.1339,63.1886,4.5286,6.5507,9.1717,9.5705,9.5031,1.6892,36.6096,129.2291,1826.8533,625.5685,19.0992,239.5588,470.374,77.4064,144.341,147.1017,324.6548,203.8626,833.4983,233.9261,24.5531,12.4961,5.2284,15.8928,0.0833,0.5882,0.8333,1.3047,2.2472,1.369,38.6637,65.6245,6.3354,0.0,0.0099,50.716,0.3208,3.1181,0.0,4.6173,0.0,0.0,0.0,178.4724,0.0
UKR_C25,25.0232,0.0228,87.3385,22.527,9.0091,91.1278,2.431,13.2673,6.0257,1.655,7.3122,1.1338,19.168,15.1042,68.0547,65.7411,9.4802,9.2389,45.9989,23.0844,8.4441,45.9484,15.8159,2.9363,391.7318,73.92,14.4123,4.5592,3.0132,13.0753,0.0837,3.7363,0.6199,1.3122,1.1192,1.1775,11.4519,33.0888,3.786,44.2303,2.9424,14.4016,2.3154,1.2084,0.0,36.2654,0.0,0.2355,284.2201,18.1362,0.0
UKR_C26,7.6151,0.0068,1.2176,0.4067,0.3046,10.0757,0.2262,0.223,0.6861,0.0993,0.3789,0.131,0.8051,1.9031,1.9496,1.301,23.9016,8.6039,3.2268,0.9998,1.7724,7.2208,3.0685,0.3191,18.9351,23.17,0.9582,0.286,0.5022,0.962,0.0627,0.9221,0.7159,5.9052,15.6973,1.2274,0.1598,10.1333,2.7569,3.8987,0.0279,1.0406,0.2435,5.8314,0.0,81.6172,0.0,2.9869,161.3808,4.7523,0.0
UKR_C27,2.8775,0.0026,0.9037,2.4681,0.9986,6.3846,0.7827,0.6055,0.8726,0.3005,0.998,0.2876,0.4698,1.4318,3.8315,1.785,1.5564,8.7536,4.2748,1.612,0.7815,8.6432,5.7516,0.3898,57.4589,26.9469,3.048,0.6417,0.5788,1.785,0.046,0.9926,0.3471,1.2915,6.3549,45.1179,2.9816,11.6794,1.5084,2.8761,1.6855,3.7773,0.405,0.7644,0.0,210.4479,0.0,1.1261,418.4736,14.3245,0.0
UKR_C28,107.3233,0.0973,46.4095,24.5116,9.5482,54.5753,1.3541,5.8098,8.0648,2.6089,6.585,2.4606,2.1489,14.5161,38.7599,9.0985,9.2258,28.6945,80.4858,19.6883,53.3003,39.6911,25.6469,1.7872,28.0976,51.2857,7.0099,2.8687,3.0084,5.752,0.0693,0.5171,0.222,0.0985,0.2936,1.2084,3.8666,14.8902,4.4353,5.8379,0.0143,5.0345,0.3365,1.2359,0.0,12.0577,0.0,1.8401,745.017,15.5491,0.0
UKR_C29,57.2791,0.0511,1.1657,5.8555,1.7237,7.9784,0.1279,1.0058,0.7857,0.1836,0.6491,0.3303,0.1932,1.6247,0.4344,0.444,0.4763,0.1286,1.2578,13.5545,0.3395,2.0051,1.4087,1.6685,7.4337,65.4239,17.3086,0.5839,1.5587,3.5266,0.2943,0.1055,0.0534,0.2202,0.2098,0.0513,1.0266,0.7926,2.4689,2.8522,0.0807,1.9153,0.1275,0.8636,0.0,109.4386,0.0,8.1959,249.7767,7.4343,0.0
UKR_C30,10.0506,0.0171,0.5784,1.686,0.6984,2.4609,0.0607,0.0435,0.0673,0.0934,0.2633,0.0942,0.0287,0.4218,2.5068,4.773,0.5784,0.1887,0.5841,6.4586,17.3882,14.9216,1.2118,0.3413,6.8197,8.5177,12.0166,13.649,19.694,5.0518,0.0,0.0266,0.0263,0.4257,1.7516,1.0207,0.9715,2.5463,1.8062,0.0,0.0068,1.5581,0.0388,0.2053,0.0,22.4005,0.0,0.0,780.7038,6.7587,0.0
UKR_C31T33,11.8945,0.0108,41.6645,14.0485,7.7068,25.6369,1.0872,3.8962,4.5009,1.8405,2.681,1.7602,1.6164,8.9183,21.9843,3.2513,1.5251,3.0092,3.3462,1.9595,2.2319,80.5994,37.212,1.8076,21.6518,70.6398,44.2742,12.494,24.3195,29.271,0.1075,5.2065,1.2944,37.0117,7.477,28.9927,32.1089,20.221,10.1412,189.3442,17.3191,16.8408,3.337,2.6093,0.0,461.037,0.0,1.6481,43.8168,2.3996,0.0
